指标,参数组合1,参数组合2,参数组合3,参数组合4,参数组合5,参数组合6,参数组合7,参数组合8,参数组合9,参数组合10
参数_j_overbought,99,94,86,85,93,89,94,97,102,94
参数_j_oversold,1,14,8,8,12,16,2,12,12,15
参数_macd_fast,15,8,15,10,15,13,10,8,9,9
参数_macd_signal,12,9,7,10,11,9,10,9,7,6
参数_macd_slow,24,34,27,27,29,31,26,24,28,30
夏普比率,1.167,1.027,0.799,0.799,0.751,0.712,-0.492,-1.270,-1.573,-1.814
总收益率,115.20%,66.28%,57.26%,57.26%,52.11%,48.88%,-15.15%,-23.97%,-19.68%,-23.96%
年化收益率,50.39%,31.10%,27.26%,27.26%,25.02%,23.60%,-8.38%,-13.58%,-11.02%,-13.57%
最大回撤,36.79%,21.44%,36.75%,36.75%,27.59%,36.76%,29.62%,24.55%,20.25%,24.49%
胜率,0.00%,0.00%,25.00%,25.00%,25.00%,20.00%,0.00%,0.00%,0.00%,0.00%
总交易次数,3,5,4,4,8,5,3,5,4,5
盈亏比,0.000,0.000,14.421,14.421,8.387,14.015,0.000,0.000,0.000,0.000
卡尔玛比率,1.369,1.450,0.742,0.742,0.907,0.642,-0.283,-0.553,-0.544,-0.554
年化波动率,41.137227497534596,28.507695938192768,35.56171279808583,35.56171279808583,35.130532463170425,35.73512575065125,20.4460118901455,13.634284234743102,9.379516036379968,9.7857998042342
最终资金,2151961.0660468126,1662824.9545336918,1572587.7529375823,1572587.7529375823,1521133.2537268354,1488810.2119389384,848495.3575360151,760260.169162841,803150.6032153723,760386.6612181517
