指标,参数组合1,参数组合2,参数组合3,参数组合4,参数组合5,参数组合6,参数组合7,参数组合8,参数组合9,参数组合10
参数_bb_period,11,26,12,22,22,24,18,25,22,18
参数_bb_std,2.1385984039468724,1.438465226826013,1.7970235595556274,1.9951491086347652,1.6972005886473116,1.785649027560406,1.2207561278862784,1.7527026368386183,2.283153385257014,1.2606653621777
参数_j_overbought,85,97,88,85,94,104,90,96,93,90
参数_j_oversold,29,26,17,10,30,10,15,14,13,29
参数_volume_multiplier,2.9844231185824355,1.8916655057071825,2.301776945897706,2.0495493205167783,2.7198808134726415,2.126576435691079,2.3665270376509167,1.0626265849111172,1.3644721755761247,1.1812128690656416
夏普比率,0.000,-0.865,-0.865,-0.865,-0.865,-0.865,-0.865,-1.270,-1.380,-1.463
总收益率,0.00%,-5.32%,-5.32%,-5.32%,-5.32%,-5.32%,-5.32%,-35.49%,-15.15%,-37.00%
年化收益率,0.00%,-2.87%,-2.87%,-2.87%,-2.87%,-2.87%,-2.87%,-20.82%,-8.38%,-21.81%
最大回撤,0.00%,8.91%,8.91%,8.91%,8.91%,8.91%,8.91%,49.69%,15.15%,39.76%
胜率,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9.09%
总交易次数,0,1,1,1,1,1,1,8,3,11
盈亏比,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.289
卡尔玛比率,0.000,-0.322,-0.322,-0.322,-0.322,-0.322,-0.322,-0.419,-0.553,-0.549
年化波动率,0.0,6.725882196406493,6.725882196406493,6.725882196406493,6.725882196406493,6.725882196406493,6.725882196406493,19.977217283368898,8.5313300640911,18.444903265685227
最终资金,1000000.0,946759.6276323864,946759.6276323864,946759.6276323864,946759.6276323864,946759.6276323864,946759.6276323864,645054.1468618376,848491.774040156,629985.1783388506
