日期,价格,现金,持仓,权益,收益率,成本价,未实现盈亏
2025-11-18,59.94,968345.6510759585,0,968345.6510759585,0.0,0.0,0.0
2025-11-17,62.2,968345.6510759585,0,968345.6510759585,0.0,0.0,0.0
2025-11-14,56.61,968345.6510759585,0,968345.6510759585,0.0,0.0,0.0
2025-11-13,59.5,968345.6510759585,0,968345.6510759585,0.0,0.0,0.0
2025-11-12,54.1,968345.6510759585,0,968345.6510759585,0.0,0.0,0.0
2025-11-11,55.32,968345.6510759585,0,968345.6510759585,0.0,0.0,0.0
2025-11-10,57.51,968345.6510759585,0,968345.6510759585,0.0,0.0,0.0
2025-11-07,56.99,968345.6510759585,0,968345.6510759585,0.0,0.0,0.0
2025-11-06,55.14,968345.6510759585,0,968345.6510759585,0.0,0.0,0.0
2025-11-05,54.27,968345.6510759585,0,968345.6510759585,0.0,0.0,0.0
2025-11-04,52.25,968345.6510759585,0,968345.6510759585,0.0,0.0,0.0
2025-11-03,53.83,968345.6510759585,0,968345.6510759585,0.0,0.0,0.0
2025-10-31,53.4,968345.6510759585,0,968345.6510759585,0.0,0.0,0.0
2025-10-30,55.68,968345.6510759585,0,968345.6510759585,0.0,0.0,0.0
2025-10-29,50.77,968345.6510759585,0,968345.6510759585,0.0,0.0,0.0
2025-10-28,48.51,968345.6510759585,0,968345.6510759585,0.0,0.0,0.0
2025-10-27,49.21,968345.6510759585,0,968345.6510759585,0.0,0.0,0.0
2025-10-24,48.61,968345.6510759585,0,968345.6510759585,0.0,0.0,0.0
2025-10-23,48.01,968345.6510759585,0,968345.6510759585,0.0,0.0,0.0
2025-10-22,45.97,968345.6510759585,0,968345.6510759585,0.0,0.0,0.0
2025-10-21,45.61,968345.6510759585,0,968345.6510759585,0.0,0.0,0.0
2025-10-20,45.49,968345.6510759585,0,968345.6510759585,0.0,0.0,0.0
2025-10-17,46.55,968345.6510759585,0,968345.6510759585,0.0,0.0,0.0
2025-10-16,47.5,968345.6510759585,0,968345.6510759585,0.0,0.0,0.0
2025-10-15,47.3,968345.6510759585,0,968345.6510759585,0.0,0.0,0.0
2025-10-14,46.98,968345.6510759585,0,968345.6510759585,0.0,0.0,0.0
2025-10-13,49.77,968345.6510759585,0,968345.6510759585,0.0,0.0,0.0
2025-10-10,47.65,968345.6510759585,0,968345.6510759585,0.0,0.0,0.0
2025-10-09,51.33,968345.6510759585,0,968345.6510759585,0.0,0.0,0.0
2025-09-30,47.57,968345.6510759585,0,968345.6510759585,0.0,0.0,0.0
2025-09-29,46.44,968345.6510759585,0,968345.6510759585,0.0,0.0,0.0
