指标,参数组合1,参数组合2,参数组合3,参数组合4,参数组合5,参数组合6,参数组合7,参数组合8,参数组合9,参数组合10
参数_fast,14,15,12,12,9,13,15,8,11,8
参数_signal,11,12,7,6,8,10,11,7,7,8
参数_slow,26,24,29,31,31,25,29,35,28,30
夏普比率,1.261,1.261,1.174,1.174,1.174,1.171,1.160,1.098,1.054,1.054
总收益率,81.28%,81.28%,86.51%,86.51%,86.51%,76.45%,81.29%,76.50%,71.71%,71.71%
年化收益率,37.26%,37.26%,39.36%,39.36%,39.36%,35.30%,37.27%,35.32%,33.35%,33.35%
最大回撤,11.36%,11.36%,24.76%,24.76%,24.76%,17.46%,17.85%,19.54%,16.05%,16.05%
胜率,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
总交易次数,2,2,2,2,2,3,2,3,3,3
盈亏比,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
卡尔玛比率,3.280,3.280,1.590,1.590,1.590,2.022,2.088,1.808,2.078,2.078
年化波动率,26.62210940691806,26.62210940691806,31.02059203177565,31.02059203177565,31.02059203177565,27.608936381449574,29.65174089946138,30.12387566251454,29.820610183636724,29.820610183636724
最终资金,1812753.8832595297,1812753.8832595297,1865058.6821463713,1865058.6821463713,1865058.6821463713,1764526.883424866,1812867.2714867,1764999.1766147986,1717050.1131596614,1717050.1131596614
