日期,收盘价,KDJ+MACD双重确认策略,MACD趋势策略,布林带+RSI反转策略,KDJ+布林带系统,布林带策略,RSI反转策略,成交量突破策略,双均线策略,KDJ超卖反弹策略
2025-11-03,53.83,,,,,,,sell,,
2025-10-30,55.68,,,,,,,buy,,
2025-09-10,43.93,,,,,,,sell,,
2025-09-05,46.35,,,,,,,buy,,
2025-08-14,43.03,,,,,,,sell,,
2025-08-12,45.88,,,,,,,buy,,
2025-07-29,40.4,,,,,,,sell,,
2025-07-18,36.0,,,,,,,buy,,
2025-07-14,34.23,,,,,,sell,,,
2025-07-01,31.78,,,,,,,sell,,
2025-06-24,31.22,,buy,,,,,buy,,
2025-05-15,29.39,,,,,,,,buy,
2025-04-28,28.12,,,,,,,sell,,
2025-04-24,28.76,,,,,,,buy,,
2025-04-10,27.56,,,,,,buy,,,
2025-04-09,27.07,,,,,sell,sell,,,
2025-04-08,27.07,,,,,buy,buy,,,
2025-04-07,27.23,,,,,sell,sell,,,sell
2025-03-28,30.56,,,,,buy,buy,,,
2025-02-19,32.69,,,,,,,sell,,
2025-02-12,33.86,,,,,,,buy,,
2025-01-27,30.58,,,,,,,,,buy
2025-01-24,30.99,,,,,,,,,sell
2025-01-13,32.29,,,,,,sell,,,
2025-01-03,31.63,,,,,,,,,buy
2025-01-02,32.39,,,,,,buy,,,sell
2024-12-31,33.0,,,,,,sell,,,
2024-12-30,34.38,,,,,,,,,buy
2024-12-17,34.71,,,,,,buy,,,
2024-12-11,37.16,,,,,,,,sell,
2024-11-26,38.17,,sell,,,,,,,
2024-11-20,41.4,,buy,,,,,,,
2024-10-11,33.41,,,,,,,sell,,
2024-10-08,38.72,,,,,,sell,,,sell
2024-09-26,29.09,,,,,sell,,,buy,
2024-09-24,27.42,,,,,,,buy,,
2024-09-23,24.93,buy,,,,,,,,
2024-09-13,25.82,,,,,,,sell,,
2024-09-11,27.42,,,,,,,buy,,
2024-08-28,25.32,,,,,,buy,,,
2024-08-26,25.68,,,,,,,,,buy
2024-08-23,25.11,,,,,buy,,,,
2024-08-19,26.32,sell,,,,,,,,sell
2024-07-15,28.74,,,,,,,sell,,
2024-07-11,29.6,,,,,,,buy,,
2024-07-08,27.75,buy,,,,,,,,buy
2024-07-05,28.73,,,,,,sell,,,sell
2024-06-24,30.1,,,,,,buy,,,buy
2024-06-20,31.25,,,,,,sell,,,sell
2024-06-11,33.54,,,,,,buy,,,buy
2024-06-07,34.0,,,,,,sell,,,sell
2024-05-31,36.08,,,,,,buy,,,
2024-05-28,36.0,,,,,,,,,buy
2024-05-27,36.39,,,,,,,,,sell
2024-05-24,36.59,,,,,sell,sell,,,
2024-05-20,38.29,,,,,,,,,buy
2024-05-08,39.7,,,,,,,sell,,
2024-04-29,40.79,,,,,,,buy,,
2024-04-26,38.87,,,,,buy,,,,
2024-04-25,39.19,,,,,sell,buy,,,
2024-04-24,40.63,,,,,buy,,,,
2024-04-16,46.83,sell,,,,,,,,
2024-03-22,49.8,buy,,,,,,,sell,
2024-03-13,53.24,,,,,,,,buy,
2024-03-06,50.82,,,,,,sell,,,
2024-03-05,51.21,,,,,,,sell,,
2024-02-28,50.16,,,,,,,buy,,
2024-02-06,44.83,,,,,,buy,,,
2024-02-05,41.89,,,,,,sell,,,
2024-02-02,44.18,,,,,,buy,,,
