日期,开盘,最高,最低,收盘,成交量,成交额
2025-11-18 15:00:00,59.98,59.99,59.88,59.94,2201800,131988992.0
2025-11-18 14:55:00,59.85,60.03,59.84,59.98,2504600,150095872.0
2025-11-18 14:50:00,59.88,59.98,59.83,59.84,2835100,169804288.0
2025-11-18 14:45:00,59.56,59.98,59.54,59.89,1732300,103613952.0
2025-11-18 14:40:00,59.69,59.86,59.53,59.6,1617600,96541696.0
2025-11-18 14:35:00,59.5,59.7,59.41,59.69,1506400,89686528.0
2025-11-18 14:30:00,59.46,59.5,59.42,59.48,944100,56127488.0
2025-11-18 14:25:00,59.37,59.48,59.36,59.46,811800,48229888.0
2025-11-18 14:20:00,59.38,59.42,59.34,59.37,822400,48829952.0
2025-11-18 14:15:00,59.4,59.45,59.34,59.39,956700,56811008.0
2025-11-18 14:10:00,59.52,59.55,59.4,59.4,975700,58030080.0
2025-11-18 14:05:00,59.5,59.52,59.37,59.52,984800,58562048.0
2025-11-18 14:00:00,59.73,59.75,59.46,59.53,1052800,62734848.0
2025-11-18 13:55:00,59.7,59.82,59.68,59.73,766000,45760512.0
2025-11-18 13:50:00,59.75,59.92,59.68,59.68,1152800,68939264.0
2025-11-18 13:45:00,59.83,59.85,59.69,59.74,1125200,67247104.0
2025-11-18 13:40:00,59.77,59.83,59.54,59.83,1042500,62240768.0
2025-11-18 13:35:00,59.39,59.76,59.37,59.76,1196600,71239680.0
2025-11-18 13:30:00,59.36,59.52,59.19,59.39,1527500,90641408.0
2025-11-18 13:25:00,59.61,59.62,59.31,59.4,1864000,110824448.0
2025-11-18 13:20:00,59.8,59.8,59.5,59.57,2146500,127924736.0
2025-11-18 13:15:00,60.06,60.07,59.65,59.82,1235300,73888256.0
2025-11-18 13:10:00,59.85,60.07,59.79,60.07,976500,58490368.0
2025-11-18 13:05:00,60.0,60.02,59.6,59.87,1939700,115989504.0
2025-11-18 11:30:00,59.89,60.07,59.76,60.07,1323800,79278592.0
2025-11-18 11:25:00,60.15,60.38,59.9,59.9,1074600,64554496.0
2025-11-18 11:20:00,59.98,60.37,59.98,60.15,1227900,73874432.0
2025-11-18 11:15:00,60.02,60.05,59.9,59.98,1337000,80204288.0
2025-11-18 11:10:00,60.02,60.1,59.94,60.09,3185700,191202304.0
2025-11-18 11:05:00,60.24,60.26,60.04,60.04,2698800,162370048.0
2025-11-18 11:00:00,60.58,60.58,60.24,60.25,1934100,116893696.0
2025-11-18 10:55:00,61.14,61.17,60.62,60.62,1317900,80190464.0
2025-11-18 10:50:00,61.01,61.23,61.0,61.17,1047100,63970304.0
2025-11-18 10:45:00,61.27,61.4,60.97,60.99,1441100,88132608.0
2025-11-18 10:40:00,61.02,61.49,61.02,61.21,1457800,89387008.0
2025-11-18 10:35:00,61.04,61.5,61.02,61.02,2053200,125892096.0
2025-11-18 10:30:00,60.76,61.09,60.7,61.04,1471300,89518592.0
2025-11-18 10:25:00,60.66,61.18,60.66,60.76,1790100,109090816.0
2025-11-18 10:20:00,60.73,60.81,60.51,60.68,1688600,102448640.0
2025-11-18 10:15:00,60.9,61.19,60.65,60.8,2410600,146772992.0
2025-11-18 10:10:00,60.15,61.18,60.15,60.87,3661000,222985984.0
2025-11-18 10:05:00,60.36,60.45,60.15,60.15,4458200,268717568.0
2025-11-18 10:00:00,60.9,60.9,60.36,60.36,3879400,234817536.0
2025-11-18 09:55:00,61.07,61.27,60.6,60.91,5486000,334217728.0
2025-11-18 09:50:00,61.68,62.06,61.02,61.06,7221600,442737408.0
2025-11-18 09:45:00,62.66,62.86,61.5,61.68,8606800,534327292.0
2025-11-18 09:40:00,62.5,63.63,62.47,62.7,12095200,761810816.0
