日期,价格,现金,持仓,权益,收益率,成本价,未实现盈亏
2025-09-30,1443.99,89019.4211616749,800,1244211.421161675,-0.0012058118794697759,1445.4339899999998,-1155.1919999998063
2025-09-29,1460.86,1245713.5173192746,0,1245713.5173192746,0.0,0.0,0.0
2025-09-26,1435.0,1245713.5173192746,0,1245713.5173192746,0.0,0.0,0.0
2025-09-25,1439.0,1245713.5173192746,0,1245713.5173192746,0.0,0.0,0.0
2025-09-24,1442.0,1245713.5173192746,0,1245713.5173192746,0.0,0.0,0.0
2025-09-23,1447.42,1245713.5173192746,0,1245713.5173192746,0.0,0.0,0.0
2025-09-22,1453.35,1245713.5173192746,0,1245713.5173192746,0.0,0.0,0.0
2025-09-19,1467.97,1245713.5173192746,0,1245713.5173192746,0.0,0.0,0.0
2025-09-18,1467.96,1245713.5173192746,0,1245713.5173192746,0.0,0.0,0.0
2025-09-17,1493.0,1245713.5173192746,0,1245713.5173192746,0.0,0.0,0.0
2025-09-16,1499.98,1245713.5173192746,0,1245713.5173192746,0.0,0.0,0.0
2025-09-15,1515.1,1245713.5173192746,0,1245713.5173192746,0.0,0.0,0.0
2025-09-12,1516.0,1245713.5173192746,0,1245713.5173192746,0.0,0.0,0.0
2025-09-11,1523.5,1245713.5173192746,0,1245713.5173192746,0.0,0.0,0.0
2025-09-10,1522.01,1245713.5173192746,0,1245713.5173192746,0.0,0.0,0.0
2025-09-09,1505.0,1245713.5173192746,0,1245713.5173192746,0.0,0.0,0.0
2025-09-08,1501.23,1245713.5173192746,0,1245713.5173192746,0.0,0.0,0.0
2025-09-05,1483.0,1245713.5173192746,0,1245713.5173192746,0.0,0.0,0.0
2025-09-04,1472.66,1245713.5173192746,0,1245713.5173192746,0.0,0.0,0.0
2025-09-03,1480.55,1245713.5173192746,0,1245713.5173192746,0.0,0.0,0.0
2025-09-02,1491.3,1245713.5173192746,0,1245713.5173192746,0.0,0.0,0.0
2025-09-01,1476.1,1245713.5173192746,0,1245713.5173192746,0.0,0.0,0.0
2025-08-29,1480.0,1245713.5173192746,0,1245713.5173192746,0.0,0.0,0.0
