指标,参数组合1,参数组合2,参数组合3,参数组合4,参数组合5,参数组合6,参数组合7,参数组合8,参数组合9,参数组合10
参数_overbought,70,71,77,71,78,79,72,74,80,74
参数_oversold,31,29,26,28,27,30,35,31,25,30
参数_rsi_period,15,15,16,13,18,21,7,7,20,6
夏普比率,0.692,0.554,-0.027,-0.150,-0.216,-0.242,-0.728,-0.976,-1.246,-1.277
总收益率,24.42%,19.00%,1.54%,-0.59%,-5.19%,-6.63%,-15.42%,-19.45%,-22.49%,-23.82%
年化收益率,13.35%,10.49%,0.88%,-0.34%,-3.01%,-3.86%,-9.16%,-11.67%,-13.59%,-14.44%
最大回撤,21.57%,19.15%,18.76%,22.50%,23.66%,23.74%,25.07%,27.65%,29.60%,28.40%
胜率,50.00%,45.45%,28.57%,38.46%,20.00%,0.00%,48.00%,40.91%,0.00%,44.00%
总交易次数,14,11,7,13,5,4,25,22,6,25
盈亏比,1.527,1.926,2.686,1.380,2.890,0.000,0.732,0.803,0.000,0.629
卡尔玛比率,0.619,0.548,0.047,-0.015,-0.127,-0.163,-0.365,-0.422,-0.459,-0.509
年化波动率,16.308450724786557,15.314451677580903,18.10848259926088,14.999560569381604,19.702148845405667,20.589412705943904,16.04955214796774,15.097847906106256,13.79164061056346,14.218931260092669
最终资金,1244211.421161675,1189969.0411170747,1015381.1131358417,994053.7036907031,948062.1925457009,933668.0764263659,845771.6003784634,805470.4506946221,775099.7585000768,761795.3144585815
