日期,价格,现金,持仓,权益,收益率,成本价,未实现盈亏
2025-09-30,1443.99,934122.6223118742,0,934122.6223118742,0.0,0.0,0.0
2025-09-29,1460.86,934122.6223118742,0,934122.6223118742,0.0,0.0,0.0
2025-09-26,1435.0,934122.6223118742,0,934122.6223118742,-0.004666139890137755,0.0,0.0
2025-09-25,1439.0,75101.80301187409,600,938501.8030118741,-0.0019142790051390746,1447.5460999999998,-5127.659999999878
2025-09-24,1442.0,75101.80301187409,600,940301.8030118741,-0.0034465443195920153,1447.5460999999998,-3327.659999999878
2025-09-23,1447.42,75101.80301187409,600,943553.8030118741,-0.003756684257006815,1447.5460999999998,-75.65999999983433
2025-09-22,1453.35,75101.80301187409,600,947111.8030118741,-0.009176847617210937,1447.5460999999998,3482.3400000000674
2025-09-19,1467.97,75101.80301187409,600,955883.8030118741,6.2769529547423986e-06,1447.5460999999998,12254.340000000138
2025-09-18,1467.96,75101.80301187409,600,955877.8030118741,-0.015474273457308896,1447.5460999999998,12248.340000000144
2025-09-17,1493.0,75101.80301187409,600,970901.8030118741,-0.004294989022615159,1447.5460999999998,27272.34000000012
2025-09-16,1499.98,75101.80301187409,600,975089.8030118741,-0.00921799644350818,1447.5460999999998,31460.340000000135
2025-09-15,1515.1,75101.80301187409,600,984161.8030118741,-0.0005483893685868102,1447.5460999999998,40532.34000000007
2025-09-12,1516.0,75101.80301187409,600,984701.8030118741,-0.004549122318922794,1447.5460999999998,41072.34000000012
2025-09-11,1523.5,75101.80301187409,600,989201.8030118741,0.0009045764864705763,1447.5460999999998,45572.34000000012
2025-09-10,1522.01,75101.80301187409,600,988307.8030118741,0.010434496663407344,1447.5460999999998,44678.34000000011
2025-09-09,1505.0,75101.80301187409,600,978101.8030118741,0.00231800341922761,1447.5460999999998,34472.34000000012
2025-09-08,1501.23,75101.80301187409,600,975839.8030118741,0.01133586854730484,1447.5460999999998,32210.340000000135
2025-09-05,1483.0,75101.80301187409,600,964901.8030118741,0.006471277998665759,1447.5460999999998,21272.34000000012
2025-09-04,1472.66,75101.80301187409,600,958697.8030118741,-0.004913684585873712,1447.5460999999998,15068.340000000171
2025-09-03,1480.55,75101.80301187409,600,963431.8030118741,-0.006650294891573538,1447.5460999999998,19802.340000000095
2025-09-02,1491.3,75101.80301187409,600,969881.8030118741,0.009492467301895013,1447.5460999999998,26252.340000000095
2025-09-01,1476.1,75101.80301187409,600,960761.8030118741,-0.0024296496929838707,1447.5460999999998,17132.34000000007
2025-08-29,1480.0,75101.80301187409,600,963101.8030118741,0.02157490888474589,1447.5460999999998,19472.34000000012
2025-08-28,1446.1,75101.80301187409,600,942761.8030118741,-0.001195285756315445,1447.5460999999998,-867.6599999999326
2025-08-27,1448.0,943890.021309874,0,943890.021309874,0.0,0.0,0.0
2025-08-26,1481.61,943890.021309874,0,943890.021309874,0.0,0.0,0.0
2025-08-25,1490.33,943890.021309874,0,943890.021309874,0.0,0.0,0.0
2025-08-22,1463.95,943890.021309874,0,943890.021309874,0.0,0.0,0.0
2025-08-21,1448.25,943890.021309874,0,943890.021309874,0.0,0.0,0.0
2025-08-20,1450.0,943890.021309874,0,943890.021309874,0.0,0.0,0.0
2025-08-19,1438.0,943890.021309874,0,943890.021309874,0.0,0.0,0.0
2025-08-18,1428.5,943890.021309874,0,943890.021309874,0.0,0.0,0.0
2025-08-15,1422.08,943890.021309874,0,943890.021309874,0.0,0.0,0.0
2025-08-14,1426.99,943890.021309874,0,943890.021309874,0.0,0.0,0.0
2025-08-13,1420.05,943890.021309874,0,943890.021309874,0.0,0.0,0.0
2025-08-12,1437.04,943890.021309874,0,943890.021309874,0.0,0.0,0.0
2025-08-11,1445.0,943890.021309874,0,943890.021309874,0.0,0.0,0.0
2025-08-08,1420.97,943890.021309874,0,943890.021309874,0.0,0.0,0.0
2025-08-07,1422.35,943890.021309874,0,943890.021309874,0.0,0.0,0.0
2025-08-06,1423.88,943890.021309874,0,943890.021309874,0.0,0.0,0.0
2025-08-05,1427.74,943890.021309874,0,943890.021309874,0.0,0.0,0.0
