指标,参数组合1,参数组合2,参数组合3,参数组合4,参数组合5,参数组合6,参数组合7,参数组合8,参数组合9,参数组合10
参数_long_period,77,47,39,60,89,95,86,31,30,84
参数_short_period,5,17,12,12,7,6,20,14,19,17
夏普比率,-0.528,-0.671,-0.966,-1.232,-1.281,-1.296,-1.401,-1.634,-1.977,-2.860
总收益率,-6.59%,-6.91%,-11.27%,-12.84%,-12.75%,-12.40%,-13.44%,-20.73%,-27.63%,-14.32%
年化收益率,-3.83%,-4.02%,-6.62%,-7.58%,-7.52%,-7.31%,-7.94%,-12.47%,-16.93%,-8.48%
最大回撤,12.82%,9.44%,12.67%,13.70%,13.61%,13.20%,18.01%,21.01%,28.88%,14.32%
胜率,0.00%,25.00%,14.29%,0.00%,0.00%,0.00%,0.00%,12.50%,9.09%,0.00%
总交易次数,3,4,7,4,3,3,3,8,11,3
盈亏比,0.000,0.200,1.872,0.000,0.000,0.000,0.000,1.081,1.190,0.000
卡尔玛比率,-0.299,-0.426,-0.523,-0.553,-0.553,-0.554,-0.441,-0.593,-0.586,-0.592
年化波动率,11.997352550571069,10.065725566432567,9.948864800674967,8.751738595335462,8.390667968442541,8.12664368144665,8.032019242443441,9.981120221259468,10.937202464621082,4.229633860351497
最终资金,934122.6223118742,930906.4554466374,887339.0416588382,871628.322879123,872483.5271767731,876005.3099765702,865619.7075744014,792700.2015547014,723674.6390534212,856756.4921605722
