指标,参数组合1,参数组合2,参数组合3,参数组合4,参数组合5,参数组合6,参数组合7,参数组合8,参数组合9,参数组合10
参数_bb_period,29,21,22,27,22,24,15,17,16,15
参数_oversold,36,32,35,36,33,35,34,37,40,37
参数_rsi_period,18,18,16,17,15,12,15,12,14,13
参数_std_dev,1.8003115063364057,1.8186662652854462,2.1439761626945284,1.8733739159464655,1.8399899663272012,1.802826522087887,2.1768807022739414,2.0603553891795414,2.047354403733235,1.8923575302488598
夏普比率,0.068,0.000,0.000,-0.132,-0.132,-0.132,-0.132,-0.630,-0.630,-0.975
总收益率,5.51%,0.00%,0.00%,4.37%,4.37%,4.37%,4.37%,-0.83%,-0.83%,-3.37%
年化收益率,3.12%,0.00%,0.00%,2.48%,2.48%,2.48%,2.48%,-0.48%,-0.48%,-1.94%
最大回撤,1.82%,0.00%,0.00%,1.74%,1.74%,1.74%,1.74%,8.21%,8.21%,8.40%
胜率,100.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,50.00%,50.00%,50.00%
总交易次数,1,0,0,1,1,1,1,2,2,2
盈亏比,inf,0.000,0.000,inf,inf,inf,inf,0.849,0.849,0.359
卡尔玛比率,1.714,0.000,0.000,1.426,1.426,1.426,1.426,-0.058,-0.058,-0.231
年化波动率,3.721730136065539,0.0,0.0,3.1157926871580215,3.1157926871580215,3.1157926871580215,3.1157926871580215,5.328406316842002,5.328406316842002,5.034873828371153
最终资金,1055063.4661564003,1000000.0,1000000.0,1043663.3351310001,1043663.3351310001,1043663.3351310001,1043663.3351310001,991659.8571697747,991659.8571697747,966333.2096692747
