指标,参数组合1,参数组合2,参数组合3,参数组合4,参数组合5,参数组合6,参数组合7,参数组合8,参数组合9,参数组合10
参数_period,16,34,16,40,19,26,35,30,26,38
参数_std_dev,2.3053991405867773,2.217795110562541,2.1673422621808727,2.2322370567394016,2.255621931064197,2.0335960277973153,1.9284043529063146,1.8049464136538023,1.869982441072602,1.8005451360887101
夏普比率,0.868,0.393,0.355,0.260,0.126,0.074,-0.103,-0.191,-0.285,-0.338
总收益率,24.43%,12.72%,11.63%,9.64%,6.60%,5.39%,1.44%,-0.44%,-2.32%,-4.14%
年化收益率,13.35%,7.11%,6.51%,5.42%,3.73%,3.05%,0.82%,-0.25%,-1.34%,-2.40%
最大回撤,10.35%,10.12%,10.35%,14.10%,10.30%,13.83%,14.27%,14.52%,14.27%,18.64%
胜率,66.67%,50.00%,50.00%,42.86%,40.00%,42.86%,37.50%,37.50%,28.57%,33.33%
总交易次数,6,6,6,7,5,7,8,8,7,9
盈亏比,1.708,1.822,1.751,1.980,2.145,1.713,1.779,1.652,2.283,1.728
卡尔玛比率,1.290,0.702,0.629,0.384,0.362,0.221,0.058,-0.017,-0.094,-0.129
年化波动率,12.368069109961088,12.357658894273346,11.916489179530428,12.329557678775208,11.020923738399963,13.402803870708361,12.934653756037983,12.894874869708865,12.699144803245655,13.617651733342392
最终资金,1244267.1897972713,1127234.421966113,1116283.868349081,1096426.6273806717,1065979.7862217799,1053867.5467747408,1014389.4404055948,995575.122835768,976764.7524138128,958572.4204732752
