日期,类型,价格,实际价格,数量,金额,手续费,原因,收入,印花税,盈亏,盈亏率,成本价
2025-05-08,sell,1578.19,1576.61181,700,,331.08848009999997,signal,1103628.267,1103.628267,51143.550252900226,4.8659483614385834,1501.4999999999998
2025-04-07,buy,1500.0,1501.4999999999998,700,1051049.9999999998,315.3149999999999,signal,,,,,
2025-03-11,sell,1548.68,1547.13132,700,,324.89757719999994,signal,1082991.9239999999,1082.991924,72576.03449879994,7.192810611888106,1441.4399999999998
2025-01-06,buy,1440.0,1441.4399999999998,700,1009007.9999999999,302.70239999999995,signal,,,,,
2024-09-26,sell,1529.0,1527.471,700,,320.76890999999995,signal,1069229.7,1069.2296999999999,180122.87138999987,20.290577502062217,1268.1669
2024-09-18,buy,1266.9,1268.1669,700,887716.83,266.315049,signal,,,,,
2024-09-13,sell,1319.54868045,1318.22913176955,700,,276.82811767160547,stop_loss,922760.3922386849,922.760392238685,-51711.49627122539,-5.313158123500011,1390.389
2024-08-28,buy,1389.0,1390.389,700,973272.2999999999,291.98168999999996,signal,,,,,
2024-06-19,sell,1490.5485094499998,1489.0579609405497,600,,268.03043296929894,stop_loss,893434.7765643299,893.4347765643299,-50068.08864520362,-5.3131581235,1570.5689999999997
2024-06-11,buy,1569.0,1570.5689999999997,600,942341.3999999998,282.7024199999999,signal,,,,,
2024-05-06,sell,1760.2,1758.4398,500,,263.76597,signal,879219.9,879.2199,43913.58413000009,5.2643867874172905,1668.32666
2024-04-08,buy,1666.66,1668.32666,500,834163.33,250.24899899999997,signal,,,,,
