指标,参数组合1,参数组合2,参数组合3,参数组合4,参数组合5,参数组合6,参数组合7,参数组合8,参数组合9,参数组合10
参数_volume_multiplier,2.096850157946487,2.1174815096277166,1.683434789866164,1.5007787658410143,1.833708611139022,2.221998772266825,1.5070663052197175,1.599974915818003,2.150888472948853,2.024774660258389
参数_volume_period,24,30,25,28,16,6,20,16,9,6
夏普比率,0.511,0.504,0.307,0.290,0.143,0.000,-0.068,-0.304,-1.342,-3.394
总收益率,15.19%,15.07%,10.85%,10.90%,7.02%,0.00%,1.87%,-2.48%,0.64%,-1.58%
年化收益率,8.45%,8.38%,6.08%,6.11%,3.97%,0.00%,1.07%,-1.43%,0.37%,-0.91%
最大回撤,8.69%,8.70%,11.73%,14.92%,14.06%,0.00%,17.19%,16.89%,1.36%,1.58%
胜率,50.00%,33.33%,30.00%,23.08%,28.57%,0.00%,26.67%,15.38%,50.00%,0.00%
总交易次数,2,3,10,13,7,0,15,13,2,2
盈亏比,24.258,41.974,6.065,5.918,4.548,0.000,3.108,4.763,2.249,0.000
卡尔玛比率,0.973,0.964,0.518,0.409,0.282,0.000,0.062,-0.085,0.272,-0.575
年化波动率,11.957041737188003,11.983604566076504,12.726887279617877,14.321381497336864,13.212756246004986,0.0,13.904564169142297,12.331469035104435,1.9376302872851154,1.1613387346016621
最终资金,1151939.0792528002,1150652.2663033004,1108460.3095796015,1108984.5800744016,1070203.5671662004,1000000.0,1018663.8774685013,975188.210450801,1006439.0128312001,984165.45706
