日期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2025-09-30,64627000000.0,6.25,64680999999.99999,6.42,130904000000.0,6.32,51.53,205.28,1.1,168.39,30.5,52.08,91.29,24.64,25.14,1330.1,0.2,1330.05,0.05,6.62,5.06,1.47,0.15,12.81
2025-06-30,45403000000.0,8.89,45390000000.0,8.93,91094000000.0,9.16,36.18,189.98,1.09,152.56,10.44,52.56,91.3,17.89,19.03,1264.99,0.14,1264.93,0.06,5.73,4.43,1.27,0.18,14.75
2025-03-31,26847000000.000004,11.56,26850000000.0,11.64,51442999999.99999,10.67,21.38,205.67,1.09,166.88,7.01,54.89,91.97,10.92,10.39,1209.71,0.07,1209.68,0.03,6.07,4.78,1.24,0.17,14.14
2024-12-31,86228000000.0,15.38,86241000000.0,15.37,174144000000.0,15.66,68.64,185.56,1.09,145.51,73.61,52.27,91.93,36.02,36.99,1315.39,0.27,1315.31,0.08,4.45,3.47,1.09,0.24,19.04
2024-09-30,60828000000.0,15.04,60779000000.0,15.08,123123000000.0,16.91,48.42,189.23,1.09,153.56,35.36,52.19,91.53,26.09,25.59,1249.5,0.22,1249.42,0.08,6.16,4.91,1.59,0.16,13.63
2024-06-30,41696000000.0,15.88,41670000000.0,15.92,83451000000.0,17.56,33.19,174.0,1.09,138.33,29.15,52.7,91.76,17.63,19.08,1256.17,0.14,1256.11,0.07,4.57,3.63,1.2,0.23,18.32
2024-03-31,24065000000.0,15.73,24051000000.0,15.75,46485000000.0,18.04,19.16,190.84,1.09,156.86,7.31,54.36,92.61,10.57,10.04,1241.51,0.07,1241.38,0.13,6.48,5.2,2.14,0.15,12.95
2023-12-31,74734000000.0,19.16,74753000000.0,19.05,150560000000.0,18.04,59.49,171.68,1.09,137.7,53.01,52.49,91.96,34.19,34.65,1293.2,0.28,1293.1,0.1,4.62,3.67,1.43,0.23,17.98
2023-09-30,52876000000.0,19.09,52816000000.0,18.97,105316000000.00002,17.3,42.09,173.39,1.09,143.39,39.8,53.09,91.71,24.82,24.28,1258.35,0.21,1258.15,0.2,5.96,4.84,2.03,0.17,14.14
2023-06-30,35980000000.0,20.76,35947000000.0,20.78,70987000000.0,19.42,28.64,159.94,1.09,129.94,24.19,53.66,91.8,16.7,17.91,1257.05,0.14,1256.98,0.07,6.35,5.07,2.22,0.16,13.39
2023-03-31,20795000000.0,20.59,20778000000.0,20.5,39379000000.0,18.66,16.55,173.76,1.09,144.94,4.18,55.54,92.6,10.0,9.53,1236.36,0.07,1236.26,0.09,6.94,5.66,2.31,0.15,12.36
2022-12-31,62716999999.99999,19.55,62791999999.99999,19.42,127554000000.0,16.53,49.93,157.23,1.09,128.4,29.21,52.68,91.87,30.26,31.75,1288.08,0.28,1288.01,0.06,4.41,3.56,1.19,0.25,19.42
2022-09-30,44400000000.0,19.14,44393000000.0,18.84,89786000000.0,16.52,35.34,164.55,1.09,136.97,7.49,53.14,91.87,21.91,21.48,1306.87,0.21,1306.87,,6.19,5.14,1.72,0.17,13.85
2022-06-30,29794000000.0,20.85,29763000000.0,20.75,59444000000.00001,17.2,23.72,152.92,1.09,125.34,-0.0089,53.99,92.11,14.57,15.51,1352.37,0.13,1352.37,,4.95,4.09,1.42,0.22,17.26
2022-03-31,17245000000.0,23.58,17243000000.0,23.43,33187000000.0,18.25,13.73,164.61,1.09,141.67,-5.47,55.59,92.37,8.7,8.34,1226.16,0.07,1226.16,,5.98,5.03,1.56,0.18,14.48
