股票名称,股票代码,板块代码,板块名称,板块涨幅
贵州茅台,600519,BK0552,机构重仓,-0.29
贵州茅台,600519,BK0665,电商概念,-0.33
贵州茅台,600519,BK0683,央国企改革,-0.35
贵州茅台,600519,BK0590,西部大开发,-0.39
贵州茅台,600519,BK0879,标准普尔,-0.61
贵州茅台,600519,BK0173,贵州板块,-0.61
贵州茅台,600519,BK0718,证金持股,-0.65
贵州茅台,600519,BK0811,超级品牌,-0.71
贵州茅台,600519,BK0707,沪股通,-0.72
贵州茅台,600519,BK0596,融资融券,-0.74
贵州茅台,600519,BK0867,富时罗素,-0.77
贵州茅台,600519,BK0610,央视50_,-0.9
贵州茅台,600519,BK0477,酿酒行业,-0.95
贵州茅台,600519,BK0896,白酒,-1.08
贵州茅台,600519,BK0612,上证180_,-1.17
贵州茅台,600519,BK0611,上证50_,-1.23
贵州茅台,600519,BK0821,MSCI中国,-1.25
贵州茅台,600519,BK0999,茅指数,-1.29
贵州茅台,600519,BK0500,HS300_,-1.33
贵州茅台,600519,BK1059,百元股,-2.2
