指标,参数组合1,参数组合2,参数组合3,参数组合4,参数组合5,参数组合6,参数组合7,参数组合8,参数组合9,参数组合10
参数_j_overbought,91,83,90,90,93,88,77,75,80,75
参数_j_oversold,4,14,23,30,2,1,13,18,24,28
夏普比率,1.189,1.029,0.672,0.672,0.509,0.509,0.385,0.201,0.065,0.065
总收益率,67.77%,58.91%,38.38%,38.38%,23.51%,23.51%,17.69%,9.46%,2.64%,2.64%
年化收益率,31.72%,27.97%,18.88%,18.88%,11.90%,11.90%,9.06%,4.93%,1.40%,1.40%
最大回撤,20.92%,24.08%,33.45%,33.45%,27.94%,27.94%,24.08%,29.10%,33.45%,33.45%
胜率,25.00%,22.22%,18.18%,18.18%,14.29%,14.29%,22.22%,20.00%,20.00%,20.00%
总交易次数,8,9,11,11,7,7,9,10,10,10
盈亏比,9.302,9.149,8.134,8.134,10.101,10.101,4.901,4.594,4.309,4.309
卡尔玛比率,1.517,1.161,0.564,0.564,0.426,0.426,0.376,0.169,0.042,0.042
年化波动率,24.072825503063857,25.138369958612127,28.255866476808233,28.255866476808233,21.717772023667962,21.717772023667962,21.962035853324707,22.04772797221426,25.456249585215208,25.456249585215208
最终资金,1677718.7213118772,1589059.633671906,1383763.2846903002,1383763.2846903002,1235106.4758774713,1235106.4758774713,1176945.8015871064,1094641.8201498028,1026415.1372103002,1026415.1372103002
