日期,类型,价格,实际价格,数量,金额,手续费,原因,收入,印花税,盈亏,盈亏率,成本价
2025-11-17,buy,41.68,41.72167999999999,40400,1685555.8719999997,505.66676159999986,signal,,,,,
2025-08-18,sell,32.8,32.767199999999995,51500,,506.2532399999999,signal,1687510.7999999998,1687.5107999999998,666143.8809599999,65.36120753298295,19.789769999999997
2025-06-30,buy,19.77,19.789769999999997,51500,1019173.1549999999,305.7519465,signal,,,,,
2025-06-27,sell,21.213478786499994,21.192265307713495,48200,,306.4401563495371,stop_loss,1021467.1878317904,1021.4671878317904,-57243.02551239077,-5.313158123500014,22.352329999999995
2025-06-23,buy,22.33,22.352329999999995,48200,1077382.3059999999,323.2146917999999,signal,,,,,
2024-10-08,sell,13.59,13.57641,79500,,323.7973785,signal,1079324.595,1079.324595,275760.1130265002,34.37713741615531,10.090079999999999
2024-09-18,buy,10.08,10.090079999999999,79500,802161.3599999999,240.64840799999993,signal,,,,,
2024-08-20,sell,10.725489274499997,10.714763785225497,75000,,241.08218516757364,stop_loss,803607.2838919122,803.6072838919122,-45034.15557714715,-5.31315812350002,11.301289999999998
2024-07-08,buy,11.29,11.301289999999998,75000,847596.7499999999,254.27902499999993,signal,,,,,
2024-07-05,sell,11.466488533499998,11.455022044966498,74100,,254.6451400596052,stop_loss,848817.1335320175,848.8171335320175,-47567.715741574066,-5.313158123500012,12.082069999999998
2024-06-25,buy,12.07,12.082069999999998,74100,895281.3869999999,268.58441609999994,signal,,,,,
2024-06-24,sell,12.444987554999996,12.432542567444996,72100,,268.91589573383527,stop_loss,896386.3191127842,896.3863191127842,-50233.493102062144,-5.313158123500004,13.113099999999998
2024-06-07,buy,13.1,13.113099999999998,72100,945454.5099999998,283.63635299999993,signal,,,,,
2024-06-06,sell,12.986487013499998,12.973500526486498,73000,,284.1196615300543,stop_loss,947065.5384335144,947.0655384335145,-53073.55676644889,-5.313158123499983,13.683669999999998
2024-06-03,buy,13.67,13.683669999999998,73000,998907.9099999998,299.67237299999994,signal,,,,,
