序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,海南自贸区,1811.66,4.63,118.83,107.11,11.71,27,康芝药业,20.0,10.62
2,赛马概念,1075.51,1.65,8.1,6.61,1.49,7,*ST正平,4.94,7.86
3,自由贸易港,1200.16,1.59,101.49,104.99,-3.5,43,欣龙控股,9.98,7.38
4,特色小镇,594.588,1.54,41.0,48.47,-7.47,39,荣盛发展,10.17,1.95
5,幽门螺杆菌概念,1185.35,1.5,83.47,84.92,-1.45,74,康芝药业,20.0,10.62
6,民营医院,1733.88,1.35,79.87,98.89,-19.02,73,海南海药,10.08,6.77
7,福建自贸区,1624.84,1.3,254.75,269.02,-14.27,128,中富通,20.0,18.78
8,流感,1644.0,1.24,178.79,181.32,-2.53,170,康芝药业,20.0,10.62
9,医药电商,1157.29,1.24,143.32,148.83,-5.51,155,漱玉平民,20.03,16.66
10,禽流感,2588.68,1.21,35.22,40.34,-5.11,25,众生药业,9.98,26.0
11,共享单车,1320.11,1.13,7.88,9.25,-1.37,12,中路股份,6.98,11.49
12,肝炎概念,1330.1,1.13,153.06,153.06,0.0,139,康芝药业,20.0,10.62
13,仿制药一致性评价,1871.99,1.03,179.75,182.9,-3.15,141,康芝药业,20.0,10.62
14,天然气,1661.73,1.03,188.75,193.78,-5.03,161,首华燃气,20.0,18.96
15,猴痘概念,1029.99,1.01,81.31,93.93,-12.62,75,海辰药业,19.99,71.9
16,兵装重组概念,1506.88,0.98,14.49,13.37,1.11,14,长城军工,4.87,48.68
17,海峡两岸,1762.42,0.98,445.13,501.21,-56.08,201,漱玉平民,20.03,16.66
18,免税店,1201.28,0.97,81.98,87.24,-5.26,30,东百集团,10.0,11.0
19,土地流转,2302.02,0.95,48.02,45.18,2.84,41,统一股份,8.49,31.3
20,CRO概念,906.321,0.94,92.86,89.27,3.59,71,诚达药业,20.0,49.2
21,眼科医疗,2007.69,0.9,42.75,54.01,-11.26,48,人民同泰,10.04,15.13
22,可燃冰,1599.81,0.86,22.76,23.34,-0.58,14,中集集团,9.96,8.94
23,航运概念,1806.01,0.85,98.9,95.55,3.36,85,龙洲股份,10.02,6.48
24,俄乌冲突概念,1425.67,0.83,149.83,168.1,-18.27,72,首华燃气,20.0,18.96
25,创新药,1442.44,0.82,332.44,332.73,-0.29,267,康芝药业,20.0,10.62
26,TOPCON电池,1059.98,0.77,268.23,259.3,8.93,75,海目星,11.61,51.34
