序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日
1,000061,农产品,2025-11-12,1家机构买入，成功率48.80%,10.18,10.0541,26912641.38,172225630.7,145312989.32,317538620.02,1400388698.0,1.921797956413,22.675034472465,6.2876,17274778001.08,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.19646365,0.58939096,,
2,000069,华侨城A,2025-11-11,普通席位买入，成功率49.74%,2.93,10.1504,28584391.44,240104223.86,211519832.42,451624056.28,1648422316.0,1.734045405874,27.397351509769,4.8858,20212903218.33,连续三个交易日内，涨幅偏离值累计达到20%的证券,-4.09556314,-3.75426621,,
3,000338,潍柴动力,2025-11-06,普通席位买入，成功率53.09%,18.03,10.0061,35798297.86,538688478.22,502890180.36,1041578658.58,3031832221.0,1.180747985065,34.35475919035,3.38,89882545630.41,日涨幅偏离值达到7%的前5只证券,1.33111481,1.60843039,-0.16638935,
4,000407,胜利股份,2025-11-14,买一主买，成功率56.22%,5.54,9.9206,46385841.0,65331817.0,18945976.0,84277793.0,100845318.0,45.997019911227,83.571349341176,1.2319,4851833454.48,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
5,000407,胜利股份,2025-11-12,普通席位买入，成功率55.55%,4.58,10.0962,19849183.44,36993043.44,17143860.0,54136903.44,57859578.0,34.305786744591,93.566018473208,0.5287,4011082530.96,连续三个交易日内，涨幅偏离值累计达到20%的证券,10.04366812,20.96069869,,
6,000514,渝开发,2025-11-10,3家机构买入，成功率35.40%,6.56,2.6604,-42883085.68,106460794.2,149343879.88,255804674.08,1064908029.0,-4.0269285715,24.021292648175,19.4683,5535137530.4,日振幅值达到15%的前5只证券,-5.33536585,-8.53658537,,
7,000514,渝开发,2025-11-07,3家机构买入，成功率42.91%,6.39,9.9828,67770957.31,143388266.67,75617309.36,219005576.03,1214071530.0,5.582122274954,18.038935154834,13.1531,5391696466.35,连续三个交易日内，涨幅偏离值累计达到20%的证券,2.66040689,-2.81690141,-8.13771518,
8,000533,顺钠股份,2025-11-14,2家机构卖出，成功率32.93%,9.33,-10.0289,-163482202.71,103123392.83,266605595.54,369728988.37,1582641942.0,-10.329702402769,23.361505755545,24.3567,6390139392.0,日跌幅偏离值达到7%的前5只证券,,,,
9,000533,顺钠股份,2025-11-06,4家机构买入，成功率45.11%,8.73,9.9496,136931906.27,318942580.38,182010674.11,500953254.49,2494497056.0,5.489359305542,20.082334965482,23.0618,5979197952.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,3.55097365,13.860252,18.78579611,
10,000547,航天发展,2025-11-14,普通席位买入，成功率52.08%,9.41,10.0585,279073209.56,428573624.66,149500415.1,578074039.76,2528868151.0,11.035498606349,22.859002733354,17.0518,14946380049.36,日涨幅偏离值达到7%的前5只证券,,,,
11,000555,神州信息,2025-11-07,2家机构卖出，成功率28.14%,19.55,-8.216,-5095924.43000001,365239878.65,370335803.08,735575681.73,3353582816.0,-0.151954632093,21.934024656274,17.3482,19000714637.1,日跌幅偏离值达到7%的前5只证券,-2.55754476,-3.52941176,-7.67263427,
12,000555,神州信息,2025-11-04,2家机构买入，成功率26.54%,21.9,5.036,-117859335.4,558723561.16,676582896.56,1235306457.72,5386025360.0,-2.18824323174,22.935399949918,25.9696,21284688007.8,日振幅值达到15%的前5只证券,-2.92237443,-2.73972603,-13.88127854,
13,000555,神州信息,2025-11-04,2家机构买入，成功率46.43%,21.9,5.036,213709243.81,1244315771.29,1030606527.48,2274922298.77,14446864428.0,1.479277699843,15.746823887687,25.9696,21284688007.8,连续三个交易日内，涨幅偏离值累计达到20%的证券,-2.92237443,-2.73972603,-13.88127854,
