报告期,报表核心指标,*现金及现金等价物净增加额,*经营活动产生的现金流量净额,*投资活动产生的现金流量净额,*筹资活动产生的现金流量净额,*期末现金及现金等价物余额,报表全部指标,一、经营活动产生的现金流量,销售商品、提供劳务收到的现金,收到的税费与返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,二、投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,三、筹资活动产生的现金流量,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,其中：子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金及现金等价物的影响,五、现金及现金等价物净增加额,加：期初现金及现金等价物余额,六、期末现金及现金等价物余额,补充资料：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,间接法-经营活动产生的现金流量净额,2、不涉及现金收支的重大投资和筹资活动：,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,间接法-现金及现金等价物净增加额
2025-09-30,,8.54亿,21.93亿,-31.44亿,17.29亿,64.89亿,,,71.31亿,6.58亿,3.72亿,81.62亿,36.92亿,11.63亿,9.80亿,1.34亿,59.69亿,21.93亿,,1.41亿,4353.23万,1220.91万,False,1045.13万,2.07亿,24.82亿,8.54亿,False,1541.56万,33.51亿,-31.44亿,,False,False,93.68亿,1.16亿,94.83亿,65.05亿,10.58亿,5.01亿,1.92亿,77.54亿,17.29亿,7573.24万,8.54亿,56.35亿,64.89亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2025-06-30,,14.94亿,18.20亿,-30.50亿,26.11亿,71.29亿,,,51.44亿,5.01亿,2.42亿,58.87亿,23.69亿,7.96亿,8.14亿,8705.33万,40.67亿,18.20亿,,6100.69万,1100.84万,99.50万,False,680.12万,7981.15万,18.11亿,13.10亿,False,933.03万,31.30亿,-30.50亿,,False,False,75.92亿,9268.36万,76.85亿,41.88亿,7.54亿,3.86亿,1.32亿,50.74亿,26.11亿,1.13亿,14.94亿,56.35亿,71.29亿,,,15.12亿,1.78亿,5.56亿,1.16亿,93.30万,51.05万,-65.77万,374.52万,-1.63亿,-2.05亿,-2.05亿,3.13亿,-4.41亿,6.86亿,-5.47亿,1665.53万,18.20亿,,,71.29亿,56.35亿,14.94亿
2025-03-31,,24.11亿,9.52亿,-11.67亿,26.23亿,80.46亿,,,27.37亿,2.50亿,1.16亿,31.04亿,11.12亿,4.03亿,4.40亿,1.97亿,21.52亿,9.52亿,,6100.69万,425.14万,75.20万,False,639.51万,7240.53万,8.87亿,3.50亿,False,262.06万,12.40亿,-11.67亿,,False,False,43.58亿,737.53万,43.65亿,11.13亿,5.48亿,3.86亿,8067.85万,17.42亿,26.23亿,280.94万,24.11亿,56.35亿,80.46亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2024-12-31,,-36.95亿,55.54亿,-58.83亿,-32.41亿,56.35亿,,,140.32亿,7.62亿,4.93亿,152.88亿,44.60亿,13.80亿,35.90亿,3.03亿,97.34亿,55.54亿,,False,3.63亿,172.40万,False,827.33万,3.73亿,45.24亿,17.23亿,False,955.53万,62.57亿,-58.83亿,,544.00万,544.00万,96.81亿,2.35亿,99.22亿,66.33亿,61.86亿,32.52亿,3.43亿,131.63亿,-32.41亿,-1.25亿,-36.95亿,93.30亿,56.35亿,,,-2924.23万,21.65亿,9.89亿,1.46亿,304.43万,False,1.03亿,-507.83万,11.48亿,8.40亿,-1.11亿,3.99亿,1.08亿,22.26亿,-24.60亿,3203.39万,55.54亿,,,56.35亿,93.30亿,-36.95亿
2024-09-30,,-30.84亿,41.92亿,-46.65亿,-25.59亿,62.47亿,,,113.12亿,5.93亿,3.03亿,122.08亿,34.93亿,10.47亿,32.63亿,2.13亿,80.15亿,41.92亿,,6.50亿,3.69亿,27.16万,False,808.28万,10.28亿,36.63亿,20.23亿,False,653.04万,56.93亿,-46.65亿,,544.00万,544.00万,87.87亿,2.31亿,90.24亿,53.72亿,60.28亿,32.52亿,1.83亿,115.83亿,-25.59亿,-5143.98万,-30.84亿,93.30亿,62.47亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2024-06-30,,-40.68亿,22.36亿,-37.91亿,-24.12亿,52.63亿,,,79.43亿,4.12亿,2.35亿,85.90亿,24.49亿,6.98亿,30.99亿,1.09亿,63.54亿,22.36亿,,False,3.55亿,2700.00,False,468.58万,3.60亿,24.30亿,17.16亿,False,504.55万,41.51亿,-37.91亿,,544.00万,544.00万,72.62亿,1.48亿,74.16亿,46.20亿,50.91亿,27.22亿,1.17亿,98.28亿,-24.12亿,-1.00亿,-40.68亿,93.30亿,52.63亿,,,4.63亿,3.08亿,4.61亿,6618.71万,152.33万,False,21.58万,403.66万,4.03亿,11.21亿,-2.20亿,3.76亿,1.75亿,21.58亿,-30.97亿,1591.88万,22.36亿,,,52.63亿,93.30亿,-40.68亿
2024-03-31,,-2.15亿,31.44亿,-20.93亿,-10.42亿,91.15亿,,,48.25亿,2.23亿,8477.01万,51.32亿,11.73亿,3.10亿,4.52亿,5322.30万,19.88亿,31.44亿,,2.40亿,171.48万,False,False,343.58万,2.45亿,12.69亿,10.66亿,False,419.70万,23.39亿,-20.93亿,,False,False,34.15亿,8633.16万,35.02亿,38.81亿,6.09亿,4.60亿,5400.22万,45.43亿,-10.42亿,-2.25亿,-2.15亿,93.30亿,91.15亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2023-12-31,,-29.59亿,226.88亿,-20.23亿,-234.38亿,93.30亿,,,459.60亿,10.84亿,5.71亿,476.15亿,81.96亿,11.48亿,153.26亿,2.56亿,249.27亿,226.88亿,,False,24.04亿,1437.02万,False,571.88万,24.24亿,44.43亿,False,False,416.85万,44.47亿,-20.23亿,,5.50亿,5.50亿,109.01亿,1802.43万,114.69亿,89.18亿,257.57亿,201.80亿,2.32亿,349.07亿,-234.38亿,-1.87亿,-29.59亿,122.90亿,93.30亿,,,256.63亿,6.50亿,7.10亿,1.35亿,232.10万,-802.61万,301.24万,27.92万,3.62亿,-31.10亿,-20.09亿,-9935.54万,-17.39亿,47.98亿,-26.98亿,2762.82万,226.88亿,,,93.30亿,122.90亿,-29.59亿
2023-09-30,,-45.95亿,200.35亿,-9.02亿,-232.30亿,76.95亿,,,354.22亿,4.62亿,4.62亿,363.46亿,64.46亿,7.75亿,86.90亿,4.00亿,163.10亿,200.35亿,,False,19.32亿,2.69万,False,729.61万,19.39亿,28.39亿,False,False,213.42万,28.41亿,-9.02亿,,3.92亿,3.92亿,71.37亿,1123.71万,75.40亿,56.07亿,250.66亿,197.16亿,9718.40万,307.71亿,-232.30亿,-4.98亿,-45.95亿,122.90亿,76.95亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2023-06-30,,-22.00亿,121.01亿,-1.30亿,-142.63亿,100.90亿,,,241.64亿,3.38亿,2.38亿,247.40亿,47.47亿,5.25亿,69.34亿,4.33亿,126.39亿,121.01亿,,False,15.76亿,2.69万,False,316.21万,15.79亿,17.08亿,False,False,113.82万,17.09亿,-1.30亿,,199.00万,199.00万,70.90亿,963.00万,71.02亿,56.06亿,156.32亿,110.02亿,1.26亿,213.65亿,-142.63亿,9115.67万,-22.00亿,122.90亿,100.90亿,,,164.89亿,-8959.20万,3.34亿,8238.54万,75.83万,-1.17万,150.21万,False,1.57亿,-20.57亿,-16.30亿,1.85亿,-9.82亿,-20.23亿,16.34亿,False,121.01亿,,,100.90亿,122.90亿,-22.00亿
