date,time,code,open,high,low,close,volume,amount,adjustflag
2025-11-11,20251111093500000,sz.002466,57.0000,57.5500,56.8400,57.0000,8874500,507859712.0000,3
2025-11-11,20251111094000000,sz.002466,56.9900,57.1100,56.7200,56.9000,4744100,269948292.0000,3
2025-11-11,20251111094500000,sz.002466,56.8600,57.5200,56.5600,57.3600,3738800,213127356.0000,3
2025-11-11,20251111095000000,sz.002466,57.3000,57.5800,57.0500,57.4000,3024400,173427776.0000,3
2025-11-11,20251111095500000,sz.002466,57.4000,57.4900,57.1000,57.4000,2080800,119222908.0000,3
2025-11-11,20251111100000000,sz.002466,57.4600,57.6800,57.2900,57.4700,2997000,172417674.0000,3
2025-11-11,20251111100500000,sz.002466,57.4700,57.5300,56.9300,57.0500,1794000,102545145.0000,3
2025-11-11,20251111101000000,sz.002466,57.0300,57.1900,56.9100,57.0500,1493700,85169544.0000,3
2025-11-11,20251111101500000,sz.002466,57.0300,57.1400,56.8500,56.8500,1288500,73396863.0000,3
2025-11-11,20251111102000000,sz.002466,56.8500,56.9100,56.7000,56.7000,1295100,73561466.0000,3
2025-11-11,20251111102500000,sz.002466,56.7000,56.9500,56.6900,56.6900,1240400,70460804.0000,3
2025-11-11,20251111103000000,sz.002466,56.6800,56.9400,56.6800,56.7000,1142800,64853884.0000,3
2025-11-11,20251111103500000,sz.002466,56.7000,56.7000,56.5100,56.5200,1728600,97803136.0000,3
2025-11-11,20251111104000000,sz.002466,56.5200,56.5400,56.3800,56.4700,2272000,128288384.0000,3
2025-11-11,20251111104500000,sz.002466,56.4500,56.5500,56.3200,56.4200,1559400,87958784.0000,3
2025-11-11,20251111105000000,sz.002466,56.4000,56.6200,56.3600,56.3600,761300,42981632.0000,3
2025-11-11,20251111105500000,sz.002466,56.3000,56.3900,56.0500,56.1100,2203500,123904256.0000,3
2025-11-11,20251111110000000,sz.002466,56.0900,56.4200,56.0100,56.2400,1617300,90781952.0000,3
2025-11-11,20251111110500000,sz.002466,56.2000,56.6500,56.1100,56.5200,1634500,92170752.0000,3
2025-11-11,20251111111000000,sz.002466,56.5400,56.8100,56.1400,56.2800,1822300,103130880.0000,3
2025-11-11,20251111111500000,sz.002466,56.2800,56.4900,56.1400,56.4500,976300,54962688.0000,3
