股票代码,报告日期,分类类型,主营构成,主营收入,收入比例,主营成本,成本比例,主营利润,利润比例,毛利率
002466,2025-06-30,,化学原料及化学制品制造业,2442242877.9,0.50536,1817494384.09,0.623991,624748493.81,0.325392,0.255809
002466,2025-06-30,,采选冶炼行业,2380232355.03,0.492528,1089361529.22,0.374005,1290870825.81,0.672333,0.54233
002466,2025-06-30,,其他(补充),10205504.05,0.002112,5836358.99,0.002004,4369145.06,0.002276,0.428117
002466,2025-06-30,按产品分类,锂化合物及衍生品,2442242877.9,0.50536,1817494384.09,0.623991,624748493.81,0.325392,0.255809
002466,2025-06-30,按产品分类,锂矿,2380232355.03,0.492528,1089361529.22,0.374005,1290870825.81,0.672333,0.54233
002466,2025-06-30,按产品分类,其他(补充),10205504.05,0.002112,5836358.99,0.002004,4369145.06,0.002276,0.428117
002466,2025-06-30,按地区分类,中国大陆,4506492270.89,0.932504,2632793223.14,0.903904,1873699047.75,0.975891,0.415778
002466,2025-06-30,按地区分类,海外,326188466.09,0.067496,279899049.16,0.096096,46289416.93,0.024109,0.14191
002466,2024-12-31,,化学原料及化学制品制造业,8074564724.38,0.618102,5231503746.58,0.74263,2843060977.8,0.472354,0.352101
002466,2024-12-31,,采选冶炼行业,4978183710.58,0.381076,1806365178.91,0.25642,3171818531.67,0.526975,0.637144
002466,2024-12-31,,其他,10728581.43,0.000821,6692248.97,0.00095,4036332.46,0.000671,0.376222
002466,2024-12-31,按产品分类,锂化合物及衍生品,8074564724.38,0.618102,5231503746.58,0.74263,2843060977.8,0.472354,0.352101
002466,2024-12-31,按产品分类,锂矿,4978183710.58,0.381076,1806365178.91,0.25642,3171818531.67,0.526975,0.637144
002466,2024-12-31,按产品分类,其他,10728581.43,0.000821,6692248.97,0.00095,4036332.46,0.000671,0.376222
002466,2024-12-31,按地区分类,中国大陆,11900626501.4,0.910985,6363553933.64,0.903329,5537072567.76,0.919945,0.465276
002466,2024-12-31,按地区分类,海外,1162850514.99,0.089015,681007240.82,0.096671,481843274.17,0.080055,0.414364
002466,2024-06-30,,化学原料及化学制品制造业,3844865033.46,0.599021,2208462160.28,0.714053,1636402873.18,0.492044,0.425607
002466,2024-06-30,,采选冶炼行业,2571366506.26,0.400613,883394630.4,0.285624,1687971875.86,0.50755,0.656449
002466,2024-06-30,,其他(补充),2347050.24,0.000366,997566.21,0.000323,1349484.03,0.000406,0.57497
002466,2024-06-30,按产品分类,锂化合物及衍生品,3844865033.46,0.599021,2208462160.28,0.714053,1636402873.18,0.492044,0.425607
002466,2024-06-30,按产品分类,锂矿,2571366506.26,0.400613,883394630.4,0.285624,1687971875.86,0.50755,0.656449
002466,2024-06-30,按产品分类,其他(补充),2347050.24,0.000366,997566.21,0.000323,1349484.03,0.000406,0.57497
002466,2024-06-30,按地区分类,中国大陆,5625582001.79,0.876453,2654404142.19,0.858238,2971177859.6,0.893393,0.528155
002466,2024-06-30,按地区分类,海外,792996588.17,0.123547,438450214.7,0.141762,354546373.47,0.106607,0.447097
002466,2023-12-31,,采选冶炼行业,27203891918.59,0.671644,2599755529.83,0.427485,24604136388.76,0.71478,0.904434
002466,2023-12-31,,化学原料及化学制品制造业,13289519289.17,0.328108,3475737286.45,0.571525,9813782002.72,0.285102,0.73846
002466,2023-12-31,,其他,10050863.7,0.000248,6018613.28,0.00099,4032250.42,0.000117,0.401184
002466,2023-12-31,按产品分类,锂矿,27203891918.59,0.671644,2599755529.83,0.427485,24604136388.76,0.71478,0.904434
002466,2023-12-31,按产品分类,锂化合物及衍生品,13289519289.17,0.328108,3475737286.45,0.571525,9813782002.72,0.285102,0.73846
002466,2023-12-31,按产品分类,其他,10050863.7,0.000248,6018613.28,0.00099,4032250.42,0.000117,0.401184
002466,2023-12-31,按地区分类,国内,34339583106.13,0.847818,5088362673.31,0.836694,29251220432.82,0.849784,0.851822
002466,2023-12-31,按地区分类,国外,6163878965.33,0.152182,993148756.25,0.163306,5170730209.08,0.150216,0.838876
002466,2023-06-30,,采选冶炼行业,16035406738.54,0.645984,1318882430.56,0.412534,14716524307.98,0.680495,0.917752
002466,2023-06-30,,化学原料及化学制品制造业,8784401642.86,0.353878,1876399302.84,0.58692,6908002340.02,0.319427,0.786394
002466,2023-06-30,,其他,3425949.11,0.000138,1743535.6,0.000545,1682413.51,7.8e-05,0.49108
002466,2023-06-30,按产品分类,锂矿,16035406738.54,0.645984,1318882430.56,0.412534,14716524307.98,0.680495,0.917752
002466,2023-06-30,按产品分类,锂化合物及衍生品,8784401642.86,0.353878,1876399302.84,0.58692,6908002340.02,0.319427,0.786394
002466,2023-06-30,按产品分类,其他,3425949.11,0.000138,1743535.6,0.000545,1682413.51,7.8e-05,0.49108
002466,2023-06-30,按地区分类,国内,20621772816.76,0.830745,2630330969.59,0.822743,17991441847.17,0.831928,0.872449
002466,2023-06-30,按地区分类,国外,4201461513.75,0.169255,566694299.41,0.177257,3634767214.34,0.168072,0.86512
002466,2022-12-31,,化学原料及化学制品制造业,25008614242.19,0.618277,3539419857.73,0.588215,21469194384.46,0.623531,0.858472
002466,2022-12-31,,采选冶炼行业,15438820159.21,0.381687,2477165137.74,0.411679,12961655021.47,0.376446,0.83955
002466,2022-12-31,,其他,1449580.37,3.6e-05,640531.67,0.000106,809048.7,2.3e-05,0.558126
002466,2022-12-31,按产品分类,锂化合物及衍生品,25008614242.19,0.618277,3539419857.73,0.588215,21469194384.46,0.623531,0.858472
002466,2022-12-31,按产品分类,锂矿,15438820159.21,0.381687,2477165137.74,0.411679,12961655021.47,0.376446,0.83955
002466,2022-12-31,按产品分类,其他,1449580.37,3.6e-05,640531.67,0.000106,809048.7,2.3e-05,0.558126
002466,2022-12-31,按地区分类,国内,33892133424.31,0.8379,4973938302.61,0.826617,28918195121.7,0.839872,0.853242
002466,2022-12-31,按地区分类,国外,6556750557.46,0.1621,1043287224.53,0.173383,5513463332.93,0.160128,0.840883
002466,2022-06-30,,化学原料及化学制品制造业,9827853979.21,0.687475,1224666453.16,0.544349,8603187526.05,0.714207,0.875388
002466,2022-06-30,,采选冶炼行业,4465901088.97,0.312398,1025113570.39,0.455651,3440787518.58,0.285642,0.770458
002466,2022-06-30,,其他,1815877.37,0.000127,0.0,,1815877.37,0.000151,
002466,2022-06-30,按产品分类,锂化合物及衍生品,9827853979.21,0.687475,1224666453.16,0.544349,8603187526.05,0.714207,0.875388
002466,2022-06-30,按产品分类,锂矿,4465901088.97,0.312398,1025113570.39,0.455651,3440787518.58,0.285642,0.770458
002466,2022-06-30,按产品分类,其他,1815877.37,0.000127,0.0,,1815877.37,0.000151,
002466,2022-06-30,按地区分类,国内,12067251035.27,0.844125,1845197769.4,0.820168,10222053265.87,0.8486,0.84709
002466,2022-06-30,按地区分类,国外,2228319910.28,0.155875,404582254.15,0.179832,1823737656.13,0.1514,0.818436
002466,2021-12-31,,化学原料及化学制品制造业,5017665943.3,0.654764,1912309807.06,0.656168,3105356136.24,0.653902,0.618885
002466,2021-12-31,,采选冶炼行业,2644074811.65,0.34503,1002049135.85,0.343832,1642025675.8,0.345765,0.621021
002466,2021-12-31,,其他(补充),1580186.92,0.000206,1792.34,1e-06,1578394.58,0.000332,0.998866
002466,2021-12-31,按产品分类,锂化合物及衍生品,5017665943.3,0.654764,1912309807.06,0.656168,3105356136.24,0.653902,0.618885
002466,2021-12-31,按产品分类,锂矿,2644074811.65,0.34503,1002049135.85,0.343832,1642025675.8,0.345765,0.621021
002466,2021-12-31,按产品分类,其他(补充),1580186.92,0.000206,1792.34,1e-06,1578394.58,0.000332,0.998866
002466,2021-12-31,按地区分类,国内,6643668766.43,0.866944,2440191870.49,0.837299,4203476895.94,0.885136,0.632704
002466,2021-12-31,按地区分类,国外,1019652175.44,0.133056,474168864.76,0.162701,545483310.68,0.114864,0.53497
002466,2021-06-30,,化学原料及化学制品制造业,1487419513.79,0.632665,793051327.4,0.690556,694368186.39,0.577382,0.466827
002466,2021-06-30,,采选冶炼行业,862643076.93,0.36692,355372235.78,0.309444,507270841.15,0.421806,0.588043
002466,2021-06-30,,其他(补充),976445.92,0.000415,,,,,
002466,2021-06-30,按产品分类,锂化合物及衍生品,1487419513.79,0.632665,793051327.4,0.690556,694368186.39,0.577382,0.466827
002466,2021-06-30,按产品分类,锂矿,862643076.93,0.36692,355372235.78,0.309444,507270841.15,0.421806,0.588043
002466,2021-06-30,按产品分类,其他(补充),976445.92,0.000415,,,,,
002466,2021-06-30,按地区分类,国内,1942683159.21,0.826308,969278940.24,0.844008,973404218.97,0.809406,0.501062
002466,2021-06-30,按地区分类,国外,408355877.43,0.173692,179144622.94,0.155992,229211254.49,0.190594,0.561303
002466,2020-12-31,,化学原料及化学制品制造业,1756640632.83,0.542265,1340167541.89,0.707119,416473090.94,0.309829,0.237085
002466,2020-12-31,,采选冶炼行业,1481259388.3,0.457256,555083653.77,0.292881,926175734.53,0.689016,0.625262
002466,2020-12-31,,其他(补充),1552184.45,0.000479,0.0,,1552184.45,0.001155,
002466,2020-12-31,按产品分类,锂化合物及衍生品,1756640632.83,0.542265,1340167541.89,0.707119,416473090.94,0.309829,0.237085
002466,2020-12-31,按产品分类,锂矿,1481259388.3,0.457256,555083653.77,0.292881,926175734.53,0.689016,0.625262
002466,2020-12-31,按产品分类,其他(补充),1552184.45,0.000479,0.0,,1552184.45,0.001155,
002466,2020-12-31,按地区分类,国内,2485031983.5,0.767115,1627501754.09,0.858726,857530229.41,0.637948,0.345078
002466,2020-12-31,按地区分类,国外,754420222.08,0.232885,267749441.56,0.141274,486670780.52,0.362052,0.645092
002466,2020-06-30,,采选冶炼行业,1047062146.79,0.557291,380729731.76,0.407743,666332415.03,0.705046,0.636383
002466,2020-06-30,,化学原料及化学制品制造业,830797613.78,0.442186,552692806.6,0.591907,278104807.18,0.294262,0.334744
002466,2020-06-30,,其他(补充),981316.3,0.000522,327571.21,0.000351,653745.09,0.000692,0.666192
002466,2020-06-30,按产品分类,锂矿,1047062146.79,0.557291,,,,,
002466,2020-06-30,按产品分类,锂化合物及衍生品,830797613.78,0.442186,,,,,
002466,2020-06-30,按产品分类,其他(补充),981316.3,0.000522,327571.21,0.000351,653745.09,0.000692,0.666192
002466,2020-06-30,按地区分类,国内,1367630187.97,0.727912,,,,,
002466,2020-06-30,按地区分类,国外,511210888.9,0.272088,,,,,
002466,2019-12-31,,化学原料及化学制品制造业,2925308237.3,0.604326,1505444957.92,0.715978,1419863279.38,0.518582,0.485372
002466,2019-12-31,,采选冶炼行业,1914537150.78,0.395515,597196558.57,0.284022,1317340592.21,0.481137,0.688073
002466,2019-12-31,,其他,769895.53,0.000159,,,,,
002466,2019-12-31,按产品分类,锂化合物及衍生品,2925308237.3,0.604326,1505444957.92,0.715978,1419863279.38,0.518582,0.485372
002466,2019-12-31,按产品分类,锂矿,1914537150.78,0.395515,597196558.57,0.284022,1317340592.21,0.481137,0.688073
002466,2019-12-31,按产品分类,其他,769895.53,0.000159,,,,,
002466,2019-12-31,按地区分类,国内,3546240235.53,0.732601,1633933089.19,0.777086,1912307146.34,0.698439,0.539249
002466,2019-12-31,按地区分类,国外,1294375048.08,0.267399,468708427.3,0.222914,825666620.78,0.301561,0.637888
002466,2019-06-30,,化学原料及化学制品制造业,1550254684.96,0.59866,734327556.03,0.728417,815927128.93,0.515944,0.526318
002466,2019-06-30,,采选冶炼行业,1038505431.08,0.401039,273786803.93,0.271583,764718627.15,0.483563,0.736365
002466,2019-06-30,,其他(补充),779857.74,0.000301,,,,,
002466,2019-06-30,按产品分类,锂化合物及衍生品,1550254684.96,0.59866,734327556.03,0.728417,815927128.93,0.515944,0.526318
002466,2019-06-30,按产品分类,锂矿,1038505431.08,0.401039,273786803.93,0.271583,764718627.15,0.483563,0.736365
002466,2019-06-30,按产品分类,其他(补充),779857.74,0.000301,,,,,
002466,2019-06-30,按地区分类,国内,1947559776.38,0.752087,782890653.97,0.776589,1164669122.41,0.736468,0.598015
002466,2019-06-30,按地区分类,国外,641980197.4,0.247913,225223705.99,0.223411,416756491.41,0.263532,0.649173
002466,2018-12-31,,化学原料及化学制品制造业,4040998419.35,0.647138,1404358650.06,0.694063,2636639769.29,0.624643,0.652472
002466,2018-12-31,,采选冶炼行业,2201926783.65,0.352623,619027841.08,0.305936,1582898942.57,0.375003,0.71887
002466,2018-12-31,,其他(补充),1494771.7,0.000239,2007.09,1e-06,1492764.61,0.000354,0.998657
002466,2018-12-31,按产品分类,锂化合物及衍生品,4040998419.35,0.647138,1404358650.06,0.694063,2636639769.29,0.624643,0.652472
002466,2018-12-31,按产品分类,锂矿,2201926783.65,0.352623,619027841.08,0.305936,1582898942.57,0.375003,0.71887
002466,2018-12-31,按产品分类,其他(补充),1494771.7,0.000239,2007.09,1e-06,1492764.61,0.000354,0.998657
002466,2018-12-31,按地区分类,国内,5179745623.71,0.8295,1628376255.15,0.804778,3551369368.56,0.841351,0.685626
002466,2018-12-31,按地区分类,国外,1064674350.99,0.1705,395010235.99,0.195222,669664115.0,0.158649,0.628985
002466,2018-06-30,,化学原料及化学制品制造业,2137709981.91,0.649861,628889755.38,0.696243,1508820226.53,0.632304,0.705811
002466,2018-06-30,,采选冶炼行业,1150849160.27,0.349857,274347710.18,0.30373,876501450.09,0.367317,0.761613
002466,2018-06-30,,其他(补充),928507.5,0.000282,24878.85,2.8e-05,903628.65,0.000379,0.973206
002466,2018-06-30,按产品分类,锂化合物及衍生品,2137709981.91,0.649861,628889755.38,0.696243,1508820226.53,0.632304,0.705811
002466,2018-06-30,按产品分类,锂矿,1150849160.27,0.349857,274347710.18,0.30373,876501450.09,0.367317,0.761613
002466,2018-06-30,按产品分类,其他(补充),928507.5,0.000282,24878.85,2.8e-05,903628.65,0.000379,0.973206
002466,2018-06-30,按地区分类,国内,2899200996.29,0.881353,738200262.15,0.81726,2161000734.14,0.905615,0.745378
002466,2018-06-30,按地区分类,国外,389358145.89,0.118364,165037203.41,0.182712,224320942.48,0.094007,0.57613
002466,2018-06-30,按地区分类,其他(补充),928507.5,0.000282,24878.85,2.8e-05,903628.65,0.000379,0.973206
002466,2017-12-31,,化学原料及化学制品制造业,3696258609.46,0.675728,1130633568.13,0.692261,2565625041.33,0.66869,0.694114
002466,2017-12-31,,采选冶炼行业,1750841358.06,0.320078,494287845.13,0.302641,1256553512.93,0.327501,0.717686
002466,2017-12-31,,其他(补充),22939906.97,0.004194,8326095.31,0.005098,14613811.66,0.003809,0.637048
002466,2017-12-31,按产品分类,锂化合物及衍生品,3696258609.46,0.675728,1130633568.13,0.692261,2565625041.33,0.66869,0.694114
002466,2017-12-31,按产品分类,锂矿,1750841358.06,0.320078,494287845.13,0.302641,1256553512.93,0.327501,0.717686
002466,2017-12-31,按产品分类,其他(补充),22939906.97,0.004194,8326095.31,0.005098,14613811.66,0.003809,0.637048
002466,2017-12-31,按地区分类,国内,5031188861.76,0.919772,1482840458.95,0.907909,3548348402.81,0.924822,0.70527
002466,2017-12-31,按地区分类,国外,438851012.73,0.080228,150407049.62,0.092091,288443963.11,0.075178,0.657271
002466,2017-06-30,,化学原料及化学制品制造业,1480420610.98,0.613124,452443272.55,0.597619,1027977338.43,0.620205,0.694382
002466,2017-06-30,,采选冶炼行业,921813898.73,0.381774,304622455.22,0.402367,617191443.51,0.372368,0.66954
