时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-11-07 09:35:00,1435.11,1435.68,1439.78,1432.01,0.04,0.55,1700,244123789.0,0.54,0.01
2025-11-07 09:40:00,1435.69,1433.05,1437.05,1433.0,-0.18,-2.63,1081,155100051.0,0.28,0.01
2025-11-07 09:45:00,1433.04,1435.29,1435.99,1432.61,0.16,2.24,746,106990154.0,0.24,0.01
2025-11-07 09:50:00,1434.7,1433.11,1435.29,1433.1,-0.15,-2.18,634,90907715.0,0.15,0.01
2025-11-07 09:55:00,1433.08,1432.7,1434.03,1432.64,-0.03,-0.41,661,94710321.0,0.1,0.01
2025-11-07 10:00:00,1433.02,1433.0,1434.98,1432.7,0.02,0.3,496,71116654.0,0.16,0.0
2025-11-07 10:05:00,1433.44,1432.5,1433.45,1431.11,-0.03,-0.5,825,118098318.0,0.16,0.01
2025-11-07 10:10:00,1432.5,1433.15,1434.6,1432.32,0.05,0.65,445,63780257.0,0.16,0.0
2025-11-07 10:15:00,1433.14,1433.0,1433.81,1433.0,-0.01,-0.15,342,49017525.0,0.06,0.0
2025-11-07 10:20:00,1433.0,1432.22,1433.06,1431.41,-0.05,-0.78,371,53136165.0,0.12,0.0
2025-11-07 10:25:00,1432.29,1432.51,1432.76,1431.42,0.02,0.29,332,47546580.0,0.09,0.0
2025-11-07 10:30:00,1432.23,1433.26,1433.45,1432.23,0.05,0.75,250,35841682.0,0.09,0.0
2025-11-07 10:35:00,1433.34,1434.08,1434.28,1433.33,0.06,0.82,239,34268468.0,0.07,0.0
2025-11-07 10:40:00,1434.0,1435.14,1435.4,1433.72,0.07,1.06,384,55095107.0,0.12,0.0
2025-11-07 10:45:00,1435.14,1434.46,1435.4,1434.44,-0.05,-0.68,200,28702471.0,0.07,0.0
2025-11-07 10:50:00,1434.49,1434.12,1435.0,1434.11,-0.02,-0.34,174,24989262.0,0.06,0.0
2025-11-07 10:55:00,1434.12,1435.71,1436.0,1434.11,0.11,1.59,354,50823727.0,0.13,0.0
2025-11-07 11:00:00,1435.72,1435.03,1435.79,1434.82,-0.05,-0.68,210,30145035.0,0.07,0.0
2025-11-07 11:05:00,1435.03,1436.38,1436.72,1434.82,0.09,1.35,262,37618822.0,0.13,0.0
2025-11-07 11:10:00,1436.38,1436.29,1436.38,1436.05,-0.01,-0.09,184,26426923.0,0.02,0.0
2025-11-07 11:15:00,1436.29,1437.18,1437.49,1436.16,0.06,0.89,325,46668170.0,0.09,0.0
2025-11-07 11:20:00,1437.18,1435.43,1437.18,1435.4,-0.12,-1.75,232,33324330.0,0.12,0.0
2025-11-07 11:25:00,1435.53,1434.2,1435.53,1434.12,-0.09,-1.23,249,35727094.0,0.1,0.0
2025-11-07 11:30:00,1434.19,1433.36,1434.59,1433.33,-0.06,-0.84,341,48886182.0,0.09,0.0
2025-11-07 13:05:00,1434.4,1432.79,1434.4,1431.88,-0.04,-0.57,665,95243853.0,0.18,0.01
2025-11-07 13:10:00,1432.52,1432.03,1432.77,1432.03,-0.05,-0.76,290,41537941.0,0.05,0.0
2025-11-07 13:15:00,1432.02,1431.2,1432.73,1431.2,-0.06,-0.83,476,68160817.0,0.11,0.0
2025-11-07 13:20:00,1431.22,1432.0,1432.74,1431.2,0.06,0.8,294,42086751.0,0.11,0.0
2025-11-07 13:25:00,1432.0,1432.21,1432.5,1432.0,0.01,0.21,189,27070219.0,0.03,0.0
2025-11-07 13:30:00,1432.22,1432.22,1432.75,1432.03,0.0,0.01,211,30222622.0,0.05,0.0
2025-11-07 13:35:00,1432.39,1433.03,1433.34,1432.39,0.06,0.81,161,23069778.0,0.07,0.0
2025-11-07 13:40:00,1433.34,1432.52,1433.34,1432.5,-0.04,-0.51,209,29950629.0,0.06,0.0
2025-11-07 13:45:00,1432.87,1432.52,1432.99,1432.52,0.0,0.0,183,26212902.0,0.03,0.0
2025-11-07 13:50:00,1432.53,1432.04,1432.89,1432.0,-0.03,-0.48,293,41968626.0,0.06,0.0
2025-11-07 13:55:00,1432.04,1433.47,1433.47,1432.04,0.1,1.43,237,33968837.0,0.1,0.0
2025-11-07 14:00:00,1433.48,1433.5,1434.49,1433.0,0.0,0.03,302,43318235.0,0.1,0.0
2025-11-07 14:05:00,1433.39,1433.85,1434.06,1433.0,0.02,0.35,378,54190530.0,0.07,0.0
2025-11-07 14:10:00,1433.85,1433.37,1434.0,1433.35,-0.03,-0.48,217,31113481.0,0.05,0.0
2025-11-07 14:15:00,1434.0,1433.4,1434.3,1433.37,0.0,0.03,251,35991688.0,0.06,0.0
2025-11-07 14:20:00,1433.8,1434.42,1434.49,1433.4,0.07,1.02,355,50907936.0,0.08,0.0
2025-11-07 14:25:00,1434.42,1435.37,1435.84,1434.42,0.07,0.95,306,43914467.0,0.1,0.0
2025-11-07 14:30:00,1435.36,1435.47,1435.83,1435.36,0.01,0.1,220,31583284.0,0.03,0.0
2025-11-07 14:35:00,1435.47,1435.37,1435.49,1434.64,-0.01,-0.1,262,37601028.0,0.06,0.0
2025-11-07 14:40:00,1435.38,1435.35,1435.43,1435.1,0.0,-0.02,295,42341826.0,0.02,0.0
2025-11-07 14:45:00,1435.35,1435.52,1435.58,1435.33,0.01,0.17,414,59365388.0,0.02,0.0
2025-11-07 14:50:00,1435.57,1435.43,1435.96,1435.43,-0.01,-0.09,524,75159262.0,0.04,0.0
2025-11-07 14:55:00,1435.39,1435.15,1435.5,1435.0,-0.02,-0.28,551,79085950.0,0.03,0.0
2025-11-07 15:00:00,1435.14,1433.33,1435.4,1433.33,-0.13,-1.82,543,77885004.0,0.14,0.0
2025-11-10 09:35:00,1435.0,1437.86,1438.88,1434.98,0.32,4.53,1812,260258600.0,0.27,0.01
2025-11-10 09:40:00,1437.86,1440.35,1441.0,1437.04,0.17,2.49,1748,251613234.0,0.28,0.01
2025-11-10 09:45:00,1440.39,1437.9,1441.02,1437.19,-0.17,-2.45,1255,180667358.0,0.27,0.01
2025-11-10 09:50:00,1437.87,1438.06,1438.7,1435.97,0.01,0.16,664,95447978.0,0.19,0.01
2025-11-10 09:55:00,1438.59,1437.04,1439.87,1437.03,-0.07,-1.02,701,100769153.0,0.2,0.01
2025-11-10 10:00:00,1437.02,1437.09,1437.8,1436.02,0.0,0.05,592,85073146.0,0.12,0.0
2025-11-10 10:05:00,1436.61,1440.0,1440.16,1435.57,0.2,2.91,976,140324679.0,0.32,0.01
2025-11-10 10:10:00,1439.17,1438.45,1440.16,1438.0,-0.11,-1.55,507,72949373.0,0.15,0.0
2025-11-10 10:15:00,1438.47,1438.56,1440.0,1438.03,0.01,0.11,754,108524728.0,0.14,0.01
2025-11-10 10:20:00,1438.4,1438.79,1440.5,1438.13,0.02,0.23,818,117759850.0,0.16,0.01
2025-11-10 10:25:00,1439.52,1439.99,1440.0,1438.67,0.08,1.2,388,55812193.0,0.09,0.0
2025-11-10 10:30:00,1440.0,1440.6,1440.8,1439.77,0.04,0.61,662,95284008.0,0.07,0.01
2025-11-10 10:35:00,1440.54,1443.39,1443.49,1440.5,0.19,2.79,1749,252264436.0,0.21,0.01
2025-11-10 10:40:00,1443.59,1445.5,1445.88,1443.39,0.15,2.11,1843,266238459.0,0.17,0.01
2025-11-10 10:45:00,1445.15,1445.56,1445.6,1443.5,0.0,0.06,865,124979721.0,0.15,0.01
2025-11-10 10:50:00,1445.45,1447.93,1449.0,1445.45,0.16,2.37,1687,244197821.0,0.25,0.01
2025-11-10 10:55:00,1447.98,1451.46,1452.37,1446.48,0.24,3.53,2176,315446430.0,0.41,0.02
2025-11-10 11:00:00,1451.0,1452.16,1454.8,1451.0,0.05,0.7,1636,237717444.0,0.26,0.01
2025-11-10 11:05:00,1451.9,1453.91,1455.0,1451.9,0.12,1.75,1462,212569132.0,0.21,0.01
2025-11-10 11:10:00,1453.9,1450.88,1454.0,1450.1,-0.21,-3.03,950,137985195.0,0.27,0.01
2025-11-10 11:15:00,1451.01,1452.55,1453.83,1451.01,0.12,1.67,495,71898063.0,0.19,0.0
2025-11-10 11:20:00,1452.94,1453.4,1454.19,1452.94,0.06,0.85,769,111776610.0,0.09,0.01
2025-11-10 11:25:00,1453.4,1453.42,1453.57,1453.24,0.0,0.02,515,74847719.0,0.02,0.0
2025-11-10 11:30:00,1453.41,1453.68,1454.68,1453.39,0.02,0.26,838,121841224.0,0.09,0.01
2025-11-10 13:05:00,1453.42,1457.66,1457.66,1453.42,0.27,3.98,2411,350831987.0,0.29,0.02
2025-11-10 13:10:00,1457.8,1459.73,1459.99,1457.8,0.14,2.07,1936,282413556.0,0.15,0.02
