报告期,报表核心指标,*所有者权益（或股东权益）合计,*资产合计,*负债合计,*归属于母公司所有者权益合计,报表全部指标,流动资产,货币资金,交易性金融资产,应收票据及应收账款,其中：应收票据,应收账款,预付款项,其他应收款合计,其他应收款,存货,其他流动资产,总现金,流动资产合计,非流动资产,可供出售金融资产,长期股权投资,其他非流动金融资产,投资性房地产,固定资产合计,其中：固定资产,固定资产清理,在建工程合计,其中：在建工程,工程物资,无形资产,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产合计,流动负债,短期借款,以公允价值计量且其变动计入当期损益的金融负债,衍生金融负债,应付票据及应付账款,其中：应付票据,应付账款,预收款项,合同负债,应付职工薪酬,应交税费,其他应付款合计,其中：应付利息,应付股利,其他应付款,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,长期应付款合计,其中：长期应付款,预计负债,递延所得税负债,递延收益-非流动负债,其他非流动负债,非流动负债合计,负债合计,所有者权益（或股东权益）,实收资本（或股本）,资本公积,减：库存股,其他综合收益,盈余公积,未分配利润,归属于母公司所有者权益合计,少数股东权益,所有者权益（或股东权益）合计,负债和所有者权益（或股东权益）合计
2025-09-30,,112.64亿,251.67亿,139.03亿,107.04亿,,,35.48亿,2.42亿,53.25亿,9914.01万,52.26亿,4.44亿,5.26亿,False,33.98亿,3.22亿,37.90亿,145.18亿,,False,4.66亿,9.78亿,False,43.92亿,False,False,3.31亿,False,False,20.42亿,14.64亿,3710.65万,4.48亿,1.87亿,106.49亿,251.67亿,,36.26亿,5.99万,False,51.00亿,1.41亿,49.60亿,7.41万,3.57亿,2.55亿,1.27亿,4.05亿,False,False,False,13.90亿,3.85亿,116.46亿,,14.67亿,106.57万,False,1064.92万,3.88亿,2.01亿,False,22.57亿,139.03亿,,15.62亿,16.31亿,6001.34万,-1.64亿,5.94亿,71.42亿,107.04亿,5.60亿,112.64亿,251.67亿
2025-06-30,,110.18亿,252.67亿,142.49亿,104.60亿,,,36.01亿,2.34亿,54.40亿,9877.66万,53.41亿,4.45亿,5.40亿,5.40亿,34.78亿,2.70亿,38.35亿,146.58亿,,False,4.68亿,9.82亿,False,42.29亿,42.29亿,False,4.49亿,4.49亿,False,20.66亿,14.68亿,3743.08万,4.36亿,1.82亿,106.09亿,252.67亿,,29.09亿,216.09万,False,51.57亿,5460.43万,51.03亿,96.49万,2.88亿,2.14亿,1.34亿,5.06亿,False,False,5.06亿,22.63亿,3.63亿,118.38亿,,16.22亿,113.06万,113.06万,2493.34万,3.83亿,1.88亿,False,24.12亿,142.49亿,,15.62亿,16.34亿,6001.34万,-1.30亿,5.94亿,68.60亿,104.60亿,5.57亿,110.18亿,252.67亿
2025-03-31,,108.69亿,245.39亿,136.70亿,103.45亿,,,32.65亿,1.74亿,53.26亿,1.77亿,51.49亿,4.20亿,6.07亿,False,34.49亿,2.36亿,34.38亿,141.91亿,,False,4.60亿,9.11亿,False,41.95亿,False,False,4.24亿,False,False,21.15亿,14.59亿,3793.89万,4.25亿,1.44亿,103.48亿,245.39亿,,21.36亿,False,False,51.33亿,5890.18万,50.75亿,47.48万,3.12亿,1.99亿,1.34亿,5.25亿,False,False,False,19.32亿,3.41亿,107.12亿,,21.62亿,196.98万,False,1439.00万,3.73亿,1.83亿,7469.37万,29.58亿,136.70亿,,13.03亿,18.98亿,6001.34万,-1.76亿,5.94亿,67.87亿,103.45亿,5.25亿,108.69亿,245.39亿
2024-12-31,,114.00亿,263.17亿,149.18亿,100.35亿,,,31.87亿,1.82亿,57.00亿,2.31亿,54.68亿,3.56亿,1.89亿,False,36.17亿,3.31亿,33.69亿,143.58亿,,False,4.54亿,9.27亿,False,55.58亿,False,False,5.17亿,False,False,21.40亿,14.59亿,3700.17万,4.40亿,1.77亿,119.59亿,263.17亿,,23.16亿,18.91万,False,54.74亿,1.66亿,53.07亿,35.07万,3.39亿,2.94亿,1.71亿,5.99亿,False,False,False,21.80亿,3.66亿,117.40亿,,23.14亿,1777.51万,False,1329.33万,3.73亿,1.81亿,7220.19万,31.78亿,149.18亿,,13.03亿,18.99亿,6001.34万,-2.23亿,5.94亿,65.18亿,100.35亿,13.65亿,114.00亿,263.17亿
2024-09-30,,112.54亿,260.33亿,147.78亿,98.79亿,,,28.60亿,1411.77万,59.32亿,2.06亿,57.26亿,4.50亿,4.07亿,False,34.16亿,2.74亿,28.74亿,140.98亿,,False,4.61亿,10.00亿,False,52.01亿,False,False,7.59亿,False,False,20.30亿,14.54亿,3613.82万,4.24亿,2.00亿,119.34亿,260.33亿,,21.92亿,18.91万,False,53.38亿,1.99亿,51.39亿,72.13万,4.74亿,2.45亿,1.31亿,6.84亿,False,False,False,23.59亿,1.64亿,115.88亿,,23.01亿,1231.56万,False,1684.08万,3.73亿,1.53亿,7815.74万,31.90亿,147.78亿,,13.08亿,19.61亿,1.26亿,-4.47亿,5.49亿,66.30亿,98.79亿,13.76亿,112.54亿,260.33亿
2024-06-30,,111.10亿,255.49亿,144.39亿,97.85亿,,,26.43亿,2255.44万,56.44亿,2.25亿,54.20亿,4.21亿,3.47亿,3.47亿,35.06亿,2.75亿,26.65亿,137.91亿,,False,5.73亿,8.56亿,False,52.01亿,52.01亿,False,6.93亿,6.93亿,False,20.61亿,14.58亿,3655.86万,4.27亿,1.39亿,117.57亿,255.49亿,,21.68亿,18.91万,False,52.51亿,3.93亿,48.58亿,79.35万,3.71亿,2.30亿,1.26亿,7.98亿,False,False,7.98亿,15.50亿,9271.52万,105.88亿,,29.63亿,216.36万,216.36万,1690.93万,3.83亿,1.58亿,7507.42万,38.50亿,144.39亿,,13.08亿,19.73亿,1.16亿,-4.46亿,5.49亿,65.15亿,97.85亿,13.25亿,111.10亿,255.49亿
2024-03-31,,109.42亿,248.36亿,138.95亿,96.27亿,,,24.19亿,2042.48万,53.28亿,1.52亿,51.76亿,4.27亿,3.27亿,False,34.31亿,2.57亿,24.40亿,132.80亿,,False,6.28亿,8.44亿,False,52.03亿,False,False,4.89亿,False,False,19.94亿,14.57亿,3874.79万,3.91亿,1.90亿,115.57亿,248.36亿,,15.35亿,22.13万,False,51.66亿,3.71亿,47.95亿,28.01万,3.42亿,2.18亿,1.57亿,7.78亿,False,False,False,16.53亿,1.45亿,99.95亿,,29.87亿,179.74万,False,2332.91万,3.91亿,1.57亿,7508.01万,39.00亿,138.95亿,,13.11亿,19.91亿,1.10亿,-4.60亿,5.49亿,63.44亿,96.27亿,13.14亿,109.42亿,248.36亿
2023-12-31,,107.02亿,246.64亿,139.62亿,94.08亿,,,26.47亿,1440.37万,50.28亿,1.66亿,48.61亿,3.89亿,3.15亿,3.15亿,34.05亿,2.05亿,26.62亿,130.80亿,,False,6.22亿,8.44亿,False,49.71亿,49.65亿,511.15万,7.23亿,7.23亿,False,19.87亿,14.59亿,3818.62万,4.04亿,1.87亿,115.84亿,246.64亿,,11.98亿,22.13万,False,51.91亿,4.61亿,47.31亿,39.20万,3.60亿,2.89亿,1.89亿,9.12亿,False,False,9.12亿,12.85亿,1.29亿,95.52亿,,34.81亿,349.78万,349.78万,1835.23万,3.91亿,1.49亿,1.07亿,44.10亿,139.62亿,,13.11亿,19.68亿,8716.17万,-4.57亿,5.49亿,61.22亿,94.08亿,12.94亿,107.02亿,246.64亿
2023-09-30,,111.33亿,255.07亿,143.74亿,98.18亿,,,28.82亿,1462.91万,52.46亿,1.96亿,50.50亿,4.58亿,4.71亿,False,35.29亿,1.53亿,28.96亿,139.79亿,,False,8.78亿,8.19亿,1.17亿,46.54亿,False,False,4.09亿,False,False,18.71亿,14.12亿,4014.74万,3.88亿,5.26亿,115.27亿,255.07亿,,16.88亿,82.04万,False,53.81亿,9.27亿,44.54亿,407.09万,2.79亿,2.56亿,1.66亿,7.13亿,False,False,False,10.31亿,1.68亿,96.88亿,,37.88亿,748.28万,False,2804.85万,3.51亿,1.32亿,1.11亿,46.86亿,143.74亿,,13.11亿,19.98亿,8851.75万,-4.68亿,5.40亿,65.26亿,98.18亿,13.15亿,111.33亿,255.07亿
2023-06-30,,110.42亿,252.79亿,142.37亿,97.31亿,,,28.82亿,1089.57万,54.59亿,2.06亿,52.53亿,5.47亿,3.79亿,3.79亿,33.72亿,1.57亿,28.92亿,137.60亿,,False,8.79亿,7.88亿,1.17亿,46.05亿,46.05亿,False,5.65亿,5.65亿,False,17.89亿,14.17亿,4283.66万,3.80亿,5.95亿,115.19亿,252.79亿,,17.39亿,215.71万,False,53.69亿,6.38亿,47.31亿,805.21万,2.05亿,2.31亿,1.87亿,7.73亿,False,False,7.73亿,5.24亿,2.19亿,92.58亿,,40.90亿,764.12万,764.12万,2569.63万,3.29亿,1.30亿,1.11亿,49.78亿,142.37亿,,13.11亿,20.04亿,8851.75万,-4.38亿,5.40亿,64.03亿,97.31亿,13.11亿,110.42亿,252.79亿
