日期,开盘,收盘,最高,最低,成交量
2021-01-04,15.69,16.11,16.27,15.43,546127.18
2021-01-05,16.34,16.0,16.44,15.82,513338.68
2021-01-06,15.9,15.85,16.15,15.47,508072.26
2021-01-07,15.69,16.16,16.35,15.5,487739.2
2021-01-08,16.07,15.34,16.09,15.18,505062.15
2021-01-11,15.4,15.4,15.65,14.98,504202.21
2021-01-12,15.26,15.27,15.54,15.12,374488.54
2021-01-13,15.24,15.39,16.05,15.21,471596.3
2021-01-14,15.01,14.2,15.01,14.2,621504.29
2021-01-15,14.3,14.44,14.48,14.09,275696.22
2021-01-18,14.45,14.56,14.65,14.19,282654.17
2021-01-19,14.56,14.18,14.56,14.05,317623.02
2021-01-20,14.11,14.26,14.44,14.11,223165.87
2021-01-21,14.25,14.48,14.49,14.15,296778.75
2021-01-22,14.5,13.92,14.5,13.78,435728.28
2021-01-25,13.8,13.87,14.08,13.63,392230.16
2021-01-26,13.92,13.4,13.99,13.4,340847.66
2021-01-27,13.4,13.48,13.53,13.06,304381.54
2021-01-28,13.25,12.88,13.5,12.85,317260.17
2021-01-29,13.0,12.31,13.02,12.18,373971.35
2021-02-01,12.37,12.46,12.65,12.31,196933.49
2021-02-02,12.5,12.49,12.63,12.05,268437.28
2021-02-03,12.49,12.16,12.7,12.12,281557.71
2021-02-04,12.38,11.67,12.38,11.4,367968.22
2021-02-05,11.64,11.25,11.88,11.23,249302.93
2021-02-08,11.59,11.61,12.02,11.41,305044.29
2021-02-09,11.66,11.85,12.02,11.59,341046.64
2021-02-10,11.93,11.9,12.12,11.69,228473.56
2021-02-18,12.1,12.27,12.39,12.02,224421.09
2021-02-19,12.3,12.57,12.64,12.1,211387.97
2021-02-22,12.57,12.36,12.65,12.21,359075.67
2021-02-23,12.33,12.15,12.35,12.03,208658.33
2021-02-24,12.15,11.87,12.2,11.76,227977.59
2021-02-25,12.01,11.77,12.02,11.73,142157.9
2021-02-26,11.68,11.76,11.96,11.54,155547.44
2021-03-01,11.83,12.17,12.22,11.78,211749.02
2021-03-02,12.25,12.12,12.27,12.04,146935.97
2021-03-03,12.1,12.36,12.38,12.05,174144.65
2021-03-04,12.3,12.04,12.3,11.95,173943.54
2021-03-05,11.95,11.99,12.09,11.86,158522.75
2021-03-08,12.06,11.86,12.18,11.85,195052.65
2021-03-09,11.85,11.58,11.92,11.42,168594.24
2021-03-10,11.66,11.33,11.84,11.29,155306.14
2021-03-11,11.34,11.61,11.65,11.22,128595.27
2021-03-12,11.62,11.53,11.69,11.43,115459.78
2021-03-15,11.51,11.38,11.61,11.27,118333.67
2021-03-16,11.4,11.5,11.53,11.35,91187.15
2021-03-17,11.51,11.46,11.52,11.31,87549.88
2021-03-18,11.39,11.39,11.45,11.31,111521.57
2021-03-19,11.32,11.08,11.32,11.04,183205.14
2021-03-22,11.06,11.43,11.55,10.95,156510.04
2021-03-23,11.55,11.19,11.55,11.09,135232.5
2021-03-24,11.09,10.9,11.18,10.9,131190.61
2021-03-25,10.87,10.89,10.96,10.79,81529.0
2021-03-26,10.92,11.06,11.1,10.85,112450.92
2021-03-29,11.01,10.91,11.03,10.76,113782.44
2021-03-30,10.94,11.03,11.19,10.89,121415.13
2021-03-31,11.03,10.89,11.05,10.82,68617.15
2021-04-01,10.9,10.93,10.95,10.84,72506.23
2021-04-02,11.0,11.25,11.29,10.96,150346.58
2021-04-06,11.22,11.12,11.23,11.07,105275.28
2021-04-07,11.27,11.14,11.35,11.13,131293.62
2021-04-08,11.1,11.01,11.17,10.94,109666.18
2021-04-09,11.17,10.99,11.18,10.94,85389.75
2021-04-12,10.94,10.57,10.95,10.45,174113.15
2021-04-13,10.57,10.41,10.6,10.34,104429.88
2021-04-14,10.5,10.47,10.65,10.41,77684.25
2021-04-15,10.48,10.51,10.52,10.23,99221.1
2021-04-16,10.51,10.7,10.74,10.5,102497.82
2021-04-19,10.68,11.03,11.08,10.68,172725.39
2021-04-20,11.03,10.98,11.12,10.86,144623.45
2021-04-21,10.92,10.98,11.04,10.86,83651.34
2021-04-22,11.08,10.92,11.11,10.86,89576.0
2021-04-23,10.93,10.95,10.97,10.76,93706.3
2021-04-26,10.94,11.04,11.26,10.88,147614.03
2021-04-27,11.13,10.9,11.23,10.8,112472.01
2021-04-28,10.84,11.1,11.1,10.73,94164.21
2021-04-29,11.19,10.93,11.19,10.88,123934.79
2021-04-30,10.86,10.65,11.04,10.57,149006.71
2021-05-06,10.43,10.49,10.59,10.41,113372.22
2021-05-07,10.54,10.55,10.85,10.54,134983.62
2021-05-10,10.61,10.36,10.69,10.24,157620.55
2021-05-11,10.3,10.42,10.46,10.06,154430.83
2021-05-12,10.39,10.71,10.73,10.29,156983.62
2021-05-13,10.66,10.6,10.77,10.6,96754.72
2021-05-14,10.71,10.77,10.83,10.51,92372.04
2021-05-17,10.8,10.77,10.96,10.74,122058.3
2021-05-18,10.7,10.77,10.77,10.62,61822.96
2021-05-19,10.77,11.13,11.17,10.65,208879.51
2021-05-20,11.14,11.4,11.52,10.96,263940.54
2021-05-21,11.39,11.06,11.44,11.03,186750.47
2021-05-24,10.97,11.1,11.14,10.97,110537.24
2021-05-25,11.04,11.27,11.4,10.98,144820.64
2021-05-26,11.3,11.3,11.6,11.27,176604.92
2021-05-27,11.45,11.31,11.45,11.22,112266.34
2021-05-28,11.38,11.4,11.47,11.27,125395.1
2021-05-31,11.45,11.87,11.99,11.41,331742.23
2021-06-01,11.84,11.88,11.94,11.68,204720.02
2021-06-02,11.86,11.78,11.9,11.67,140691.63
2021-06-03,11.78,11.75,11.93,11.72,122405.14
2021-06-04,11.8,12.08,12.18,11.73,218387.42
2021-06-07,12.09,12.24,12.38,12.08,248871.63
2021-06-08,12.37,12.26,12.44,12.07,197801.36
2021-06-09,12.35,12.26,12.35,12.09,137029.19
2021-06-10,12.19,11.99,12.28,11.94,178820.37
2021-06-11,12.0,11.74,12.23,11.7,202493.04
