股票名称,股票代码,板块代码,板块名称,板块涨幅
卧龙电驱,600580,BK1030,电机,-0.83
卧龙电驱,600580,BK0172,浙江板块,-0.85
卧龙电驱,600580,BK0854,华为概念,-0.24
卧龙电驱,600580,BK0832,工业互联,-0.48
卧龙电驱,600580,BK1131,同步磁阻电机,-0.67
卧龙电驱,600580,BK1184,人形机器人,-0.9
卧龙电驱,600580,BK1090,机器人概念,-1.05
卧龙电驱,600580,BK0867,富时罗素,-1.06
卧龙电驱,600580,BK0707,沪股通,-1.15
卧龙电驱,600580,BK0701,中证500,-1.16
卧龙电驱,600580,BK0594,长江三角,-1.17
卧龙电驱,600580,BK0596,融资融券,-1.18
卧龙电驱,600580,BK0705,上证380,-1.19
卧龙电驱,600580,BK0879,标准普尔,-1.2
卧龙电驱,600580,BK1166,低空经济,-1.34
卧龙电驱,600580,BK1157,飞行汽车(eVTOL),-1.4
卧龙电驱,600580,BK0644,特斯拉,-1.47
卧龙电驱,600580,BK0900,新能源车,-1.53
卧龙电驱,600580,BK0712,一带一路,-1.66
卧龙电驱,600580,BK0623,海洋经济,-2.1
卧龙电驱,600580,BK0577,核能核电,-2.44
