排名,股票代码,股票简称,最新价,涨跌幅,换手率,流入资金,流出资金,净额,成交额,净流入比例
1,301017,漱玉平民,16.66,20.03,5.83,58241000.0,169000000.0,-111000000.00000001,227000000.0,-48.85
2,300560,中富通,18.78,20.0,32.91,404000000.0,666000000.0,-263000000.0,1069999999.9999999,-24.58
3,300086,康芝药业,10.62,20.0,28.34,699000000.0,543000000.0,157000000.0,1242000000.0,12.64
4,301201,诚达药业,49.2,20.0,21.73,594000000.0,494000000.00000006,100000000.0,1087000000.0,9.19
5,300483,首华燃气,18.96,20.0,22.92,574000000.0,504000000.0,69691900.0,1078000000.0,6.46
6,300584,海辰药业,71.9,19.99,26.19,592000000.0,825000000.0,-233000000.0,1417000000.0,-16.44
7,301150,中一科技,52.28,19.99,12.89,650000000.0,720000000.0,-69968000.0,1369000000.0,-5.11
8,688670,金迪克,28.03,19.99,8.56,111000000.00000001,159000000.0,-48321100.0,270000000.0,-17.9
9,688353,华盛锂电,139.2,16.0,18.67,1488000000.0,1454000000.0,33513000.0,2942000000.0,1.14
10,301360,荣旗科技,88.83,15.47,28.85,405000000.0,225999999.99999997,179000000.0,631000000.0,28.37
11,300300,海峡创新,15.2,14.2,36.02,1804000000.0,1682999999.9999998,121000000.0,3486999999.9999995,3.47
12,300867,圣元环保,22.75,13.86,28.34,702000000.0,537000000.0,165000000.0,1239000000.0,13.32
13,301228,实朴检测,34.2,13.17,12.07,306000000.0,175000000.0,131000000.0,480999999.99999994,27.23
14,301662,宏工科技,137.07,12.74,31.67,437000000.0,263000000.0,174000000.0,700000000.0,24.86
15,688408,中信博,53.6,11.64,11.95,796000000.0,582000000.0,213000000.0,1378000000.0,15.46
16,300247,融捷健康,5.57,11.62,15.41,364000000.0,318000000.0,45893800.0,682000000.0,6.73
17,688559,海目星,51.34,11.61,9.94,703000000.0,512000000.0,192000000.0,1215000000.0,15.8
18,301057,汇隆新材,31.04,11.61,10.98,150000000.0,135000000.0,14836700.0,285000000.0,5.21
19,300268,*ST佳沃,13.55,11.07,5.86,57250900.0,47093300.0,10157500.0,104000000.0,9.73
20,301152,天力锂能,39.48,10.93,34.24,534999999.99999994,405000000.0,130000000.0,940000000.0,13.83
21,300477,ST合纵,3.38,10.46,17.76,307000000.0,264000000.0,42695300.0,571000000.0,7.48
22,2146,荣盛发展,1.95,10.17,7.14,306000000.0,222000000.00000003,83779800.0,529000000.0,15.87
23,620,盈新发展,3.48,10.13,12.97,1016000000.0,1053999999.9999999,-37538000.0,2070000000.0,-1.81
24,600617,国新能源,4.14,10.11,6.91,267000000.0,227000000.0,39782700.0,493000000.0,8.05
25,566,海南海药,6.77,10.08,8.34,210000000.0,442000000.0,-231999999.99999997,651000000.0,-35.58
26,600792,云煤能源,5.36,10.06,6.24,161000000.0,190000000.0,-28677800.000000004,351000000.0,-8.17
27,600327,大东方,5.58,10.06,17.8,357000000.0,507000000.0,-150000000.0,864000000.0,-17.36
28,2198,嘉应制药,7.66,10.06,5.43,89294900.0,113999999.99999999,-24774400.0,202999999.99999997,-12.19
29,547,航天发展,9.41,10.06,17.05,853999999.9999999,1675000000.0,-822000000.0000001,2529000000.0,-32.5
30,603366,日出东方,11.07,10.04,7.68,332000000.0,336000000.0,-4347200.0,668000000.0,-0.65
31,600340,华夏幸福,2.74,10.04,1.52,0.0,162000000.0,-162000000.0,162000000.0,-100.0
32,2893,京能热力,13.15,10.04,18.21,239000000.0,231000000.0,8570300.0,470000000.0,1.82
33,2242,九阳股份,12.17,10.04,1.39,0.0,129000000.0,-129000000.0,129000000.0,-100.0
34,600829,人民同泰,15.13,10.04,7.37,146000000.0,499000000.0,-353000000.0,645000000.0,-54.73
35,600333,长春燃气,7.68,10.03,8.89,106000000.0,307000000.0,-200999999.99999997,412000000.0,-48.67
36,600272,开开实业,15.47,10.03,12.41,63173600.0,241000000.0,-178000000.0,304000000.0,-58.52
37,2780,三夫户外,19.2,10.03,41.91,362000000.0,666000000.0,-304000000.0,1027999999.9999999,-29.57
38,633,合金投资,8.23,10.03,18.76,152000000.0,438999999.99999994,-287000000.0,591000000.0,-48.56
39,2846,英联股份,20.75,10.02,18.79,440000000.00000006,513999999.99999994,-73293400.0,953999999.9999999,-7.68
40,2682,龙洲股份,6.48,10.02,2.07,0.0,75523700.0,-75523700.0,75523600.0,-100.0
41,605398,新炬网络,32.4,10.02,7.38,189000000.0,185000000.0,3747400.0,374000000.0,1.0
42,600408,安泰集团,6.26,10.02,21.12,491000000.0,825000000.0,-335000000.0,1316000000.0,-25.46
43,2227,奥特迅,16.36,10.02,7.45,123000000.0,173000000.0,-50233100.00000001,295000000.0,-16.97
44,603817,海峡环保,8.68,10.01,7.71,168000000.0,197000000.0,-28773700.0,364000000.0,-7.88
45,592,平潭发展,10.88,10.01,16.6,1630000000.0,1691000000.0,-60775000.0,3322000000.0,-1.83
46,2931,锋龙股份,19.57,10.01,4.18,47700100.0,113999999.99999999,-66041600.0,161000000.0,-40.84
47,603353,和顺石油,28.03,10.01,1.33,18092300.0,43946800.0,-25854500.0,62039100.0,-41.67
48,603929,亚翔集成,54.29,10.01,2.39,145000000.0,120000000.0,25062900.0,265000000.0,9.46
49,2806,华锋股份,15.17,10.01,13.59,186000000.0,160000000.0,26048800.0,347000000.0,7.53
50,1225,和泰机电,56.27,10.01,7.21,43417400.0,38967400.0,4450000.0,82384800.0,5.4
51,1332,锡装股份,59.58,10.01,6.41,92245000.0,84016700.0,8228300.0,176000000.0,4.67
52,1216,华瓷股份,17.04,10.01,3.76,48257600.0,105000000.0,-56737400.0,153000000.0,-37.02
53,1268,联合精密,32.87,10.01,8.98,91119400.0,88422300.0,2697100.0,180000000.0,1.5
54,1266,宏英智能,36.27,10.01,21.99,151000000.0,303000000.0,-152000000.0,454000000.0,-33.48
55,3041,真爱美家,41.02,10.0,0.75,0.0,42310200.00000001,-42310200.00000001,42310200.00000001,-100.0
56,603026,石大胜华,100.52,10.0,6.8,593000000.0,774000000.0,-181000000.0,1367000000.0,-13.24
57,603948,建业股份,34.0,10.0,10.39,267000000.0,284000000.0,-17107900.0,551000000.0,-3.1
58,600693,东百集团,11.0,10.0,7.27,242000000.0,425000000.0,-183000000.0,667000000.0,-27.44
59,2855,捷荣技术,19.47,10.0,8.47,77305400.0,324000000.0,-247000000.00000003,401000000.0,-61.55
60,2250,联化科技,15.4,10.0,16.49,1143000000.0,1060000000.0,82673000.0,2204000000.0,3.75
61,2805,丰元股份,21.68,9.99,12.21,355000000.0,368000000.0,-13046900.0,723000000.0,-1.8
