日期,价格,现金,持仓,权益,收益率,成本价,未实现盈亏
2025-11-18,59.94,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-11-17,62.2,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-11-14,56.61,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-11-13,59.5,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-11-12,54.1,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-11-11,55.32,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-11-10,57.51,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-11-07,56.99,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-11-06,55.14,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-11-05,54.27,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-11-04,52.25,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-11-03,53.83,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-10-31,53.4,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-10-30,55.68,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-10-29,50.77,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-10-28,48.51,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-10-27,49.21,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-10-24,48.61,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-10-23,48.01,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-10-22,45.97,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-10-21,45.61,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-10-20,45.49,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-10-17,46.55,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-10-16,47.5,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-10-15,47.3,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-10-14,46.98,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-10-13,49.77,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-10-10,47.65,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-10-09,51.33,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-09-30,47.57,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-09-29,46.44,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-09-26,44.77,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-09-25,44.69,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-09-24,43.34,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-09-23,42.82,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-09-22,43.87,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-09-19,45.01,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-09-18,43.15,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-09-17,44.79,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-09-16,44.49,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-09-15,45.31,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-09-12,44.03,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-09-11,43.93,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-09-10,43.93,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-09-09,46.24,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-09-08,47.34,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-09-05,46.35,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
2025-09-04,42.66,1299480.8427620707,0,1299480.8427620707,0.0,0.0,0.0
