指标,参数组合1,参数组合2,参数组合3,参数组合4,参数组合5,参数组合6,参数组合7,参数组合8,参数组合9,参数组合10
参数_bb_period,21,22,15,29,22,27,17,24,16,15
参数_oversold,32,35,34,36,33,36,37,35,40,37
参数_rsi_period,18,16,15,18,15,17,12,12,14,13
参数_std_dev,1.8186662652854462,2.1439761626945284,2.1768807022739414,1.8003115063364057,1.8399899663272012,1.8733739159464655,2.0603553891795414,1.802826522087887,2.047354403733235,1.8923575302488598
夏普比率,0.000,0.000,0.000,-2.222,-2.444,-2.587,-2.692,-2.692,-2.692,-2.692
总收益率,0.00%,0.00%,0.00%,-5.34%,-5.33%,-5.33%,-5.26%,-5.26%,-5.26%,-5.26%
年化收益率,0.00%,0.00%,0.00%,-2.88%,-2.88%,-2.88%,-2.84%,-2.84%,-2.84%,-2.84%
最大回撤,0.00%,0.00%,0.00%,5.34%,5.45%,5.33%,5.26%,5.26%,5.26%,5.26%
胜率,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
总交易次数,0,0,0,1,1,1,1,1,1,1
盈亏比,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
卡尔玛比率,0.000,0.000,0.000,-0.539,-0.527,-0.539,-0.539,-0.539,-0.539,-0.539
年化波动率,0.0,0.0,0.0,2.7068550626783754,2.4628783221521426,2.327296280433808,2.2217805167475544,2.2217805167475544,2.2217805167475544,2.2217805167475544
最终资金,1000000.0,1000000.0,1000000.0,946628.4823809611,946651.9088165746,946682.1278488158,947387.5878235003,947387.5878235003,947387.5878235003,947387.5878235003
