指标,参数组合1,参数组合2,参数组合3,参数组合4,参数组合5,参数组合6,参数组合7,参数组合8,参数组合9,参数组合10
参数_volume_multiplier,1.833708611139022,2.1174815096277166,2.096850157946487,1.599974915818003,1.683434789866164,1.5070663052197175,1.5007787658410143,2.024774660258389,2.221998772266825,2.150888472948853
参数_volume_period,16,30,24,16,25,20,28,6,6,9
夏普比率,-0.107,-0.203,-0.246,-0.858,-0.951,-1.101,-1.256,-2.204,-2.328,-2.612
总收益率,-2.67%,-5.80%,-7.56%,-30.74%,-33.49%,-39.71%,-44.26%,-15.90%,-2.57%,-23.01%
年化收益率,-1.43%,-3.13%,-4.10%,-17.76%,-19.52%,-23.62%,-26.74%,-8.80%,-1.38%,-13.00%
最大回撤,23.62%,32.96%,30.52%,38.44%,38.00%,47.59%,48.95%,15.90%,2.57%,23.01%
胜率,33.33%,20.00%,27.27%,25.00%,23.81%,19.23%,17.86%,0.00%,0.00%,0.00%
总交易次数,12,10,11,24,21,26,28,5,1,6
盈亏比,1.876,3.332,2.133,1.565,1.466,1.800,1.790,0.000,0.000,0.000
卡尔玛比率,-0.061,-0.095,-0.134,-0.462,-0.514,-0.496,-0.546,-0.554,-0.536,-0.565
年化波动率,21.304015521610978,20.733806367250907,21.077968824652253,23.987744498727974,24.015222222646074,25.387964845304722,25.651958274656334,5.655571903508372,1.9037161957186122,6.631170875218893
最终资金,973273.3442309842,941968.1486159066,924426.3391559612,692628.9008409632,665136.8552941497,602871.5019433466,557447.3965876002,841045.8774287887,974251.3483016001,769868.4888255819
