日期,货币资金,交易性金融资产,应收票据及应收账款,应收账款,预付款项,其他应收款合计,其他应收款,存货,其他流动资产,总现金,流动资产合计,可供出售金融资产,持有至到期投资,长期股权投资,其他权益工具投资,其他非流动金融资产,投资性房地产,固定资产合计,固定资产清理,在建工程合计,工程物资,无形资产,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产合计,短期借款,以公允价值计量且其变动计入当期损益的金融负债,应付票据及应付账款,应付账款,预收款项,合同负债,应付职工薪酬,应交税费,其他应付款合计,应付股利,其他应付款,一年内到期的非流动负债,其他流动负债,流动负债合计,长期借款,应付债券,长期应付款合计,专项应付款,预计负债,递延所得税负债,递延收益-非流动负债,其他非流动负债,非流动负债合计,负债合计,实收资本（或股本）,资本公积,减：库存股,其他综合收益,盈余公积,未分配利润,归属于母公司所有者权益合计,少数股东权益,所有者权益（或股东权益）合计,负债和所有者权益（或股东权益）合计
2025-09-30,6527000000.0,1526000000.0,874000000.0,545000000.0,72556900.0,48179200.0,,2644000000.0,1632999999.9999998,8053000000.0,14199000000.0,,,26362000000.0,3185000000.0,,,12269000000.0,,8036000000.0,,4900000000.0,416000000.0,23633000.0,3479000000.0,73123400.0,59758000000.00001,73957000000.0,1191000000.0,8003099.999999999,1538000000.0,1538000000.0,,12783900.000000002,169000000.0,152000000.0,218000000.00000003,1184900.0,,962000000.0,219000000.0,4470000000.0,13683000000.000002,599000000.0,,,675000000.0,2076000000.0,58400600.00000001,,18088000000.0,22558000000.0,1641000000.0,23753000000.0,158000000.0,745000000.0,832000000.0,15562000000.0,42405000000.0,8994000000.0,51399000000.0,73957000000.0
2025-06-30,7186000000.0,1660000000.0000002,735000000.0,384000000.0,77224800.0,61887000.0,49448100.00000001,2546000000.0,1996000000.0,8846000000.0,14868000000.0,,,26420999999.999996,2599000000.0,,,12422000000.0,,7354000000.000001,,4871000000.0,416000000.0,24637600.000000004,3474000000.0,96800800.0,58732000000.00001,73601000000.0,1306000000.0,9911300.0,1621000000.0,1621000000.0,,9214800.0,154000000.0,145000000.0,158000000.0,1184900.0,157000000.0,1787000000.0,247000000.00000003,5437000000.0,14000000000.0,,,,718000000.0,1900000000.0,49512400.0,,17701000000.0,23139000000.0,1641000000.0,23744000000.0,158000000.0,407000000.0,832000000.0,15416000000.0,41911000000.0,8551000000.000001,50462000000.0,73601000000.0
2025-03-31,8197000000.0,1017000000.0,791000000.0,504000000.0,58137900.0,56635800.0,,2367000000.0,1705999999.9999998,9214000000.0,15000000000.0,,,26383000000.0,2489000000.0,,,12405000000.0,,6271000000.0,,4513000000.0,416000000.0,13239000.0,3293000000.0,101000000.0,56930999999.99999,71932000000.0,1738000000.0,,1644000000.0000002,1562000000.0,,22494800.0,186000000.0,182000000.0,119000000.0,1184900.0,,1610000000.0000002,443000000.0,5945000000.0,13260000000.0,,,,634000000.0,1625000000.0,53895000.0,,16588999999.999998,22534000000.0,1641000000.0,23735000000.0,158000000.0,279000000.0,832000000.0,15436000000.000002,41793000000.0,7604000000.000001,49398000000.0,71932000000.0
2024-12-31,5767000000.0,655000000.0,790000000.0,534999999.99999994,70111200.0,53277600.0,,2289000000.0,1747000000.0,6422000000.0,12850000000.0,,,26251000000.0,2730000000.0,,,12480000000.0,,5137000000.0,,4299000000.0,416000000.0,13630900.0,3254999999.9999995,154000000.0,55828000000.0,68678000000.0,1314000000.0,,1601000000.0000002,1519000000.0,,11985500.0,227000000.0,227999999.99999997,131000000.0,1184900.0,,1100000000.0,429000000.0,5041000000.0,11203000000.0,,,,621000000.0,1517000000.0,56078100.00000001,,14454000000.0,19496000000.0,1641000000.0,23769000000.0,200000000.0,530000000.0,832000000.0,15293000000.0,41893000000.0,7290000000.000001,49182000000.0,68678000000.0
2024-09-30,6276000000.0,472000000.0,1494000000.0,1292000000.0,60358800.0,46827800.0,,2583000000.0,1764999999.9999998,6747000000.0,13632000000.0,,,25612000000.0,2355000000.0,,,12305000000.0,,6737000000.0,,4538000000.0,416000000.0,14103500.0,3321000000.0,172000000.0,56723000000.0,70355000000.0,1431000000.0,,1732999999.9999998,1730999999.9999998,,32780800.0,158000000.0,362000000.0,19553200.0,1184900.0,,715000000.0,412000000.0,4864000000.0,11428000000.0,,,,716000000.0,1714000000.0,109000000.0,,15138000000.0,20002000000.0,1641000000.0,23762000000.0,200000000.0,-53964500.0,832000000.0,17496000000.0,43508000000.0,6845000000.0,50354000000.0,70355000000.0
2024-06-30,5374000000.0,696000000.0,1766000000.0,1671000000.0,66296200.0,46733500.0,37612000.0,2919000000.0,1888000000.0,6070000000.0,13577000000.000002,,,25807000000.0,2464000000.0,,,10708000000.0,,7512000000.0,,4157000000.0,416000000.0,14848800.000000002,3251000000.0,120000000.0,55686000000.0,69264000000.0,534999999.99999994,,1798000000.0,1703000000.0,,10799800.0,132000000.0,186000000.0,246000000.0,223000000.0,23542100.0,702000000.0,333000000.0,3942000000.0,11817000000.0,,,,658000000.0,1478000000.0,107000000.0,,15206000000.0,19149000000.0,1641000000.0,23753000000.0,200000000.0,534000000.0,832000000.0,17992000000.0,44580000000.0,5535000000.0,50115000000.0,69264000000.0
2024-03-31,9287000000.0,108000000.0,1417000000.0,1344000000.0,60515400.0,167000000.0,,2994000000.0,1975000000.0,9395000000.0,16636000000.000002,,,25346000000.0,2474000000.0,,,10615000000.0,,6487000000.0,,3547999999.9999995,416000000.0,15563400.0,3099000000.0,132000000.0,53312000000.0,69948000000.0,335000000.0,,1703000000.0,1507000000.0,,73664100.0,173000000.0,2118000000.0,28060200.0,1184900.0,,634000000.0,58827600.0,5124000000.0,9268000000.0,,,,321000000.0,1268000000.0,54999600.0,,12000000000.0,17122999999.999998,1641000000.0,23744000000.0,200000000.0,261000000.0,832000000.0,21516000000.0,47818000000.0,5007000000.0,52825000000.0,69948000000.0
2023-12-31,9589000000.0,14824200.0,4382000000.0,4316000000.0,85099800.0,182000000.0,83258799.99999999,3151000000.0,2146000000.0,9603000000.0,19629000000.0,,,26874000000.0,1583000000.0,,,9080000000.0,,7287000000.0,,3840000000.0,416000000.0,16207100.0,3171000000.0,61998800.0,53599000000.0,73228000000.0,337000000.0,,2520000000.0,2311000000.0,,37448300.0,198000000.0,2394000000.0,380000000.0,349000000.0,31043100.0,753000000.0,40410600.0,6659999999.999999,9545000000.0,,,,324000000.0,1227000000.0,56343800.0,,12332000000.0,18992000000.0,1641000000.0,23737000000.0,200000000.0,76456500.0,832000000.0,25413000000.0,51520000000.00001,2717000000.0,54237000000.0,73228000000.0
2023-09-30,8123999999.999999,,7062000000.0,6995000000.0,85994200.0,360000000.0,,3376000000.0,2204000000.0,8123999999.999999,22422000000.0,,,27299000000.0,1669000000.0000002,,,8067000000.0,,5930000000.0,,4147000000.0,416000000.0,2041700.0,3019000000.0,96752800.0,52010000000.0,74432000000.0,1128800.0,,2741000000.0,2376000000.0,,81294400.0,114000000.0,6911000000.0,45212000.0,1184900.0,,396000000.0,35314000.0,10325000000.0,9373000000.0,,,,279000000.0,1445000000.0,56648000.0,,12443000000.0,22768000000.0,1641000000.0,23639000000.0,200000000.0,457000000.0,832000000.0,26214000000.0,52610000000.0,-947000000.0,51663000000.0,74432000000.0
2023-06-30,10646000000.0,,8572000000.0,8444000000.0,110000000.0,475000000.0,105000000.0,3126000000.0,2026000000.0,10646000000.0,27325000000.0,,,26664999999.999996,1841000000.0,,,8125000000.0,,5319000000.0,,4122000000.0,416000000.0,3160200.0,2738000000.0,109000000.0,49620000000.0,76945000000.0,,,2900000000.0,2422000000.0,,77421900.0,105000000.0,5994000000.0,505999999.99999994,492000000.0,14059100.0,281000000.0,40646500.0,9904000000.0,9915000000.0,,,,301000000.0,1521000000.0,58139700.0,,12109000000.0,22013000000.0,1641000000.0,23314000000.0,200000000.0,1002000000.0,832000000.0,24568000000.0,51191000000.0,3740999999.999999,54932000000.00001,76945000000.0
