日期,一、营业总收入,其中：营业收入,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,利息收入,资产减值损失,信用减值损失,加：公允价值变动收益,投资收益,其中：联营企业和合营企业的投资收益,资产处置收益,其他收益,三、营业利润,加：营业外收入,其中：非流动资产处置利得,减：营业外支出,其中：非流动资产处置损失,四、利润总额,减：所得税费用,五、净利润
2025-09-30,7397000000.0,7397000000.0,5004000000.0,4514000000.0,34890000.0,7178000.0,405000000.0,29778600.0,-225000000.0,480999999.99999994,158000000.0,241000000.0,-2371500.0,13424600.0,336000000.0,349000000.0,27300.0,152000000.0,2895000000.0,6375500.0,,15965900.0,,2885000000.0,700000000.0,2185000000.0
2025-06-30,4833000000.0,4833000000.0,3133000000.0,2913000000.0,20024700.0,4908800.0,267000000.0,18429800.0,-268000000.00000003,324000000.0,111000000.0,185000000.0,-7401200.0,-3745200.0,204999999.99999997,221000000.0,-510500.0,133000000.0,2033000000.0,6106300.0,,4384300.0,,2034000000.0,522000000.0,1512000000.0
2025-03-31,2584000000.0,2584000000.0,1684000000.0,1439000000.0,9918100.0,1843600.0,178000000.0,8832900.0,27236100.0,159000000.0,47530500.0,20792000.0,-1129000.0,271600.0,152000000.0,169000000.0,529700.0,47840700.0,1101000000.0,740699.9999999999,,4633100.0,,1097000000.0,315000000.0,782000000.0
2024-12-31,13063000000.0,13063000000.0,10877000000.0,7045000000.0,58545800.0,16316199.999999998,650000000.0,43620700.0,899000000.0,601000000.0,265000000.0,2114000000.0,50975300.0,5078300.0,-840000000.0,-809000000.0,,80022900.0,1432000000.0,10935200.0,,151000000.0,,1292000000.0,1321000000.0,-29242300.0
2024-09-30,10065000000.0,10065000000.0,6177000000.0,5130000000.0,37026600.0,12089500.0,440000000.00000006,29076200.0,77870800.0,475000000.0,229000000.0,445000000.0,5574600.0,-7002000.0,-901000000.0,-899000000.0,,50227400.0,3030000000.0,1587800.0,,28428700.0,,3004000000.0,1269000000.0,1734000000.0
2024-06-30,6419000000.0,6419000000.0,3968000000.0,3093000000.0,23388100.0,8391600.0,287000000.0,19224200.0,229000000.0,289000000.0,179000000.0,292000000.0,15176800.0,-4036600.000000001,-1121000000.0,-1129000000.0,,29346100.0,1355000000.0,1259700.0,,14160500.0,,1342000000.0,878999999.9999999,463000000.0
2024-03-31,2585000000.0,2585000000.0,1784000000.0,1334000000.0,9607900.0,3763000.0,120000000.0,8665200.0,254000000.0,142000000.0,105000000.0,56646100.0,-3061800.0,5035500.0,-1327000000.0,-1388000000.0,,6822600.0,-513999999.99999994,8407100.0,,1271700.0,,-507000000.0,323000000.0,-831000000.0
2023-12-31,40503000000.0,40503000000.0,7495999999.999999,6082000000.0,78975700.0,33771700.0,605000000.0,30374899.999999996,16046400.000000002,550000000.0,356000000.0,730000000.0,-79225700.0,-279200.0,3110000000.0,3117000000.0,8026100.0,171000000.0,36296000000.0,26167700.0,,40950000.0,,36281000000.0,10618000000.0,25663000000.0
2023-09-30,33399000000.0,33399000000.0,4994000000.0,4464000000.0,51736500.0,27005000.0,491000000.0,20940600.0,-92901900.0,405000000.0,256000000.0,91848800.0,-59467900.0,,3125000000.0,3109000000.0,7812400.0,145000000.0,31683999999.999996,22027399.999999996,,7590300.0,,31698000000.0,9328000000.0,22370000000.0
2023-06-30,24823000000.0,24823000000.0,3526000000.0,3197000000.0,41308600.0,21772100.0,350000000.0,14630000.0,-8883100.0,239000000.0,171000000.0,,-89592000.0,,2057000000.0,2040000000.0,11700.0,56617299.99999999,23410000000.0,12607300.0,,2855100.0,,23420000000.0,6931000000.0,16488999999.999998
2023-03-31,11449000000.0,11449000000.0,1161000000.0,1168000000.0,23018600.0,7910300.0,112000000.0,7814900.0,-81341700.0,95838100.0,70646200.0,,-77201000.0,,1412000000.0,1412000000.0,11700.0,55514900.0,11756000000.0,2253400.0,,2000800.0,,11756000000.0,3302000000.0000005,8454000000.000001
2022-12-31,40449000000.0,40449000000.0,7515000000.000001,6017000000.0,290000000.0,29034400.0,377000000.0,26703000.0,675000000.0,1083000000.0,51112000.0,1881000.0,97808500.0,-901000000.0,7845999999.999999,5895000000.0,,32025100.000000004,39911000000.0,3366700.0,,13588699.999999998,,39901000000.0,8793000000.0,31108000000.0
2022-09-30,24646000000.0,24646000000.0,4543000000.0,3565000000.0,180000000.0,19301600.0,244000000.0,18358200.0,484999999.99999994,986000000.0,21417300.0,1881000.0,29625400.0,-899000000.0,5965000000.0,4013000000.000001,,3573000.0,25172000000.0,23932500.0,,10076700.0,,25186000000.0,5631000000.0,19555000000.0
2022-06-30,14296000000.0,14296000000.0,3186000000.0,2250000000.0,126000000.0,12082700.0,172000000.0,11507600.0,571000000.0,597000000.0,5300400.0,,42106899.99999999,-901000000.0,4476000000.0,2524000000.0,,2094400.0,14687000000.0,2098300.0,,3589700.0000000005,,14686000000.000002,2680000000.0,12005000000.0
2022-03-31,5257000000.0,5257000000.0,1214000000.0,774000000.0,42474900.0,5814299.999999999,137000000.0,5681700.0,243000000.00000003,282000000.0,1673200.0,,6001300.0,-586000000.0,1593000000.0,499000000.0,,1107900.0,5052000000.0,419200.0,,1417300.0,,5051000000.0,1115000000.0,3936000000.0
