指标,参数组合1,参数组合2,参数组合3,参数组合4,参数组合5,参数组合6,参数组合7,参数组合8,参数组合9,参数组合10
参数_j_overbought,97,94,99,94,94,102,85,86,89,93
参数_j_oversold,12,15,1,2,14,12,8,8,16,12
参数_macd_fast,8,9,15,10,8,9,10,15,13,15
参数_macd_signal,9,6,12,10,9,7,10,7,9,11
参数_macd_slow,24,30,24,26,34,28,27,27,31,29
夏普比率,-0.154,-0.415,-0.779,-0.925,-0.962,-0.986,-1.056,-1.095,-1.547,-1.692
总收益率,1.22%,-4.95%,-6.59%,-11.35%,-11.26%,-6.92%,-9.55%,-9.90%,-14.51%,-23.82%
年化收益率,0.70%,-2.87%,-3.83%,-6.67%,-6.62%,-4.03%,-5.59%,-5.80%,-8.60%,-14.45%
最大回撤,11.13%,13.67%,11.12%,13.79%,13.33%,9.26%,15.57%,15.57%,16.61%,25.87%
胜率,25.00%,0.00%,20.00%,0.00%,0.00%,0.00%,20.00%,20.00%,16.67%,0.00%
总交易次数,4,2,5,4,4,3,5,5,6,7
盈亏比,1.715,0.000,1.294,0.000,0.000,0.000,0.414,0.414,0.420,0.000
卡尔玛比率,0.063,-0.210,-0.345,-0.484,-0.497,-0.435,-0.359,-0.373,-0.518,-0.558
年化波动率,10.942693522225776,12.588058204224392,8.580076188227288,10.395354101922756,9.979459956109258,7.108210332312118,8.170296662716824,8.101513255950334,7.764371970056455,10.968936864417463
最终资金,1012203.5197444999,950509.5587806622,934117.5671754148,886538.5999616559,887357.173979341,930776.1507956998,904539.7171043317,900977.090636932,854907.7821622123,761766.2979407414
