日期,价格,现金,持仓,权益,收益率,成本价,未实现盈亏
2025-09-30,1443.99,80566.00329935271,700,1091359.0032993527,-0.010704625192791695,1436.435,5288.500000000045
2025-09-29,1460.86,80566.00329935271,700,1103168.0032993527,0.016682856107331112,1436.435,17097.499999999967
2025-09-26,1435.0,80566.00329935271,700,1085066.0032993527,-0.001202305622810762,1436.435,-1004.4999999999618
2025-09-25,1439.0,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-09-24,1442.0,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-09-23,1447.42,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-09-22,1453.35,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-09-19,1467.97,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-09-18,1467.96,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-09-17,1493.0,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-09-16,1499.98,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-09-15,1515.1,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-09-12,1516.0,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-09-11,1523.5,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-09-10,1522.01,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-09-09,1505.0,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-09-08,1501.23,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-09-05,1483.0,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-09-04,1472.66,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-09-03,1480.55,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-09-02,1491.3,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-09-01,1476.1,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-08-29,1480.0,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-08-28,1446.1,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-08-27,1448.0,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-08-26,1481.61,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-08-25,1490.33,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-08-22,1463.95,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-08-21,1448.25,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-08-20,1450.0,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-08-19,1438.0,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-08-18,1428.5,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-08-15,1422.08,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-08-14,1426.99,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-08-13,1420.05,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-08-12,1437.04,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-08-11,1445.0,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-08-08,1420.97,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-08-07,1422.35,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-08-06,1423.88,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-08-05,1427.74,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-08-04,1419.0,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-08-01,1417.0,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-07-31,1421.67,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-07-30,1449.44,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-07-29,1439.0,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-07-28,1438.66,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-07-25,1455.0,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-07-24,1491.5,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-07-23,1475.5,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-07-22,1464.98,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-07-21,1443.0,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-07-18,1437.0,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-07-17,1416.35,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-07-16,1411.03,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-07-15,1411.0,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-07-14,1423.6,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-07-11,1427.0,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-07-10,1426.5,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-07-09,1418.88,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-07-08,1416.11,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-07-07,1410.7,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
2025-07-04,1422.22,1086372.1546493527,0,1086372.1546493527,0.0,0.0,0.0
