指标,参数组合1,参数组合2,参数组合3,参数组合4,参数组合5,参数组合6,参数组合7,参数组合8,参数组合9,参数组合10
参数_bb_period,18,12,11,22,24,18,25,26,22,22
参数_bb_std,1.2606653621777,1.7970235595556274,2.1385984039468724,1.6972005886473116,1.785649027560406,1.2207561278862784,1.7527026368386183,1.438465226826013,2.283153385257014,1.9951491086347652
参数_j_overbought,90,88,85,94,104,90,96,97,93,85
参数_j_oversold,29,17,29,30,10,15,14,26,13,10
参数_volume_multiplier,1.1812128690656416,2.301776945897706,2.9844231185824355,2.7198808134726415,2.126576435691079,2.3665270376509167,1.0626265849111172,1.8916655057071825,1.3644721755761247,2.0495493205167783
夏普比率,0.223,0.000,0.000,0.000,0.000,0.000,-0.143,-1.322,-1.750,-2.834
总收益率,9.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.13%,-4.46%,-14.24%,-5.04%
年化收益率,5.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,-2.58%,-8.43%,-2.92%
最大回撤,13.51%,0.00%,0.00%,0.00%,0.00%,0.00%,14.94%,9.06%,14.27%,5.07%
胜率,45.45%,0.00%,0.00%,0.00%,0.00%,0.00%,25.00%,0.00%,0.00%,0.00%
总交易次数,11,0,0,0,0,0,8,1,3,1
盈亏比,1.335,0.000,0.000,0.000,0.000,0.000,2.488,0.000,0.000,0.000
卡尔玛比率,0.381,0.000,0.000,0.000,0.000,0.000,0.005,-0.285,-0.591,-0.576
年化波动率,14.464927355007307,0.0,0.0,0.0,0.0,0.0,13.848016671710647,4.249755913168226,6.79645686076168,2.1335746593150144
最终资金,1091359.0032993527,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1001318.167435249,955429.3342698468,857612.519790696,949649.2089347964
