指标,参数组合1,参数组合2,参数组合3,参数组合4,参数组合5,参数组合6,参数组合7,参数组合8,参数组合9,参数组合10
参数_j_overbought,91,83,77,75,90,90,80,75,93,88
参数_j_oversold,4,14,13,18,23,30,24,28,2,1
夏普比率,0.368,-0.131,-0.213,-0.214,-0.257,-0.257,-0.315,-0.402,-0.946,-1.015
总收益率,13.77%,-0.75%,-2.90%,-2.92%,-4.32%,-4.32%,-5.83%,-7.97%,-10.21%,-11.11%
年化收益率,7.68%,-0.43%,-1.67%,-1.69%,-2.50%,-2.50%,-3.38%,-4.65%,-5.99%,-6.53%
最大回撤,18.59%,29.60%,29.60%,29.60%,29.60%,29.60%,29.60%,29.60%,20.40%,20.60%
胜率,37.50%,30.00%,30.00%,30.00%,27.27%,27.27%,27.27%,27.27%,33.33%,33.33%
总交易次数,8,10,10,10,11,11,11,11,6,6
盈亏比,2.637,2.295,2.131,2.130,2.362,2.362,2.248,2.087,0.903,0.806
卡尔玛比率,0.413,-0.015,-0.057,-0.057,-0.084,-0.084,-0.114,-0.157,-0.294,-0.317
年化波动率,16.11965233640869,16.344935836534603,16.22664992791654,16.220236627497474,16.60567060392363,16.60567060392363,16.555115705572064,16.44927760234468,9.463528395036528,9.408118746866275
最终资金,1137685.317002709,992460.7193758441,970982.2057894439,970783.2415417676,956784.653243967,956784.653243967,941741.3130425668,920262.7994561666,897858.9887867171,888947.3426742172
