日期,货币资金,拆出资金,交易性金融资产,应收票据及应收账款,应收账款,预付款项,其他应收款合计,其他应收款,存货,一年内到期的非流动资产,其他流动资产,总现金,流动资产合计,可供出售金融资产,持有至到期投资,长期股权投资,其他非流动金融资产,投资性房地产,固定资产合计,固定资产清理,在建工程合计,工程物资,无形资产,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产合计,短期借款,应付票据及应付账款,应付账款,预收款项,合同负债,应付职工薪酬,应交税费,其他应付款合计,应付股利,其他应付款,一年内到期的非流动负债,其他流动负债,流动负债合计,长期借款,长期应付款合计,专项应付款,递延所得税负债,非流动负债合计,负债合计,实收资本（或股本）,资本公积,减：库存股,其他综合收益,盈余公积,未分配利润,归属于母公司所有者权益合计,少数股东权益,所有者权益（或股东权益）合计,负债和所有者权益（或股东权益）合计
2025-09-30,51753000000.0,135403000000.0,,5235000000.0,25531700.0,21229800.0,71073900.0,,55859000000.0,4686000000.0,53251600.0,51753000000.0,256587000000.0,,,,4036000000.0,3818500.0,21171000000.0,,3535000000.0,,8649000000.0,137000000.0,5812000000.0,181000000.0,48151000000.0,304738000000.0,,2822000000.0,2822000000.0,,7748999999.999999,472000000.0,6840000000.000001,5375000000.0,,,57447800.0,975000000.0,38763000000.0,,,,64664500.0,270000000.0,39033000000.0,1256000000.0,1375000000.0,6000000000.0,-1055200.0,48504000000.0,210875000000.0,257069999999.99997,8635000000.0,265705000000.00003,304738000000.0
2025-06-30,51645000000.00001,126351000000.0,,2854000000.0,37961200.0,21504699.999999996,49933600.0,49933600.0,54972000000.0,718000000.0,73752200.0,51645000000.00001,245478000000.00003,,,,4031000000.0,7221700.0,21758000000.0,,2762000000.0,,8717000000.0,142000000.0,5654000000.0,187000000.0,46779000000.0,292258000000.0,,2952000000.0,2952000000.0,,5507000000.0,426999999.99999994,6234000000.0,6328000000.0,,6328000000.0,55435800.0,706000000.0,42843000000.0,,,,66154700.0,279000000.0,43122000000.0,1256000000.0,1375000000.0,5202000000.0,778700.0,48504000000.0,191651000000.0,238646999999.99997,10489000000.0,249136000000.0,292258000000.0
2025-03-31,52199000000.0,154469000000.0,,2143000000.0,15199300.0,42883200.0,47417900.0,,54798000000.0,1711000000.0,52682900.0,52199000000.0,266507000000.00003,,,,4029999999.999999,7389700.0,21548000000.0,,2799000000.0,,8782000000.0,147000000.0,5161000000.0,200999999.99999997,45862000000.0,312369000000.0,,3745000000.000001,3745000000.000001,,8788000000.0,797000000.0,7670000000.0,6633000000.0,,,43648000.0,1090000000.0,43870000000.0,,,,66555100.0,308000000.0,44178000000.0,1256000000.0,1375000000.0,1599000000.0,-6635700.000000001,46636000000.0,209635000000.0,258358000000.0,9832000000.0,268190000000.0,312369000000.0
2024-12-31,59296000000.0,127186999999.99998,249000000.00000003,2003000000.0,18974200.0,26975000.0,29955700.0,,54342999999.99999,1211000000.0,160000000.0,59544000000.00001,251727000000.0,,,,4029000000.0,7625200.0,21871000000.0,,2150000000.0,,8850000000.0,152000000.0,5520000000.0,231999999.99999997,47218000000.0,298945000000.0,,3515000000.0,3515000000.0,,9592000000.0,5824000000.0,7718000000.000001,5429000000.0,,,112000000.0,1223000000.0,56516000000.0,,,,103000000.0,417000000.0,56933000000.00001,1256000000.0,1375000000.0,,-9916200.0,46636000000.0,182787000000.0,233106000000.0,8905000000.0,242011000000.0,298945000000.0
2024-09-30,60085000000.0,122685999999.99998,200999999.99999997,1159000000.0,10131700.0,41754300.0,63216700.0,,48225000000.0,154000000.0,19751400.0,60286000000.0,238419999999.99997,,,,4011999999.999999,4384700.0,20238000000.0,,2879000000.0,,8669000000.0,154000000.0,5908000000.0,214000000.0,48351000000.0,286771000000.0,,2652000000.0,2652000000.0,,9931000000.0,447000000.0,6343000000.0,5633000000.0,57000000.0,,47926700.0,1235000000.0,38724000000.0,,,,74818100.0,359000000.0,39083000000.0,1256000000.0,1375000000.0,,-6367200.0,41120000000.0,192904000000.0,237709000000.0,9979000000.0,247688000000.0,286771000000.0
2024-06-30,56840000000.0,115294000000.0,3829000000.0,333000000.0,1358600.0000000002,24307100.0,53598500.0,53598500.0,47766000000.0,153000000.0,55885800.0,60669000000.00001,232257000000.00003,,,,4008000000.0,4553300.0,19833000000.0,,2560000000.0,,8719000000.0,158000000.0,4974000000.0,200999999.99999997,46950000000.0,279207000000.0,,3290999999.9999995,3290999999.9999995,,9993000000.0,432000000.0,5810000000.0,6442000000.0,,6442000000.0,60411600.0,1240000000.0,50807000000.0,,,,78156600.0,356000000.0,51162000000.0,1256000000.0,1375000000.0,,-8272400.0,41120000000.0,173772000000.0,218576000000.00003,9469000000.0,228044999999.99997,279207000000.0
2024-03-31,74197000000.0,105060999999.99998,3811999999.999999,214000000.0,73124700.0,41204700.0,26297300.0,,46852000000.0,,61062500.0,78009000000.0,237377000000.0,,,,4004999999.999999,3959400.0,19542000000.0,,2813000000.0,,8518000000.000001,158000000.0,4477000000.0,154000000.0,48148000000.0,285525000000.0,,4022999999.999999,4022999999.999999,,9523000000.0,764000000.0,7016000000.0,5717000000.0,,,56128000.0,1146000000.0,36627000000.0,,,,80835400.0,361000000.0,36988000000.0,1256000000.0,1375000000.0,,-8109800.0,38999000000.0,197048000000.0,239732000000.00003,8805000000.0,248537000000.0,285525000000.0
2023-12-31,69070000000.0,105554000000.0,401000000.0,74306900.0,60373400.0,34585100.0,27502100.0,27502100.0,46435000000.0,,71403900.0,69471000000.0,225173000000.0,,,,4002000000.000001,4138500.0,19909000000.0,,2137000000.0,,8572000000.0,160000000.0,4646000000.0,110000000.0,47527000000.0,272700000000.0,,3093000000.0,3093000000.0,,14126000000.0,5402000000.0,6950000000.0,5213000000.0,,5213000000.0,57054900.0,1822000000.0,48698000000.0,,,,78943100.0,346000000.0,49043000000.0,1256000000.0,1375000000.0,,-6061700.0,38999000000.0,172983000000.0,215669000000.0,7988000000.0,223656000000.0,272700000000.0
2023-09-30,70641000000.0,95626000000.0,3509000000.0000005,131000000.0,131000000.0,111000000.0,64212000.0,,40990000000.0,,43206800.0,74150000000.0,218473000000.0,,,,4001000000.0,4439100.0,18913000000.0,,2936000000.0,,8436000000.0,142000000.0,4857000000.0,,43604000000.0,262076000000.00003,,2152000000.0,2152000000.0,,11395000000.0,428000000.0,5911000000.0,5764000000.0,86730000.0,,62366400.0,1426000000.0,36664000000.0,,,,80437600.0,394000000.0,37058000000.0,1256000000.0,1375000000.0,,-9069200.0,33998000000.0,180127000000.0,217809000000.0,7209999999.999999,225019000000.0,262076000000.00003
2023-06-30,70521000000.0,85727000000.0,200000000.0,32571300.0,32571300.0,102000000.0,60372000.0,60372000.0,40868000000.0,,48859100.0,70721000000.0,203033000000.0,,,,,4506300.0,19243000000.0,,2679000000.0,,8381000000.0,144000000.0,4095000000.000001,,38572000000.0,241604000000.0,,1982000000.0,1982000000.0,,7334000000.0,371000000.0,6189000000.0,5808000000.0,478000000.0,5330000000.0,69441100.0,907000000.0,31955000000.0,,,,83899900.0,401000000.0,32357000000.0,1256000000.0,1375000000.0,,-5778099.999999999,33998000000.0,163231000000.0,200916000000.0,8331000000.0,209246999999.99997,241604000000.0
