日期,类型,价格,实际价格,数量,金额,手续费,原因,收入,印花税,盈亏,盈亏率,成本价
2025-07-22,sell,24.11,24.08589,108700,,785.4408728999998,signal,2618136.243,2618.136243,439646.7528841002,20.212845398723353,20.009989999999995
2025-07-01,buy,19.99,20.009989999999995,108700,2175085.9129999992,652.5257738999998,signal,,,,,
2025-06-27,sell,20.814479185499998,20.793664706314498,104800,,653.7528183665278,stop_loss,2179176.0612217593,2179.1760612217595,-122121.03565782914,-5.31315812350002,21.93191
2025-06-20,buy,21.91,21.93191,104800,2298464.168,689.5392504,signal,,,,,
2025-04-09,sell,19.845480154499995,19.825634674345494,116100,,690.5268557074535,stop_loss,2301756.1856915117,2301.7561856915117,-128990.42634988716,-5.313158123500031,20.91089
2025-04-08,buy,20.89,20.91089,116100,2427754.329,728.3262986999999,signal,,,,,
2024-09-26,sell,11.01,10.99899,221100,,729.5630066999998,signal,2431876.689,2431.8766889999997,164600.39630430005,7.269966719497514,10.240229999999999
2024-08-27,buy,10.23,10.240229999999999,221100,2264114.8529999997,679.2344558999998,signal,,,,,
2024-07-31,sell,12.16,12.14784,186700,,680.4005184,signal,2268001.728,2268.001728,155102.48275360046,7.350999823913932,11.301289999999998
2024-07-08,buy,11.29,11.301289999999998,186700,2109950.8429999994,632.9852528999998,signal,,,,,
2024-03-21,sell,18.41,18.39159,114900,,633.9581072999999,signal,2113193.691,2113.193691,1110967.0582017002,111.15456388260765,8.69869
2024-02-05,buy,8.69,8.69869,114900,999479.4809999999,299.84384429999994,signal,,,,,
