日期,价格,现金,持仓,权益,收益率,成本价,未实现盈亏
2025-11-18,41.51,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-11-17,41.68,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-11-14,40.34,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-11-13,41.51,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-11-12,41.12,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-11-11,42.05,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-11-10,43.44,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-11-07,44.79,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-11-06,45.8,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-11-05,44.26,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-11-04,44.39,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-11-03,46.79,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-10-31,48.23,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-10-30,48.64,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-10-29,49.94,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-10-28,50.27,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-10-27,49.3,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-10-24,46.95,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-10-23,46.19,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-10-22,47.92,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-10-21,48.53,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-10-20,48.22,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-10-17,45.17,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-10-16,45.59,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-10-15,47.3,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-10-14,43.69,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-10-13,46.4,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-10-10,47.85,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-10-09,50.28,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-09-30,48.42,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-09-29,48.6,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-09-26,46.61,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-09-25,48.0,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-09-24,49.96,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-09-23,52.79,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-09-22,51.8,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-09-19,51.0,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-09-18,56.67,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-09-17,51.7,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-09-16,47.58,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-09-15,46.21,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-09-12,46.15,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-09-11,41.95,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-09-10,39.11,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-09-09,39.95,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-09-08,40.97,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-09-05,38.5,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-09-04,35.0,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-09-03,37.28,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-09-02,34.44,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-09-01,34.03,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-08-29,33.3,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-08-28,33.89,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-08-27,33.23,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-08-26,33.54,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-08-25,33.79,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-08-22,32.07,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-08-21,31.59,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-08-20,35.1,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-08-19,34.0,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-08-18,32.8,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
2025-08-15,30.38,1409356.1240621563,0,1409356.1240621563,0.0,0.0,0.0
