指标,参数组合1,参数组合2,参数组合3,参数组合4,参数组合5,参数组合6,参数组合7,参数组合8,参数组合9,参数组合10
参数_overbought,80,79,71,72,70,77,71,78,74,74
参数_oversold,25,30,29,35,31,26,28,27,31,30
参数_rsi_period,20,21,15,7,15,16,13,18,7,6
夏普比率,1.472,1.205,0.790,0.531,0.417,0.415,0.357,-0.071,-0.200,-0.648
总收益率,123.71%,98.56%,48.65%,30.87%,22.10%,20.20%,16.58%,-0.69%,-11.50%,-34.19%
年化收益率,53.53%,44.08%,23.50%,15.40%,11.22%,10.29%,8.51%,-0.37%,-6.30%,-19.97%
最大回撤,18.16%,19.83%,31.05%,28.30%,35.01%,35.20%,30.97%,26.01%,38.46%,44.21%
胜率,25.00%,16.67%,36.36%,43.75%,30.77%,28.57%,25.00%,16.67%,33.33%,25.81%
总交易次数,4,6,11,32,13,7,12,6,30,31
盈亏比,27.607,18.023,3.914,1.613,3.129,4.100,3.608,4.922,1.639,1.669
卡尔玛比率,2.947,2.223,0.757,0.544,0.320,0.292,0.275,-0.014,-0.164,-0.452
年化波动率,31.787596603330815,33.89452520339504,29.603690967675767,32.18978731000763,30.393540208402154,24.705538513207188,22.404126269067184,20.02388973942599,28.625427783273917,32.445439083680085
最终资金,2237088.0810454823,1985639.9794562198,1486469.7387695233,1308716.921344692,1221029.1972995705,1201972.5848413557,1165813.6387211059,993066.2687308951,885010.2426081722,658067.2004531968
