日期,收盘价,KDJ+MACD双重确认策略,MACD趋势策略,布林带+RSI反转策略,KDJ+布林带系统,布林带策略,RSI反转策略,成交量突破策略,双均线策略,KDJ超卖反弹策略
2025-11-17,41.68,,,,,,,,,buy
2025-10-28,50.27,sell,,,,,,,sell,
2025-09-10,39.11,,,,,,,sell,,
2025-09-02,34.44,,,,,,,buy,,
2025-08-26,33.54,,,,,,,sell,,
2025-08-18,32.8,,,,,,,,,sell
2025-08-14,27.62,,,,,sell,,,,
2025-08-13,25.11,,,,,,,buy,,
2025-08-01,22.48,buy,,,,,,,,
2025-07-31,22.83,,,,,,,sell,,
2025-07-30,23.0,,,,,,,,buy,
2025-07-22,24.11,,,,sell,,,,,
2025-07-09,19.67,,,,,,,buy,,
2025-07-01,19.99,,,,buy,,,,,
2025-06-30,19.77,,,,,,,,,buy
2025-06-27,19.5,,sell,,sell,buy,,sell,,sell
2025-06-24,23.35,,,,,,,buy,,
2025-06-23,22.33,,,,,,,,,buy
2025-06-20,21.91,,,,buy,,,,,
2025-05-26,24.05,sell,,,,,,,,
2025-05-16,25.02,buy,,,,,,,,
2025-04-09,22.05,,,,sell,sell,,,,
2025-04-08,20.89,,,,buy,buy,,,,
2025-03-27,29.08,,,,,,,sell,sell,
2025-03-26,30.81,,,,,,,buy,buy,
2025-03-25,28.2,,,,,,,,sell,
2025-02-27,28.04,,,,,,,sell,,
2025-02-10,27.11,,,,,,sell,,,
2025-01-08,17.36,,,,,,,buy,,
2025-01-03,16.16,,,,,,,sell,,
2024-12-26,17.78,,,,,,,buy,,
2024-12-20,15.05,,,,,,,,buy,
2024-12-02,15.35,sell,,,,,,,,
2024-11-12,15.89,,,,,,,sell,,
2024-10-18,12.35,,buy,,,,,buy,,
2024-10-17,11.69,buy,,,,,,,,
2024-10-16,11.82,,,,,,,sell,,
2024-10-08,13.59,,,,,,,,,sell
2024-09-27,11.66,,,,,sell,,,,
2024-09-26,11.01,,,,sell,,,,,
2024-09-25,10.64,,,,,,,buy,,
2024-09-18,10.08,,,,,,,,,buy
2024-08-28,10.24,,,,,,buy,,,
2024-08-27,10.23,,,,buy,,,,,
2024-08-22,10.37,,,,,buy,,,sell,
2024-08-20,10.7,,,,,,,,,sell
2024-08-16,11.02,,,,,,,,buy,
2024-08-07,11.84,,,,,,,sell,,
2024-08-01,12.31,,,sell,,,,buy,,
2024-07-31,12.16,,,,sell,,,,,
2024-07-23,10.96,,,buy,,,,,,
2024-07-18,11.24,,,,,,sell,,,
2024-07-08,11.29,,,,buy,,,,,buy
2024-07-05,11.58,,,,,,,,,sell
2024-07-03,11.71,,,,,,buy,,,
2024-06-25,12.07,,,,,,sell,,,buy
2024-06-24,12.11,,,,,,,,,sell
2024-06-20,12.6,,,,,,buy,,,
2024-06-07,13.1,,,,,,,,,buy
2024-06-06,13.03,,,,,,,,,sell
2024-06-03,13.67,,,,,,,,,buy
2024-05-24,14.3,,sell,,,,,,sell,
2024-05-22,15.36,,buy,,,,,,,
2024-05-17,15.0,,,,,,,,buy,
2024-05-10,14.57,,sell,,,,,,,
2024-05-07,15.69,,buy,,,,,,,
2024-04-24,15.2,,,,,,,,sell,
2024-04-03,15.08,,,,,,,sell,,
2024-03-21,18.41,,,,sell,,,,,
2024-03-06,11.68,,,,,,,,buy,
2024-03-05,11.28,,,,,,,buy,,
2024-02-05,8.69,,,,buy,,,,,
2024-02-02,9.19,,,,,,sell,,,
2024-01-31,9.52,,,,,,buy,,,
