日期,货币资金,交易性金融资产,应收票据及应收账款,应收账款,预付款项,其他应收款合计,其他应收款,存货,其他流动资产,总现金,流动资产合计,可供出售金融资产,长期股权投资,其他非流动金融资产,投资性房地产,固定资产合计,固定资产清理,在建工程合计,工程物资,无形资产,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产合计,短期借款,以公允价值计量且其变动计入当期损益的金融负债,衍生金融负债,应付票据及应付账款,应付账款,预收款项,合同负债,应付职工薪酬,应交税费,其他应付款合计,应付股利,其他应付款,一年内到期的非流动负债,其他流动负债,流动负债合计,长期借款,长期应付款合计,预计负债,递延所得税负债,递延收益-非流动负债,其他非流动负债,非流动负债合计,负债合计,实收资本（或股本）,资本公积,减：库存股,其他综合收益,盈余公积,未分配利润,归属于母公司所有者权益合计,少数股东权益,所有者权益（或股东权益）合计,负债和所有者权益（或股东权益）合计
2025-09-30,3547999999.9999995,242000000.0,5325000000.0,5226000000.0,444000000.00000006,526000000.0,,3397999999.9999995,322000000.0,3790000000.0,14518000000.0,,466000000.0,978000000.0,,4392000000.0,,331000000.0,,2042000000.0,1464000000.0,37106500.0,448000000.00000006,187000000.0,10649000000.0,25167000000.0,3626000000.0,59900.0,,5100000000.0,4960000000.0,74100.0,357000000.0,254999999.99999997,127000000.0,405000000.0,,,1390000000.0,385000000.0,11646000000.0,1467000000.0,1065700.0,10649200.0,388000000.0,200999999.99999997,,2257000000.0,13903000000.0,1562000000.0,1630999999.9999998,60013400.0,-164000000.0,594000000.0,7142000000.0,10704000000.0,560000000.0,11264000000.0,25167000000.0
2025-06-30,3601000000.0,234000000.0,5440000000.0,5341000000.0,445000000.0,540000000.0,540000000.0,3478000000.0,270000000.0,3835000000.0,14658000000.000002,,468000000.0,982000000.0,,4229000000.0,,449000000.0,,2066000000.0,1468000000.0,37430800.0,436000000.00000006,182000000.0,10609000000.0,25267000000.0,2909000000.0,2160900.0,,5157000000.0,5103000000.0,964900.0,288000000.0,214000000.0,134000000.0,505999999.99999994,,505999999.99999994,2263000000.0,363000000.0,11838000000.0,1622000000.0,1130600.0,24933400.0,383000000.0,188000000.0,,2412000000.0,14249000000.0,1562000000.0,1634000000.0,60013400.0,-130000000.0,594000000.0,6859999999.999999,10460000000.0,557000000.0,11018000000.0,25267000000.0
2025-03-31,3265000000.0,174000000.0,5326000000.0,5149000000.0,420000000.0,607000000.0,,3449000000.0,236000000.0,3438000000.0000005,14191000000.0,,459999999.99999994,911000000.0,,4195000000.000001,,424000000.0,,2115000000.0,1459000000.0,37938900.0,425000000.0,144000000.0,10348000000.0,24539000000.0,2136000000.0,,,5133000000.0,5075000000.0,474799.99999999994,312000000.0,199000000.0,134000000.0,525000000.0,,,1932000000.0,341000000.0,10712000000.0,2162000000.0,1969800.0,14390000.0,373000000.0,183000000.0,74693700.0,2958000000.0,13669999999.999998,1303000000.0,1898000000.0,60013400.0,-176000000.0,594000000.0,6787000000.0,10345000000.0,525000000.0,10869000000.0,24539000000.0
2024-12-31,3187000000.0,182000000.0,5700000000.0,5468000000.0,356000000.0,189000000.0,,3617000000.0,331000000.0,3369000000.0,14358000000.000002,,454000000.0,927000000.0,,5558000000.0,,517000000.0,,2140000000.0,1459000000.0,37001700.0,440000000.00000006,177000000.0,11959000000.0,26317000000.0,2316000000.0,189100.0,,5474000000.0,5307000000.0,350700.0,339000000.0,294000000.0,171000000.0,599000000.0,,,2180000000.0,366000000.0,11740000000.0,2314000000.0,17775100.0,13293300.0,373000000.0,181000000.0,72201900.0,3178000000.0,14918000000.0,1303000000.0,1899000000.0,60013400.0,-223000000.0,594000000.0,6518000000.000001,10035000000.0,1365000000.0,11400000000.0,26317000000.0
2024-09-30,2860000000.0,14117700.0,5932000000.0,5726000000.0,450000000.0,407000000.0,,3415999999.9999995,274000000.0,2874000000.0,14097999999.999998,,461000000.00000006,1000000000.0,,5201000000.0,,759000000.0,,2030000000.0,1454000000.0,36138200.0,424000000.0,200000000.0,11934000000.0,26033000000.0,2192000000.0,189100.0,,5338000000.0,5139000000.0,721300.0,474000000.0,245000000.00000003,131000000.0,684000000.0,,,2359000000.0,164000000.0,11588000000.0,2301000000.0,12315600.0,16840800.0,373000000.0,153000000.0,78157400.0,3190000000.0,14778000000.0,1308000000.0,1961000000.0,126000000.0,-447000000.0,549000000.0,6630000000.0,9879000000.0,1376000000.0,11254000000.0,26033000000.0
2024-06-30,2643000000.0,22554400.0,5644000000.0,5420000000.0,421000000.0,347000000.0,347000000.0,3506000000.0,275000000.0,2665000000.0,13791000000.0,,573000000.0,856000000.0,,5201000000.0,,693000000.0,,2061000000.0,1458000000.0,36558600.0,426999999.99999994,139000000.0,11757000000.0,25549000000.0,2168000000.0,189100.0,,5251000000.0,4858000000.0,793500.0,371000000.0,229999999.99999997,126000000.0,798000000.0,,798000000.0,1550000000.0,92715200.0,10588000000.0,2963000000.0,2163600.0,16909300.0,383000000.0,158000000.0,75074200.0,3850000000.0,14438999999.999998,1308000000.0,1973000000.0,116000000.0,-446000000.0,549000000.0,6515000000.000001,9785000000.0,1325000000.0,11110000000.0,25549000000.0
2024-03-31,2419000000.0,20424800.0,5328000000.0,5176000000.0,426999999.99999994,327000000.0,,3431000000.0,256999999.99999997,2440000000.0,13280000000.000002,,628000000.0,844000000.0,,5203000000.0,,488999999.99999994,,1994000000.0,1457000000.0,38747900.0,391000000.0,190000000.0,11557000000.0,24836000000.0,1535000000.0,221300.0,,5166000000.0,4795000000.0,280100.0,342000000.0,218000000.00000003,157000000.0,778000000.0,,,1653000000.0,145000000.0,9995000000.0,2987000000.0,1797400.0,23329100.0,391000000.0,157000000.0,75080100.0,3900000000.0,13894999999.999998,1311000000.0,1991000000.0,110000000.0,-459999999.99999994,549000000.0,6344000000.0,9627000000.0,1314000000.0,10942000000.0,24836000000.0
2023-12-31,2647000000.0,14403699.999999998,5028000000.0,4861000000.0,389000000.0,315000000.0,315000000.0,3404999999.9999995,204999999.99999997,2662000000.0,13080000000.000002,,622000000.0,844000000.0,,4971000000.0,5111500.0,723000000.0,,1987000000.0,1459000000.0,38186200.0,404000000.0,187000000.0,11584000000.0,24664000000.0,1198000000.0,221300.0,,5191000000.0,4731000000.0,392000.0,360000000.0,289000000.0,189000000.0,912000000.0,,912000000.0,1285000000.0,129000000.0,9552000000.0,3481000000.0,3497799.9999999995,18352300.0,391000000.0,149000000.0,107000000.0,4410000000.0,13962000000.0,1311000000.0,1968000000.0,87161700.0,-457000000.0,549000000.0,6122000000.0,9408000000.0,1294000000.0,10702000000.0,24664000000.0
2023-09-30,2882000000.0,14629100.0,5246000000.0,5050000000.0,458000000.0,471000000.0,,3529000000.0,153000000.0,2896000000.0,13979000000.0,,877999999.9999999,819000000.0,117000000.0,4654000000.0,,409000000.0,,1871000000.0,1412000000.0,40147400.0,388000000.0,526000000.0,11527000000.0,25507000000.0,1688000000.0,820400.0000000001,,5381000000.0,4454000000.0,4070899.999999999,279000000.0,256000000.0,166000000.0,713000000.0,,,1031000000.0,168000000.0,9688000000.0,3788000000.000001,7482800.0,28048500.0,351000000.0,132000000.0,111000000.0,4686000000.0,14374000000.0,1311000000.0,1998000000.0,88517500.0,-468000000.0,540000000.0,6526000000.000001,9818000000.0,1315000000.0,11133000000.0,25507000000.0
2023-06-30,2882000000.0,10895700.0,5459000000.0,5253000000.0,547000000.0,379000000.0,379000000.0,3372000000.0,157000000.0,2892000000.0,13760000000.0,,878999999.9999999,788000000.0,117000000.0,4605000000.0,,565000000.0,,1789000000.0,1417000000.0,42836600.0,380000000.0,595000000.0,11519000000.0,25279000000.0,1739000000.0,2157100.0,,5369000000.0,4731000000.0,8052100.0,204999999.99999997,231000000.0,187000000.0,773000000.0,,773000000.0,524000000.0,219000000.0,9258000000.0,4090000000.0,7641200.0,25696300.0,329000000.0,130000000.0,111000000.0,4978000000.0,14237000000.0,1311000000.0,2004000000.0,88517500.0,-438000000.0,540000000.0,6403000000.0,9731000000.0,1311000000.0,11042000000.0,25279000000.0
