日期,销售商品、提供劳务收到的现金,收到的税费与返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,取得借款收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金及现金等价物的影响,五、现金及现金等价物净增加额,加：期初现金及现金等价物余额,六、期末现金及现金等价物余额,净利润
2025-09-30,9822000000.0,132000000.0,369000000.0,10323000000.0,5829000000.0,1906000000.0,524000000.0,927000000.0,9186000000.0,1137000000.0,36687700.0,27778500.0,1954000.0,295000000.0,445000000.0,806000000.0,624000000.0,123000000.0,6282400.0,761000000.0,1514000000.0,-708000000.0,17000000.0,4209000000.000001,,4226000000.0,4270000000.000001,359000000.0,23542800.000000004,4653000000.0,-426999999.99999994,95958000.0,97605600.0,2676000000.0,2774000000.0,
2025-06-30,5878000000.0,80824700.0,266000000.0,6225000000.0,3367000000.0,1252000000.0,365000000.0,530999999.99999994,5515000000.0,710000000.0,36687700.0,16682900.0,2012700.0,295000000.0,331000000.0,681000000.0,455999999.99999994,123000000.0,,676000000.0,1255000000.0,-574000000.0,12000000.0,2679000000.0,,2691000000.0,2463000000.0,312000000.0,16410600.0,2792000000.0,-101000000.0,80418600.0,116000000.0,2676000000.0,2792000000.0,548000000.0
2025-03-31,2862000000.0,41343000.0,135000000.0,3038000000.0,1555000000.0,628000000.0,188000000.0,364000000.0,2734000000.0,304000000.0,36687700.0,14194000.0,237900.0,284000000.0,331000000.0,666000000.0,309000000.0,20700000.0,4000000.0,479000000.0,811999999.9999999,-146000000.0,7000000.0,805000000.0000001,,811999999.9999999,977000000.0,60338300.0,1702400.0,1039000000.0,-227000000.0,18705500.0,-50003300.0,2676000000.0,2626000000.0,
2024-12-31,13463000000.0,160000000.0,394000000.0,14018000000.0,8268000000.000001,2579000000.0,694000000.0,939000000.0,12480000000.0,1538000000.0,1500000.0,7591400.0,28700500.0,24900.000000000004,,37816900.0,1204000000.0,17198600.0,4551500.0,517000000.0,1743000000.0,-1705000000.0,20496500.0,4136999999.999999,20497500.0,4178000000.0,3283000000.0,385000000.0,118000000.0,3785000000.0,393000000.0,-7662600.0,218000000.00000003,2458000000.0,2676000000.0,832000000.0
2024-09-30,9554000000.0,114000000.0,483000000.0,10152000000.0,5732000000.0,1742000000.0000002,571000000.0,1278000000.0,9323000000.0,828999999.9999999,,6657600.0,26382800.000000004,,,33040400.0,839000000.0,17251400.0,532000.0,186000000.0,1043000000.0,-1010000000.0,20000000.0,3015000000.0,20200000.0,3055000000.0,2202000000.0,307000000.0,110000000.0,2618000000.0,437000000.0,-2550300.0,254000000.0,2458000000.0,2712000000.0,
2024-06-30,6182000000.0,52918500.0,273000000.0,6508000000.0,3938000000.000001,1157000000.0,418000000.0,642000000.0,6154000000.0,354000000.0,,5035000.0,15532100.0,,,20567100.0,626000000.0,500000.0,532000.0,186000000.0,813000000.0000001,-792000000.0,20000000.0,2249000000.0,,2269000000.0,1544000000.0,121000000.0,96614900.0,1761000000.0,507000000.0,-16920300.0,52561300.0,2458000000.0,2511000000.0,409000000.0
2024-03-31,3010000000.0,25249300.0,138000000.0,3174000000.0,2037000000.0,616000000.0,216000000.0,339000000.0,3208000000.0,-34223800.0,,5035000.0,14622900.0,,,19657900.0,334000000.0,532000.0,,,334000000.0,-315000000.0,20000000.0,916000000.0,,936000000.0,681000000.0,57722400.0,34149600.0,773000000.0,163000000.0,-18805600.0,-204999999.99999997,2458000000.0,2253000000.0,
2023-12-31,13169999999.999998,174000000.0,612000000.0,13956000000.0,8215000000.000001,2379000000.0,600000000.0,1128000000.0,12322000000.0,1634000000.0,353000000.0,97151300.0,261000000.0,,10790000.0,722000000.0,1299000000.0,101000000.0,40485100.0,37700.0,1440000000.0,-718000000.0,171000000.0,4060000000.0,,4231000000.0,4186999999.999999,471000000.0,113000000.0,4771000000.0,-540000000.0,72877900.0,448000000.00000006,2010000000.0,2458000000.0,553000000.0
2023-09-30,10367000000.0,126000000.0,518000000.0,11011000000.0,6761000000.0,1664000000.0,509999999.99999994,1170000000.0,10106000000.0,905000000.0,353000000.0,87722300.0,252999999.99999997,880000.0,,695000000.0,775000000.0,116000000.0,3486100.0,37700.0,894999999.9999999,-200000000.0,106000000.0,3196000000.0,,3302000000.0000005,2909000000.0,391000000.0,40024600.0,3340000000.0,-37784500.0,7678900.0,674000000.0,2010000000.0,2684000000.0,
2023-06-30,6719000000.0,74781900.0,283000000.0,7077000000.0,4382000000.0,1128000000.0,349000000.0,589000000.0,6448000000.0,629000000.0,353000000.0,87722300.0,250999999.99999997,880000.0,,693000000.0,610000000.0,68842400.0,3486100.0,,682000000.0,10838100.0,104000000.0,2429000000.0,,2533000000.0,2368000000.0,124000000.0,36674300.0,2528000000.0,4258700.0,35857600.0,680000000.0,2010000000.0,2690000000.0,628000000.0
