日期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2025-09-30,819000000.0,28.26,719000000.0,25.66,11967000000.0,-1.86,0.53,6.85,1.04,4.57,0.73,6.92,25.38,7.87,7.65,226.68,2.55,106.04,120.64,1.25,0.89,0.83,1.3,55.24
2025-06-30,537000000.0,36.76,480999999.99999994,38.25,8031000000.0,0.66,0.35,6.7,1.05,4.39,0.45,6.82,25.49,5.19,5.14,227.84,1.69,106.7,121.14,1.24,0.88,0.83,1.36,56.4
2025-03-31,268000000.00000003,20.45,235000000.0,18.54,4039000000.0,7.95,0.21,7.94,1.46,5.21,0.23,6.86,24.35,2.63,2.59,222.37,0.86,104.07,118.3,1.32,0.94,0.87,1.32,55.71
2024-12-31,793000000.0,49.63,635000000.0,33.13,16247000000.0,4.37,0.61,7.7,1.46,5.0,1.18,5.12,24.05,8.15,7.9,216.87,3.51,102.43,114.44,1.22,0.86,0.79,1.49,56.68
2024-09-30,638000000.0,-30.92,572000000.0,-21.47,12194000000.0,1.06,0.41,7.55,1.5,5.07,0.63,5.56,25.46,6.59,6.46,218.51,2.67,101.3,117.21,1.22,0.86,0.8,1.5,56.77
2024-06-30,393000000.0,-35.09,348000000.0,-31.85,7978000000.0,2.09,0.25,7.48,1.51,4.98,0.27,5.13,25.7,4.09,4.01,220.92,1.72,104.94,115.98,1.3,0.91,0.82,1.48,56.51
2024-03-31,223000000.0,-13.6,198000000.0,-9.59,3740999999.999999,-2.46,0.17,7.34,1.52,4.84,-0.03,5.88,25.4,2.34,2.31,230.94,0.82,110.21,120.72,1.33,0.92,0.81,1.44,55.95
2023-12-31,530000000.0,-33.73,476999999.99999994,-35.77,15566999999.999998,9.12,0.4068,7.18,1.5,4.67,1.25,3.55,25.16,5.74,5.63,211.09,3.49,103.1,107.99,1.37,0.95,0.84,1.48,56.61
2023-09-30,924000000.0,17.87,728000000.0,10.44,12067000000.0,7.25,0.7089,7.49,1.52,4.98,0.69,7.99,25.93,9.76,9.41,209.25,2.63,102.65,106.59,1.44,1.02,0.89,1.46,56.35
2023-06-30,605000000.0,21.34,509999999.99999994,29.31,7814000000.0,8.66,0.4645,7.42,1.53,4.88,0.48,8.04,26.18,6.46,6.22,215.67,1.74,103.59,112.08,1.49,1.05,0.94,1.46,56.32
2023-03-31,258000000.0,30.05,219000000.0,48.01,3836000000.0,8.77,0.1978,7.04,1.53,4.61,-0.0097,6.91,24.58,2.82,2.78,213.4,0.88,102.06,111.33,1.44,1.01,0.9,1.44,55.99
2022-12-31,800000000.0,-19.06,743000000.0,68.64,14266000000.0,4.15,0.6152,6.84,1.51,4.41,0.91,5.88,24.82,9.27,8.89,208.46,3.42,105.16,103.3,1.31,0.91,0.8,1.48,56.75
2022-09-30,784000000.0,17.13,659000000.0,19.18,11251000000.0,7.38,0.6034,6.75,1.51,4.44,0.53,7.5,23.83,9.12,8.83,196.39,2.77,97.4,99.0,1.16,0.84,0.72,1.51,57.1
2022-06-30,499000000.0,19.14,394000000.0,12.75,7192000000.0,6.64,0.3839,6.65,1.5,4.37,0.34,7.37,23.7,5.88,5.7,203.36,1.8,100.12,103.24,1.11,0.8,0.68,1.55,57.75
2022-03-31,198000000.0,50.53,148000000.0,14.12,3527000000.0000005,18.02,0.1525,6.39,1.5,4.14,0.16,5.78,22.03,2.38,2.36,199.48,0.92,97.55,101.93,1.14,0.81,0.69,1.55,58.33
