字段名,字段值
公司名称,石大胜华新材料集团股份有限公司
英文名称,"Shida Shinghwa Advanced Material Group Co., Ltd."
曾用简称,石大胜华>> 胜华新材
A股代码,603026
A股简称,石大胜华
入选指数,"国证2000,国证Ａ指"
所属市场,上交所
所属行业,化学原料和化学制品制造业
法人代表,郭天明
注册资金,23270.1014
成立日期,2002-12-31
上市日期,2015-05-29
官方网站,www.sinodmc.com
电子邮箱,sdsh@sinodmc.com
联系电话,0546-2169536
传真,0546-2169539
注册地址,山东省东营市垦利区同兴路198号
办公地址,山东省东营市垦利区同兴路198号
邮政编码,257503
主营业务,新能源材料业务和基础化工业务。
经营范围,一般项目：新材料技术研发；新材料技术推广服务；化工产品销售（不含许可类化工产品）；电子专用材料销售；高纯元素及化合物销售；高性能有色金属及合金材料销售；电池销售；机械电气设备销售；专用化学产品销售（不含危险化学品）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：危险化学品经营。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）。
机构简介,公司系由石大科技、英大信托、瑞丰公司、叶智刚、杜寿考、郭天明、于海明、黄鲁伟、李涛江、胡宝志及胡成洋共11名发起人直接以发起方式设立的股份有限公司。2002年12月31日，山东省工商行政管理局核准公司设立登记，并颁发了注册号为3700001807825的《企业法人营业执照》。
数据清洗时间,2025-11-06 20:32:28
