日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-11-06 15:00:00,65.59,65.8,65.8,65.58,0.34,0.22,3300,21685337.0,0.34,0.16
2025-11-06 14:55:00,65.6,65.58,65.62,65.56,-0.02,-0.01,2272,14902822.0,0.09,0.11
2025-11-06 14:50:00,65.67,65.59,65.68,65.57,-0.14,-0.09,1622,10641203.0,0.17,0.08
2025-11-06 14:45:00,65.65,65.68,65.75,65.61,0.03,0.02,1062,6974507.0,0.21,0.05
2025-11-06 14:40:00,65.55,65.66,65.67,65.54,0.17,0.11,1313,8610045.0,0.2,0.06
2025-11-06 14:35:00,65.6,65.55,65.94,65.49,-0.08,-0.05,2352,15445113.0,0.69,0.12
2025-11-06 14:30:00,65.52,65.6,65.79,65.49,0.11,0.07,1154,7574678.0,0.46,0.06
2025-11-06 14:25:00,65.5,65.53,65.7,65.41,0.03,0.02,1237,8112460.0,0.44,0.06
2025-11-06 14:20:00,65.19,65.51,65.55,65.17,0.49,0.32,2467,16134978.0,0.58,0.12
2025-11-06 14:15:00,65.2,65.19,65.21,65.02,0.06,0.04,1350,8793861.0,0.29,0.07
2025-11-06 14:10:00,65.26,65.15,65.27,65.02,-0.15,-0.1,1291,8410440.0,0.38,0.06
2025-11-06 14:05:00,65.26,65.25,65.34,65.22,-0.03,-0.02,1040,6789473.0,0.18,0.05
2025-11-06 14:00:00,65.36,65.27,65.4,65.2,-0.17,-0.11,1657,10819398.0,0.31,0.08
2025-11-06 13:55:00,65.5,65.38,65.6,65.3,-0.26,-0.17,1271,8324919.0,0.46,0.06
2025-11-06 13:50:00,65.71,65.55,65.73,65.5,-0.17,-0.11,1228,8054652.0,0.35,0.06
2025-11-06 13:45:00,65.86,65.66,65.86,65.63,-0.3,-0.2,1092,7176356.0,0.35,0.05
2025-11-06 13:40:00,66.03,65.86,66.13,65.86,-0.44,-0.29,769,5073783.0,0.41,0.04
2025-11-06 13:35:00,65.58,66.15,66.19,65.58,0.85,0.56,1535,10119892.0,0.93,0.08
2025-11-06 13:30:00,65.99,65.59,66.0,65.59,-0.61,-0.4,1191,7839641.0,0.62,0.06
2025-11-06 13:25:00,65.98,65.99,65.99,65.8,0.02,0.01,1530,10080546.0,0.29,0.08
2025-11-06 13:20:00,66.26,65.98,66.26,65.98,-0.44,-0.29,1380,9122359.0,0.42,0.07
2025-11-06 13:15:00,66.26,66.27,66.69,66.25,0.02,0.01,2489,16534456.0,0.66,0.12
2025-11-06 13:10:00,66.5,66.26,66.6,66.02,-0.36,-0.24,2419,16027686.0,0.87,0.12
2025-11-06 13:05:00,66.68,66.5,66.68,66.18,-0.21,-0.14,3600,23943401.0,0.75,0.18
2025-11-06 11:30:00,68.3,66.64,68.3,66.55,-2.43,-1.66,6417,43142971.0,2.56,0.32
2025-11-06 11:25:00,66.0,68.3,68.59,65.83,3.67,2.42,17243,115950219.0,4.19,0.85
2025-11-06 11:20:00,66.05,65.88,66.15,65.64,-0.26,-0.17,3094,20407779.0,0.77,0.15
2025-11-06 11:15:00,65.3,66.05,66.48,65.25,1.23,0.8,9209,60871741.0,1.89,0.45
2025-11-06 11:10:00,65.6,65.25,65.99,65.23,-0.53,-0.35,4670,30638364.0,1.16,0.23
2025-11-06 11:05:00,64.96,65.6,65.69,64.96,1.16,0.75,4625,30222283.0,1.13,0.23
2025-11-06 11:00:00,64.71,64.85,65.0,64.44,0.17,0.11,2186,14151678.0,0.86,0.11
2025-11-06 10:55:00,64.36,64.74,64.74,64.36,0.59,0.38,1328,8570614.0,0.59,0.07
2025-11-06 10:50:00,64.59,64.36,64.68,64.31,-0.37,-0.24,1311,8452987.0,0.57,0.06
2025-11-06 10:45:00,64.53,64.6,64.6,64.3,0.11,0.07,1935,12469112.0,0.46,0.1
2025-11-06 10:40:00,64.3,64.53,64.6,64.15,0.26,0.17,1944,12508134.0,0.7,0.1
