日期,新闻标题,新闻内容
2025-11-06,石大胜华11月6日快速上涨,以下是石大胜华在北京时间11月6日09:36分盘口异动快照：11月6日，石大胜华盘中快速上涨，5分钟内涨幅超过2%，截至9
2025-11-06,石大胜华11月6日快速回调,以下是石大胜华在北京时间11月6日09:39分盘口异动快照：11月6日，石大胜华盘中快速回调，5分钟内跌幅超过2%，截至9
2025-11-06,石大胜华11月6日盘中涨幅达5%,以下是石大胜华在北京时间11月6日09:36分盘口异动快照：11月6日，石大胜华盘中涨幅达5%，截至9点36分，报66.44
2025-11-06,石大胜华：融资余额4.47亿元，创近一年新高（11-05）,融资融券余额合计4.5亿元。石大胜华融资融券交易明细（11-05）石大胜华历史融资融券数据一览
2025-11-05,石大胜华11月5日快速反弹,以下是石大胜华在北京时间11月5日09:40分盘口异动快照：11月5日，石大胜华盘中快速反弹，5分钟内涨幅超过2%，截至9
2025-11-05,石大胜华：融资净买入1497.1万元，融资余额4.16亿元（11-04）,融资融券余额合计4.19亿元。石大胜华融资融券交易明细（11-04）石大胜华历史融资融券数据一览
2025-11-04,石大胜华：融资净偿还1129.62万元，融资余额4.01亿元（11-03）,融资融券余额合计4.04亿元。石大胜华融资融券交易明细（11-03）石大胜华历史融资融券数据一览
2025-11-04,石大胜华11月4日快速上涨,以下是石大胜华在北京时间11月4日09:30分盘口异动快照：11月4日，石大胜华盘中快速上涨，5分钟内涨幅超过2%，截至9
2025-11-04,石大胜华11月4日盘中涨幅达5%,以下是石大胜华在北京时间11月4日09:44分盘口异动快照：11月4日，石大胜华盘中涨幅达5%，截至9点44分，报65.65
2025-11-03,石大胜华11月3日快速反弹,以下是石大胜华在北京时间11月3日09:50分盘口异动快照：11月3日，石大胜华盘中快速反弹，5分钟内涨幅超过2%，截至9
2025-11-03,逼近12万元/吨 六氟磷酸锂1个月涨幅接近翻倍 有上市公司称“订单还在增加”,财联社记者以投资者身份致电相关上市公司，石大胜华（603026.SH）、新宙邦（300037.SZ）等公司均表示订单饱满。
2025-11-03,石大胜华11月3日盘中跌幅达5%,以下是石大胜华在北京时间11月3日09:38分盘口异动快照：11月3日，石大胜华盘中跌幅达5%，截至9点38分，报61.4
2025-11-03,石大胜华11月3日加速下跌,以下是石大胜华在北京时间11月3日09:39分盘口异动快照：11月3日，石大胜华盘中加速下跌，5分钟内跌幅超过2%，截至9
2025-11-01,石大胜华：融资净买入1850.77万元，融资余额4.12亿元（10-31）,融资融券余额合计4.15亿元。石大胜华融资融券交易明细（10-31）石大胜华历史融资融券数据一览
2025-10-31,石大胜华10月31日快速回调,以下是石大胜华在北京时间10月31日09:44分盘口异动快照：10月31日，石大胜华盘中快速回调，5分钟内跌幅超过2%，截至
2025-10-31,石大胜华10月31日快速上涨,以下是石大胜华在北京时间10月31日09:35分盘口异动快照：10月31日，石大胜华盘中快速上涨，5分钟内涨幅超过2%，截至
2025-10-31,石大胜华：融资净买入1783.07万元，融资余额3.93亿元（10-30）,融资融券余额合计3.97亿元。石大胜华融资融券交易明细（10-30）石大胜华历史融资融券数据一览
2025-10-31,石大胜华10月31日盘中涨幅达5%,以下是石大胜华在北京时间10月31日09:35分盘口异动快照：10月31日，石大胜华盘中涨幅达5%，截至9点35分，报66.78
2025-10-31,石大胜华：2025年前三季度实现营业总收入46.35亿元 同比增长11.41%,中证智能财讯石大胜华（603026）10月31日披露2025年第三季度报告。
2025-10-31,股价累计年涨177%！海科新源电池溶剂满产满销 固态电解质能否撑起第二增长曲线？,暖尽管海科新源今年毛利率有所改善，但与另一大电解液溶剂巨头石大胜华（603026.SH
2025-10-30,石大胜华10月30日快速上涨,以下是石大胜华在北京时间10月30日09:35分盘口异动快照：10月30日，石大胜华盘中快速上涨，5分钟内涨幅超过2%，截至
2025-10-30,石大胜华股东户数增加12.68%，户均持股25万元,石大胜华2025年10月31日在三季度报告中披露，截至2025年9月30日公司股东户数为4.2万户，较上期（2025年6月
2025-10-30,锂电池板块震荡走强 石大胜华、天际股份双双涨停,锂电池板块盘中震荡走强，电解液方向领涨，石大胜华、天际股份涨停，海科新源涨超10%，多氟多、天赐材料、昊华科技等跟涨。
2025-10-30,石大胜华10月30日盘中涨幅达5%,以下是石大胜华在北京时间10月30日10:06分盘口异动快照：10月30日，石大胜华盘中涨幅达5%，截至10点06分，报60.73
2025-10-30,石大胜华10月30日盘中涨停,以下是石大胜华在北京时间10月30日10:15分盘口异动快照：10月30日10点15分，石大胜华盘中涨停，报63.59元，
2025-10-30,图解财报：石大胜华前三季归母净利润-6220.18万元，上年同期1126.51万元,石大胜华10月31日发布2025年三季报显示，公司前三季实现营业收入46.35亿元，同比增长11.41%；归母净利润-
2025-10-30,石大胜华：融资净偿还1877.71万元，融资余额3.76亿元（10-29）,融资融券余额合计3.79亿元。石大胜华融资融券交易明细（10-29）石大胜华历史融资融券数据一览
2025-10-30,石大胜华：前三季度净亏损6220.18万元,每经AI快讯，10月30日，石大胜华603026.SH)发布2025年第三季度报告，前三季度实现营业收入46.35亿元
2025-10-30,52只股上午收盘涨停(附股),石大胜华63.595.53413.9126320.54电力设备001203大中矿业17.733.301463.5125948.11
2025-10-30,62只股涨停 最大封单资金5.75亿元,石大胜华63.596.00148.899467.82电力设备600773西藏城投12.505.86733.109163.75
2025-10-29,石大胜华10月29日快速回调,以下是石大胜华在北京时间10月29日09:37分盘口异动快照：10月29日，石大胜华盘中快速回调，5分钟内跌幅超过2%，截至
2025-10-29,石大胜华：连续3日融资净买入累计6515.86万元（10-28）,融资融券余额合计3.98亿元。石大胜华融资融券交易明细（10-28）石大胜华历史融资融券数据一览
2025-10-28,石大胜华10月28日盘中涨幅达5%,以下是石大胜华在北京时间10月28日10:54分盘口异动快照：10月28日，石大胜华盘中涨幅达5%，截至10点54分，报59.49
2025-10-28,石大胜华10月28日快速上涨,以下是石大胜华在北京时间10月28日10:52分盘口异动快照：10月28日，石大胜华盘中快速上涨，5分钟内涨幅超过2%，截至
2025-10-28,石大胜华：融资净买入4373.31万元，融资余额3.79亿元（10-27）,融资融券余额合计3.82亿元。石大胜华融资融券交易明细（10-27）石大胜华历史融资融券数据一览
2025-10-27,石大胜华10月27日盘中涨幅达5%,以下是石大胜华在北京时间10月27日11:22分盘口异动快照：10月27日，石大胜华盘中涨幅达5%，截至11点22分，报57.47
2025-10-27,石大胜华10月27日快速上涨,以下是石大胜华在北京时间10月27日11:12分盘口异动快照：10月27日，石大胜华盘中快速上涨，5分钟内涨幅超过2%，截至
2025-10-25,石大胜华：融资净买入633.11万元，融资余额3.36亿元（10-24）,融资融券余额合计3.38亿元。石大胜华融资融券交易明细（10-24）石大胜华历史融资融券数据一览
2025-10-24,石大胜华：连续4日融资净偿还累计6187.77万元（10-23）,融资融券余额合计3.32亿元。石大胜华融资融券交易明细（10-23）石大胜华历史融资融券数据一览
2025-10-23,石大胜华：连续3日融资净偿还累计5813.9万元（10-22）,融资融券余额合计3.36亿元。石大胜华融资融券交易明细（10-22）石大胜华历史融资融券数据一览
2025-10-22,石大胜华10月22日加速下跌,以下是石大胜华在北京时间10月22日09:30分盘口异动快照：10月22日，石大胜华盘中加速下跌，5分钟内跌幅超过2%，截至
2025-10-22,石大胜华10月22日盘中跌幅达5%,以下是石大胜华在北京时间10月22日09:45分盘口异动快照：10月22日，石大胜华盘中跌幅达5%，截至9点45分，报52.81
2025-10-22,石大胜华10月22日快速反弹,以下是石大胜华在北京时间10月22日09:50分盘口异动快照：10月22日，石大胜华盘中快速反弹，5分钟内涨幅超过2%，截至
2025-10-21,超八成公司三季报预喜！这些行业业绩领跑，后市如何布局？,净利润已经连续三年下滑的石大胜华（603026）预亏超4900万元。
2025-10-16,电解液行业陷“寒冬期” 业内看好后市周期性复苏与结构性机会,10月16日，锂电池电解液溶剂龙头石大胜华603026披露的2025年前三季度业绩预告，预计归母净利润亏损4900
2025-10-16,公司快评︱前三季预亏最高7500万，净利连降3年，定增“一波三折”，石大胜华如何解困局？,10月15日晚间，石大胜华（SH603026，前收盘价：57.48元，市值：133.76亿元）发布2025年前三季度业绩预告
2025-10-16,产品价格下跌 石大胜华前三季度净利润大降534.97%至765.77%,10月15日晚间，石大胜华新材料集团股份有限公司（简称：石大胜华，代码：603026.SH）发布2025年前三季度业绩预告
2025-10-16,当升科技拟合作开发固态锂电材料；石大胜华预计前三季度净利润同比转亏 | 新能源早参,NO.2 石大胜华：预计前三季度净利润亏损4900万元至7500万元10月15日，石大胜华公告称，预计2025年前三季度归属于上市公司股东的净利润亏损
2025-10-16,石大胜华预计前三季度同比转亏 净利已连续三年“滑坡”,10月15日晚间，石大胜华603026发布2025年前三季度业绩预告称，经公司财务部门初步测算，公司预计净利润为负值
2025-10-15,石大胜华：前三季度预亏4900万元—7500万元 同比由盈转亏,每经AI快讯，石大胜华60302610月15日发布前三季度业绩预亏公告，预计前三季度净利润亏损4900万元—7500
2025-10-15,石大胜华：前三季度预亏4900万元—7500万元 同比由盈转亏,人民财讯10月15日电，石大胜华60302610月15日发布前三季度业绩预亏公告，预计前三季度净利润亏损4900万元
2025-10-15,石大胜华前三季度预亏最高7500万元，净利润同比骤降超765%,作为新能源材料领域的龙头企业，石大胜华（SH603026，股价57.48元，市值133.76亿元）正面临严峻的盈利考验
2025-10-15,石大胜华：预计前三季度归母净亏损4900万到7500万元,石大胜华10月15日晚间公告，预计前三季度归母净利润亏损4900万元到7500万元，上年同期盈利1126.51万元。
2025-10-15,石大胜华：预计2025年前三季度亏损4900万元-7500万元,中证智能财讯石大胜华（603026）10月15日晚间披露业绩预告，预计2025年前三季度归母净利润亏损4900万元至7500
2025-10-14,石大胜华录得6天4板,石大胜华再度涨停，6个交易日内录得4个涨停，累计涨幅为38.85%，累计换手率为45.51%。
2025-10-13,石大胜华录得5天3板,石大胜华再度涨停，5个交易日内录得3个涨停，累计涨幅为26.23%，累计换手率为39.10%。
2025-10-13,涨停股复盘：26股封单超亿元,石大胜华54.046.02125.996808.50电力设备002040南京港11.3610.15548.276228.40
2025-10-13,储能爆单后，六氟磷酸锂价格狂飙！天际股份6天5板，天赐材料计划产能出海,新源（301292.SZ）以12.46%的涨幅领涨板块，随后是石大胜华（603026.SH）5天3板，
2025-10-13,六氟磷酸锂板块走强 天际股份、石大胜华、多氟多涨停,10月13日，六氟磷酸锂板块走强。板块整体涨超3%，天际股份、石大胜华、多氟多涨停。
2025-10-13,锂电池板块局部回暖 石大胜华5天3板,方财经10月13日电，锂电池板块日内局部回暖，电解液方向领涨，石大胜华5天3板，天际股份、多氟多、天赐材料跟涨。
2025-10-13,锂电池板块局部回暖 石大胜华5天3板,I快讯，10月13日，锂电池板块日内局部回暖，电解液方向领涨，石大胜华5天3板，天际股份、多氟多、天赐材料跟涨。
2025-09-30,47只股上午收盘涨停(附股),石大胜华51.809.14157.698168.24电力设备000672上峰水泥11.023.74625.596894.05
2025-09-30,石大胜华：股票交易异常波动,南财智讯9月30日电，石大胜华公告，公司股票于2025年9月26日、9月29日、9月30日连续三个交易日内收盘价格涨幅偏离值累计超过
2025-09-29,固态电池概念股活跃走强 万润新能、石大胜华等涨停,日早盘，固态电池概念股活跃走强，截至发稿，万润新能、丰山集团、石大胜华、湘潭电化、万向钱潮等股涨停，湖南裕能涨超
2025-09-29,涨停股复盘：21股封单超亿元,石大胜华47.093.88182.148577.05电力设备002150通润装备18.939.48433.038197.26
2025-09-29,52只股上午收盘涨停(附股),石大胜华47.093.76529.6124939.41电力设备301518长华化学34.3616.80716.0224602.45
2025-09-06,A股绿色周报丨4家上市公司暴露环境风险 隧道股份控股公司被罚100万元,石大胜华（SH603026）控股公司胜华新能源科技（武汉）有限公司（以下简称武汉胜华）因不能提供2025年1—5月的自行监测报告
2025-09-05,石大胜华拟投资2500万元 建设氯化钙项目,9月5日，石大胜华603026公告，拟设立子公司东营胜华利达科技有限公司（下称“胜华利达”），投资建设5.3万吨/
2025-09-04,石大胜华：拟2500万元投资建设5.3万吨/年氯化钙项目,石大胜华9月4日公告，拟设立子公司东营胜华利达科技有限公司，投资建设5.3万吨/年氯化钙项目，项目建设地点为山东省东营市垦利区同兴路
2025-09-04,石大胜华：拟设子公司投建5.3万吨/年氯化钙项目,石大胜华6030269月4日晚间公告，公司拟设立子公司东营胜华利达科技有限公司，投资建设5.3万吨/年氯化钙项目，
2025-09-04,石大胜华：拟投资2500万元设立子公司建设5.3万吨/年氯化钙项目,每经AI快讯，9月4日，石大胜华603026.SH)公告称，公司拟设立子公司东营胜华利达科技有限公司，投资建设5.3
2025-09-04,石大胜华：拟设立子公司投建5.3万吨/年氯化钙项目,上证报中国证券网讯（记者徐子逸）石大胜华公告，公司拟设立子公司东营胜华利达科技有限公司（以工商部门核准通过的名称为准）
2025-09-01,固态电池概念股掀涨停潮！国轩高科、先导智能领涨，上半年超六成企业业绩飘红,海目星（688559.SH）、鹏辉能源（300438.SZ）、石大胜华（603026.SH
2025-08-26,石大胜华603026.SH)：2025年中报净利润为-5633.78万元，同比由盈转亏,2025年8月26日，石大胜华603026.SH)发布2025年中报。
2025-08-26,石大胜华：2025年上半年实现营业总收入30.11亿元 同比增长14.87%,中证智能财讯石大胜华（603026）8月26日披露2025年半年度报告。
2025-08-25,同比盈转亏 石大胜华上半年业绩受化工产品价格下行拖累,新能源产业链需求增速放缓、上游材料竞争加剧的背景下，电解液龙头石大胜华（603026.SH，股价38.18元，市值
2025-08-25,石大胜华：上半年亏损5633.78万元，同比由盈转亏,人民财讯8月25日电，石大胜华6030268月25日晚间披露2025年半年报，上半年实现营业收入30.11亿元，同比增长
2025-08-21,石大胜华：发行新增股份约3002万股,石大胜华（SH 603026，收盘价：37.37元）8月21日晚间发布公告称，公司本次向特定对象发行人民币普通股（A股
2025-08-13,石大胜华：8月13日召开董事会会议,石大胜华8月13日晚间发布公告称，公司第八届第十九次董事会会议于2025年8月13日在山东省东营市垦利区同兴路198号石大胜华办公楼
2025-08-12,石大胜华定增募资“腰斩”至10亿元！公司净利润两年骤降98% 现金流告急,锂电材料企业石大胜华（603026）8月11日晚公告称，将向特定对象发行股票的募集资金规模从不超过19.9亿元大幅调整至
2025-07-25,石大胜华：7月25日召开董事会会议,石大胜华7月25日晚间发布公告称，公司第八届第十八次董事会会议于2025年7月25日在山东省东营市垦利区同兴路198号石大胜华办公楼
2025-07-07,石大胜华：7月7日召开董事会会议,石大胜华7月7日晚间发布公告称，公司第八届第十七次董事会会议于2025年7月7日在山东省东营市垦利区同兴路198号石大胜华办公楼
2025-07-03,石大胜华2025年上半年预亏-5200万元到-6000万元，新能源转型遭遇产品价格坍塌,7月1日晚间，石大胜华（603026.SH）发布业绩预亏公告，预计2025年半年度实现归属于上市公司股东的净利润-5200
2025-07-02,电解液供应过剩、产品跌价，石大胜华上半年最多预亏6000万,预亏5200万元到6000万元，今年上半年，昔日锂电“明星股”石大胜华（603026.SH）仍未摆脱亏损的困境。
2025-07-01,石大胜华：预计2025年上半年净亏损5200万元到6000万元,每经AI快讯，7月1日，石大胜华公告，预计2025年上半年净利润亏损5200万元到6000万元。
2025-07-01,石大胜华：预计2025年上半年净利润为-5200万元到-6000万元,石大胜华（SH 603026，收盘价：37.5元）7月1日晚间发布业绩预告，预计2025年半年度实现归属于上市公司股东的净利润
2025-07-01,石大胜华：上半年预亏5200万元到6000万元,人民财讯7月1日电，石大胜华6030267月1日晚间发布业绩预亏公告，预计2025年半年度净利润亏损5200万元到
2025-07-01,石大胜华：聘任戴昶昱任公司副总经理、执行委员会副主任,石大胜华（SH 603026，收盘价：37.5元）7月1日晚间发布公告称，经公司董事长提名，并经董事会提名委员会资格审查
2025-07-01,石大胜华预计上半年亏损5200万元至6000万元,7月1日，石大胜华（603026）发布公告，公司预计2025年半年度归母净利润将亏损5200万元至6000万元，较上年同期减少
2025-07-01,产品价格下跌叠加新产能未达产 石大胜华预计H1亏5200-6000万元|财报解读,昔日明星股石大胜华603026.SH)仍未能走出周期底部。
2025-07-01,石大胜华拟聘任戴昶昱任副总经理兼执行委员会副主任,7月1日，石大胜华（603026）发布公告，经公司董事长提名，并经董事会提名委员会资格审查，董事会拟聘任戴昶昱任公司副总经理
2025-07-01,石大胜华：7月1日召开董事会会议,石大胜华（SH 603026，收盘价：37.5元）7月1日晚间发布公告称，公司第八届第十六次董事会会议于2025年7月
2025-07-01,7月2日上市公司重要公告集锦：长春高新拟发行H股并在香港联交所上市,石大胜华：上半年预亏5200万元到6000万元石大胜华（603026）发布业绩预亏公告，
2025-07-01,石大胜华：预计2025年上半年净亏损5200万元-6000万元,南方财经7月1日电，石大胜华公告，预计2025年上半年净利润亏损5200万元到6000万元。
2025-07-01,石大胜华：预计上半年归净亏损5200万元到6000万元,石大胜华7月1日公告，预计2025年上半年净利润亏损5200万元到6000万元。
2025-07-01,石大胜华：预计2025年上半年亏损5200万元-6000万元,中证智能财讯石大胜华（603026）7月1日晚间披露业绩预告，预计2025年上半年归母净利润亏损5200万元至6000
2025-07-01,净利连跌三年，石大胜华上半年业绩仍无好转，亏损或达6000万元,石大胜华6030267月1日晚间发布业绩预亏公告，预计2025年半年度净利润亏损5200万元到6000万元，上年同期净利润
2025-06-27,石大胜华及相关人员因内幕信息管理问题被采取行政监管措施,6月27日，石大胜华（603026）发布公告，近日公司收到中国证券监督管理委员会山东监管局出具的《决定书》，因在内幕信息知情人登记管理方面存在问题
2025-06-27,石大胜华及高管遭监管处罚，公司前董事配偶曾短线交易获益,6月27日晚间，石大胜华（SH603026，股价37.31元，市值75.62亿元）公告，公司于6月27日收到中国证券监督管理委员会山东监管局
2025-06-27,因内幕信息管理问题，石大胜华被责令整改，董事长等被警示,6月27日晚间，石大胜华（603026）发布公告，近日公司收到中国证券监督管理委员会山东监管局出具的《决定书》，因在内幕信息知情人登记管理方面存在问题
