序号,股票代码,股票简称,最新价,涨跌幅,换手率,流入资金,流出资金,净额,成交额
1,301017,漱玉平民,16.66,20.03%,5.83%,5824.10万,1.69亿,-1.11亿,2.27亿
2,301201,诚达药业,49.2,20.00%,21.73%,5.94亿,4.94亿,1.00亿,10.87亿
3,300483,首华燃气,18.96,20.00%,22.92%,5.74亿,5.04亿,6969.19万,10.78亿
4,300560,中富通,18.78,20.00%,32.91%,4.04亿,6.66亿,-2.63亿,10.70亿
5,300086,康芝药业,10.62,20.00%,28.34%,6.99亿,5.43亿,1.57亿,12.42亿
6,301150,中一科技,52.28,19.99%,12.89%,6.50亿,7.20亿,-6996.80万,13.69亿
7,688670,金迪克,28.03,19.99%,8.56%,1.11亿,1.59亿,-4832.11万,2.70亿
8,300584,海辰药业,71.9,19.99%,26.19%,5.92亿,8.25亿,-2.33亿,14.17亿
9,688353,华盛锂电,139.2,16.00%,18.67%,14.88亿,14.54亿,3351.30万,29.42亿
10,301360,荣旗科技,88.83,15.47%,28.85%,4.05亿,2.26亿,1.79亿,6.31亿
11,300300,海峡创新,15.2,14.20%,36.02%,18.04亿,16.83亿,1.21亿,34.87亿
12,300867,圣元环保,22.75,13.86%,28.34%,7.02亿,5.37亿,1.65亿,12.39亿
13,301228,实朴检测,34.2,13.17%,12.07%,3.06亿,1.75亿,1.31亿,4.81亿
14,301662,宏工科技,137.07,12.74%,31.67%,4.37亿,2.63亿,1.74亿,7.00亿
15,688408,中信博,53.6,11.64%,11.95%,7.96亿,5.82亿,2.13亿,13.78亿
16,300247,融捷健康,5.57,11.62%,15.41%,3.64亿,3.18亿,4589.38万,6.82亿
17,688559,海目星,51.34,11.61%,9.94%,7.03亿,5.12亿,1.92亿,12.15亿
18,301057,汇隆新材,31.04,11.61%,10.98%,1.50亿,1.35亿,1483.67万,2.85亿
19,300268,*ST佳沃,13.55,11.07%,5.86%,5725.09万,4709.33万,1015.75万,1.04亿
20,301152,天力锂能,39.48,10.93%,34.24%,5.35亿,4.05亿,1.30亿,9.40亿
21,300477,ST合纵,3.38,10.46%,17.76%,3.07亿,2.64亿,4269.53万,5.71亿
22,2146,荣盛发展,1.95,10.17%,7.14%,3.06亿,2.22亿,8377.98万,5.29亿
23,620,盈新发展,3.48,10.13%,12.97%,10.16亿,10.54亿,-3753.80万,20.70亿
24,600617,国新能源,4.14,10.11%,6.91%,2.67亿,2.27亿,3978.27万,4.93亿
25,566,海南海药,6.77,10.08%,8.34%,2.10亿,4.42亿,-2.32亿,6.51亿
26,600792,云煤能源,5.36,10.06%,6.24%,1.61亿,1.90亿,-2867.78万,3.51亿
27,600327,大东方,5.58,10.06%,17.80%,3.57亿,5.07亿,-1.50亿,8.64亿
28,2198,嘉应制药,7.66,10.06%,5.43%,8929.49万,1.14亿,-2477.44万,2.03亿
29,547,航天发展,9.41,10.06%,17.05%,8.54亿,16.75亿,-8.22亿,25.29亿
30,603366,日出东方,11.07,10.04%,7.68%,3.32亿,3.36亿,-434.72万,6.68亿
31,600829,人民同泰,15.13,10.04%,7.37%,1.46亿,4.99亿,-3.53亿,6.45亿
32,600340,华夏幸福,2.74,10.04%,1.52%,0.00,1.62亿,-1.62亿,1.62亿
33,2893,京能热力,13.15,10.04%,18.21%,2.39亿,2.31亿,857.03万,4.70亿
34,2242,九阳股份,12.17,10.04%,1.39%,0.00,1.29亿,-1.29亿,1.29亿
35,600333,长春燃气,7.68,10.03%,8.89%,1.06亿,3.07亿,-2.01亿,4.12亿
36,600272,开开实业,15.47,10.03%,12.41%,6317.36万,2.41亿,-1.78亿,3.04亿
37,2780,三夫户外,19.2,10.03%,41.91%,3.62亿,6.66亿,-3.04亿,10.28亿
38,633,合金投资,8.23,10.03%,18.76%,1.52亿,4.39亿,-2.87亿,5.91亿
39,600408,安泰集团,6.26,10.02%,21.12%,4.91亿,8.25亿,-3.35亿,13.16亿
40,2227,奥特迅,16.36,10.02%,7.45%,1.23亿,1.73亿,-5023.31万,2.95亿
41,605398,新炬网络,32.4,10.02%,7.38%,1.89亿,1.85亿,374.74万,3.74亿
42,2846,英联股份,20.75,10.02%,18.79%,4.40亿,5.14亿,-7329.34万,9.54亿
43,2682,龙洲股份,6.48,10.02%,2.07%,0.00,7552.37万,-7552.37万,7552.36万
44,1266,宏英智能,36.27,10.01%,21.99%,1.51亿,3.03亿,-1.52亿,4.54亿
45,1268,联合精密,32.87,10.01%,8.98%,9111.94万,8842.23万,269.71万,1.80亿
46,1216,华瓷股份,17.04,10.01%,3.76%,4825.76万,1.05亿,-5673.74万,1.53亿
47,1332,锡装股份,59.58,10.01%,6.41%,9224.50万,8401.67万,822.83万,1.76亿
48,1225,和泰机电,56.27,10.01%,7.21%,4341.74万,3896.74万,445.00万,8238.48万
49,603817,海峡环保,8.68,10.01%,7.71%,1.68亿,1.97亿,-2877.37万,3.64亿
50,603929,亚翔集成,54.29,10.01%,2.39%,1.45亿,1.20亿,2506.29万,2.65亿
51,603353,和顺石油,28.03,10.01%,1.33%,1809.23万,4394.68万,-2585.45万,6203.91万
52,2931,锋龙股份,19.57,10.01%,4.18%,4770.01万,1.14亿,-6604.16万,1.61亿
53,2806,华锋股份,15.17,10.01%,13.59%,1.86亿,1.60亿,2604.88万,3.47亿
54,592,平潭发展,10.88,10.01%,16.60%,16.30亿,16.91亿,-6077.50万,33.22亿
55,3041,真爱美家,41.02,10.00%,0.75%,0.00,4231.02万,-4231.02万,4231.02万
56,603026,石大胜华,100.52,10.00%,6.80%,5.93亿,7.74亿,-1.81亿,13.67亿
57,603948,建业股份,34.0,10.00%,10.39%,2.67亿,2.84亿,-1710.79万,5.51亿
58,600693,东百集团,11.0,10.00%,7.27%,2.42亿,4.25亿,-1.83亿,6.67亿
59,2855,捷荣技术,19.47,10.00%,8.47%,7730.54万,3.24亿,-2.47亿,4.01亿
60,2250,联化科技,15.4,10.00%,16.49%,11.43亿,10.60亿,8267.30万,22.04亿
61,1203,大中矿业,28.08,9.99%,2.39%,3.59亿,4.83亿,-1.23亿,8.42亿
62,300092,科新机电,18.05,9.99%,15.61%,3.53亿,2.23亿,1.30亿,5.75亿
63,603628,清源股份,15.74,9.99%,10.17%,1.15亿,3.12亿,-1.97亿,4.27亿
64,600167,联美控股,9.14,9.99%,2.86%,1.64亿,4.24亿,-2.59亿,5.88亿
65,2805,丰元股份,21.68,9.99%,12.21%,3.55亿,3.68亿,-1304.69万,7.23亿
66,2083,孚日股份,11.56,9.99%,0.68%,0.00,7434.44万,-7434.44万,7434.45万
67,955,欣龙控股,7.38,9.99%,6.26%,5759.20万,1.88亿,-1.30亿,2.46亿
68,833,粤桂股份,24.22,9.99%,26.12%,13.47亿,13.35亿,1232.00万,26.82亿
69,2963,豪尔赛,19.17,9.98%,4.44%,2823.79万,6717.76万,-3893.97万,9541.54万
70,798,中水渔业,9.37,9.98%,9.82%,9864.57万,2.32亿,-1.33亿,3.31亿
71,2728,特一药业,15.21,9.98%,44.11%,12.71亿,11.69亿,1.03亿,24.40亿
72,600403,大有能源,10.14,9.98%,6.19%,6.76亿,7.56亿,-7925.65万,14.32亿
73,2317,众生药业,26.0,9.98%,10.39%,6.55亿,13.75亿,-7.21亿,20.30亿
74,2788,鹭燕医药,11.69,9.97%,16.13%,3.61亿,3.32亿,2909.03万,6.93亿
75,601969,海南矿业,13.02,9.97%,5.54%,6.16亿,7.60亿,-1.43亿,13.76亿
76,601566,九牧王,12.58,9.97%,6.11%,9451.63万,3.38亿,-2.43亿,4.32亿
77,603778,国晟科技,8.5,9.96%,28.87%,7.21亿,7.96亿,-7450.30万,15.17亿
78,632,三木集团,7.95,9.96%,32.85%,4.55亿,7.56亿,-3.01亿,12.10亿
79,39,中集集团,8.94,9.96%,9.27%,9.20亿,9.46亿,-2604.60万,18.66亿
80,2593,日上集团,6.63,9.95%,23.43%,3.71亿,4.77亿,-1.06亿,8.48亿
81,601279,英利汽车,5.09,9.94%,4.25%,1.57亿,1.73亿,-1561.11万,3.31亿
82,958,电投产融,7.3,9.94%,2.16%,3.54亿,4.87亿,-1.33亿,8.42亿
83,536,华映科技,5.31,9.94%,4.55%,9206.39万,5.69亿,-4.77亿,6.61亿
84,407,胜利股份,5.54,9.92%,1.23%,0.00,5976.86万,-5976.86万,5976.86万
85,300255,常山药业,58.9,9.85%,4.70%,13.27亿,11.22亿,2.05亿,24.49亿
86,600157,永泰能源,1.79,9.82%,11.63%,28.59亿,15.27亿,13.32亿,43.87亿
87,688170,德龙激光,38.33,9.48%,11.74%,2.58亿,1.95亿,6302.14万,4.53亿
88,600179,安通控股,4.88,9.42%,5.42%,4.22亿,5.53亿,-1.32亿,9.75亿
89,300155,安居宝,5.82,9.40%,19.44%,2.05亿,1.66亿,3934.59万,3.72亿
90,572,海马汽车,10.94,8.96%,29.02%,23.87亿,26.78亿,-2.90亿,50.65亿
91,2163,海南发展,16.26,8.91%,22.06%,14.68亿,13.52亿,1.16亿,28.20亿
92,603180,金牌家居,23.7,8.62%,9.72%,1.70亿,1.80亿,-990.99万,3.49亿
93,688426,康为世纪,31.2,8.60%,6.26%,4146.83万,3084.62万,1062.21万,7231.45万
94,600506,统一股份,31.3,8.49%,33.79%,7.42亿,7.94亿,-5198.59万,15.36亿
95,300091,金通灵,3.4,8.28%,8.24%,2.72亿,1.30亿,1.42亿,4.03亿
96,301019,宁波色母,22.66,8.27%,15.19%,1.96亿,1.95亿,95.15万,3.92亿
97,2353,杰瑞股份,53.8,8.21%,2.81%,4.67亿,5.81亿,-1.14亿,10.48亿
98,603100,川仪股份,25.25,8.18%,4.22%,2.71亿,2.68亿,258.03万,5.39亿
99,300434,金石亚药,12.95,8.10%,17.38%,4.32亿,3.30亿,1.02亿,7.61亿
100,301557,常友科技,110.8,7.78%,15.06%,1.03亿,7902.57万,2412.84万,1.82亿
101,300497,富祥药业,18.86,7.77%,42.68%,19.24亿,16.69亿,2.54亿,35.93亿
102,300250,初灵信息,25.0,7.76%,26.95%,5.95亿,4.81亿,1.14亿,10.77亿
103,603122,合富中国,23.8,7.69%,28.48%,12.48亿,13.70亿,-1.23亿,26.18亿
