序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,燃气,1901.94,3.25,32.14,26.6,5.54,28,国新能源,10.11,4.14
2,医药商业,5462.19,2.56,35.58,43.81,-8.23,32,漱玉平民,20.03,16.66
3,油气开采及服务,1554.95,2.12,34.38,29.97,4.42,20,首华燃气,20.0,18.96
4,厨卫电器,7317.28,1.53,4.98,4.26,0.71,9,日出东方,10.04,11.07
5,港口航运,1250.6,1.5,48.85,40.6,8.24,36,安通控股,9.42,4.88
6,综合,2664.06,1.25,57.97,73.01,-15.04,19,粤桂股份,9.99,24.22
7,中药,3766.15,1.17,71.76,72.13,-0.38,69,嘉应制药,10.06,7.66
8,化学制药,7222.81,0.97,183.09,178.66,4.43,158,康芝药业,20.0,10.62
9,光伏设备,8523.23,0.94,303.87,297.95,5.92,76,中信博,11.64,53.6
10,种植业与林业,4692.87,0.88,28.11,27.99,0.12,30,平潭发展,10.01,10.88
11,房地产,1997.49,0.8,96.05,98.62,-2.57,91,荣盛发展,10.17,1.95
12,养殖业,3244.61,0.64,25.02,28.98,-3.97,38,中水渔业,9.98,9.37
13,生物制品,7228.99,0.63,49.53,50.78,-1.25,55,金迪克,19.99,28.03
14,小家电,5118.27,0.61,11.68,14.01,-2.33,25,融捷健康,11.62,5.57
15,纺织制造,2492.53,0.58,12.08,14.67,-2.6,32,孚日股份,9.99,11.56
16,石油加工贸易,3669.05,0.56,22.06,25.9,-3.84,28,和顺石油,10.01,28.03
17,医疗服务,18292.3,0.47,54.01,57.08,-3.07,53,诚达药业,20.0,49.2
18,建筑装饰,4551.33,0.44,102.46,126.97,-24.51,152,亚翔集成,10.01,54.29
19,煤炭开采加工,2886.54,0.43,35.75,50.57,-14.82,33,云煤能源,10.06,5.36
20,环保设备,1273.31,0.32,7.64,7.39,0.25,29,*ST节能,5.11,3.5
21,环境治理,4362.63,0.24,67.09,74.55,-7.47,112,圣元环保,13.86,22.75
22,服装家纺,3166.41,0.21,41.23,52.6,-11.37,76,三夫户外,10.03,19.2
23,汽车服务及其他,1284.01,0.15,9.14,8.71,0.43,25,中路股份,6.98,11.49
24,钢铁,1878.51,0.15,51.07,56.5,-5.43,43,大中矿业,9.99,28.08
25,橡胶制品,16718.2,0.14,11.67,11.4,0.27,20,利通科技,7.42,43.6
26,医疗器械,12707.2,0.12,66.15,69.88,-3.73,133,丹娜生物,11.79,94.79
27,家居用品,4494.47,0.12,25.57,28.11,-2.54,97,华瓷股份,10.01,17.04
28,公路铁路运输,1502.14,0.12,16.93,15.77,1.16,32,海汽集团,6.67,28.64
29,化学纤维,4047.68,0.11,22.03,25.31,-3.28,28,汇隆新材,11.62,31.04
30,银行,1363.39,0.11,142.34,115.3,27.04,84,兴业银行,1.5,21.6
31,零售,2209.04,0.09,92.27,104.58,-12.31,71,大东方,10.06,5.58
32,白色家电,8479.8,0.02,69.06,79.73,-10.66,42,联合精密,10.01,32.87
33,其他社会服务,20655.6,0.01,12.59,13.54,-0.95,72,实朴检测,13.17,34.2
34,电力,1903.93,-0.01,124.65,144.96,-20.32,103,京能热力,10.04,13.15
35,汽车整车,3543.18,-0.04,53.24,75.53,-22.29,23,海马汽车,8.96,10.94
36,轨交设备,1159.82,-0.07,10.26,13.83,-3.57,30,科安达,1.53,12.62
37,物流,6045.67,-0.1,18.92,23.75,-4.84,49,龙洲股份,10.02,6.48
38,通信服务,2916.63,-0.12,54.07,63.89,-9.81,45,中富通,20.0,18.78
39,电池,22137.2,-0.17,415.87,476.37,-60.51,102,中一科技,19.99,52.28
40,贸易,3244.28,-0.22,9.9,12.98,-3.08,15,远大控股,3.69,8.72
41,工程机械,3371.02,-0.22,22.73,25.8,-3.07,36,华东重机,6.4,7.81
42,专用设备,7738.68,-0.25,112.62,132.64,-20.02,195,和泰机电,10.01,56.27
43,造纸,2252.01,-0.26,16.97,16.96,0.02,23,安妮股份,4.63,8.13
44,军工电子,11850.5,-0.28,54.4,65.58,-11.19,62,航天发展,10.06,9.41
45,军工装备,2260.11,-0.28,91.09,103.86,-12.78,81,北方长龙,5.71,147.0
46,建筑材料,5792.04,-0.3,50.15,53.89,-3.73,72,海南瑞泽,5.26,4.8
47,塑料制品,9924.94,-0.31,53.11,62.82,-9.71,76,宁波色母,8.27,22.66
48,多元金融,1246.33,-0.33,23.36,27.26,-3.9,27,电投产融,9.94,7.3
49,黑色家电,4204.52,-0.34,6.24,8.36,-2.12,9,辰奕智能,2.03,37.26
50,风电设备,4896.03,-0.34,29.54,32.66,-3.12,30,常友科技,7.78,110.8
