报告期,报表核心指标,*所有者权益（或股东权益）合计,*资产合计,*负债合计,*归属于母公司所有者权益合计,报表全部指标,流动资产,货币资金,交易性金融资产,应收票据及应收账款,其中：应收票据,应收账款,预付款项,其他应收款合计,其中：应收利息,其他应收款,存货,其他流动资产,总现金,流动资产合计,非流动资产,可供出售金融资产,持有至到期投资,长期股权投资,其他权益工具投资,其他非流动金融资产,投资性房地产,固定资产合计,其中：固定资产,固定资产清理,在建工程合计,其中：在建工程,工程物资,无形资产,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产合计,流动负债,短期借款,以公允价值计量且其变动计入当期损益的金融负债,应付票据及应付账款,其中：应付票据,应付账款,预收款项,合同负债,应付职工薪酬,应交税费,其他应付款合计,其中：应付利息,应付股利,其他应付款,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,长期应付款合计,其中：长期应付款,专项应付款,预计负债,递延所得税负债,递延收益-非流动负债,其他非流动负债,非流动负债合计,负债合计,所有者权益（或股东权益）,实收资本（或股本）,资本公积,减：库存股,其他综合收益,盈余公积,未分配利润,归属于母公司所有者权益合计,少数股东权益,所有者权益（或股东权益）合计,负债和所有者权益（或股东权益）合计
2025-09-30,,513.99亿,739.57亿,225.58亿,424.05亿,,,65.27亿,15.26亿,8.74亿,3.29亿,5.45亿,7255.69万,4817.92万,False,False,26.44亿,16.33亿,80.53亿,141.99亿,,False,False,263.62亿,31.85亿,False,False,122.69亿,False,False,80.36亿,False,False,49.00亿,4.16亿,2363.30万,34.79亿,7312.34万,597.58亿,739.57亿,,11.91亿,800.31万,15.38亿,False,15.38亿,False,1278.39万,1.69亿,1.52亿,2.18亿,False,118.49万,False,9.62亿,2.19亿,44.70亿,,136.83亿,5.99亿,False,False,False,6.75亿,20.76亿,5840.06万,False,180.88亿,225.58亿,,16.41亿,237.53亿,1.58亿,7.45亿,8.32亿,155.62亿,424.05亿,89.94亿,513.99亿,739.57亿
2025-06-30,,504.62亿,736.01亿,231.39亿,419.11亿,,,71.86亿,16.60亿,7.35亿,3.50亿,3.84亿,7722.48万,6188.70万,False,4944.81万,25.46亿,19.96亿,88.46亿,148.68亿,,False,False,264.21亿,25.99亿,False,False,124.22亿,124.22亿,False,73.54亿,73.54亿,False,48.71亿,4.16亿,2463.76万,34.74亿,9680.08万,587.32亿,736.01亿,,13.06亿,991.13万,16.21亿,False,16.21亿,False,921.48万,1.54亿,1.45亿,1.58亿,False,118.49万,1.57亿,17.87亿,2.47亿,54.37亿,,140.00亿,False,False,False,False,7.18亿,19.00亿,4951.24万,False,177.01亿,231.39亿,,16.41亿,237.44亿,1.58亿,4.07亿,8.32亿,154.16亿,419.11亿,85.51亿,504.62亿,736.01亿
2025-03-31,,493.98亿,719.32亿,225.34亿,417.93亿,,,81.97亿,10.17亿,7.91亿,2.87亿,5.04亿,5813.79万,5663.58万,False,False,23.67亿,17.06亿,92.14亿,150.00亿,,False,False,263.83亿,24.89亿,False,False,124.05亿,False,False,62.71亿,False,False,45.13亿,4.16亿,1323.90万,32.93亿,1.01亿,569.31亿,719.32亿,,17.38亿,False,16.44亿,8200.00万,15.62亿,False,2249.48万,1.86亿,1.82亿,1.19亿,False,118.49万,False,16.10亿,4.43亿,59.45亿,,132.60亿,False,False,False,False,6.34亿,16.25亿,5389.50万,False,165.89亿,225.34亿,,16.41亿,237.35亿,1.58亿,2.79亿,8.32亿,154.36亿,417.93亿,76.04亿,493.98亿,719.32亿
2024-12-31,,491.82亿,686.78亿,194.96亿,418.93亿,,,57.67亿,6.55亿,7.90亿,2.56亿,5.35亿,7011.12万,5327.76万,False,False,22.89亿,17.47亿,64.22亿,128.50亿,,False,False,262.51亿,27.30亿,False,False,124.80亿,False,False,51.37亿,False,False,42.99亿,4.16亿,1363.09万,32.55亿,1.54亿,558.28亿,686.78亿,,13.14亿,False,16.01亿,8200.00万,15.19亿,False,1198.55万,2.27亿,2.28亿,1.31亿,False,118.49万,False,11.00亿,4.29亿,50.41亿,,112.03亿,False,False,False,False,6.21亿,15.17亿,5607.81万,False,144.54亿,194.96亿,,16.41亿,237.69亿,2.00亿,5.30亿,8.32亿,152.93亿,418.93亿,72.90亿,491.82亿,686.78亿
2024-09-30,,503.54亿,703.55亿,200.02亿,435.08亿,,,62.76亿,4.72亿,14.94亿,2.03亿,12.92亿,6035.88万,4682.78万,False,False,25.83亿,17.65亿,67.47亿,136.32亿,,False,False,256.12亿,23.55亿,False,False,123.05亿,False,False,67.37亿,False,False,45.38亿,4.16亿,1410.35万,33.21亿,1.72亿,567.23亿,703.55亿,,14.31亿,False,17.33亿,254.17万,17.31亿,False,3278.08万,1.58亿,3.62亿,1955.32万,False,118.49万,False,7.15亿,4.12亿,48.64亿,,114.28亿,False,False,False,False,7.16亿,17.14亿,1.09亿,False,151.38亿,200.02亿,,16.41亿,237.62亿,2.00亿,-5396.45万,8.32亿,174.96亿,435.08亿,68.45亿,503.54亿,703.55亿
2024-06-30,,501.15亿,692.64亿,191.49亿,445.80亿,,,53.74亿,6.96亿,17.66亿,9462.05万,16.71亿,6629.62万,4673.35万,False,3761.20万,29.19亿,18.88亿,60.70亿,135.77亿,,False,False,258.07亿,24.64亿,False,False,107.08亿,107.08亿,False,75.12亿,75.12亿,False,41.57亿,4.16亿,1484.88万,32.51亿,1.20亿,556.86亿,692.64亿,,5.35亿,False,17.98亿,9472.97万,17.03亿,False,1079.98万,1.32亿,1.86亿,2.46亿,False,2.23亿,2354.21万,7.02亿,3.33亿,39.42亿,,118.17亿,False,False,False,False,6.58亿,14.78亿,1.07亿,False,152.06亿,191.49亿,,16.41亿,237.53亿,2.00亿,5.34亿,8.32亿,179.92亿,445.80亿,55.35亿,501.15亿,692.64亿
2024-03-31,,528.25亿,699.48亿,171.23亿,478.18亿,,,92.87亿,1.08亿,14.17亿,7321.46万,13.44亿,6051.54万,1.67亿,False,False,29.94亿,19.75亿,93.95亿,166.36亿,,False,False,253.46亿,24.74亿,False,False,106.15亿,False,False,64.87亿,False,False,35.48亿,4.16亿,1556.34万,30.99亿,1.32亿,533.12亿,699.48亿,,3.35亿,False,17.03亿,1.95亿,15.07亿,False,7366.41万,1.73亿,21.18亿,2806.02万,False,118.49万,False,6.34亿,5882.76万,51.24亿,,92.68亿,False,False,False,False,3.21亿,12.68亿,5499.96万,False,120.00亿,171.23亿,,16.41亿,237.44亿,2.00亿,2.61亿,8.32亿,215.16亿,478.18亿,50.07亿,528.25亿,699.48亿
2023-12-31,,542.37亿,732.28亿,189.92亿,515.20亿,,,95.89亿,1482.42万,43.82亿,6580.51万,43.16亿,8509.98万,1.82亿,False,8325.88万,31.51亿,21.46亿,96.03亿,196.29亿,,False,False,268.74亿,15.83亿,False,False,90.80亿,90.80亿,False,72.87亿,72.87亿,False,38.40亿,4.16亿,1620.71万,31.71亿,6199.88万,535.99亿,732.28亿,,3.37亿,False,25.20亿,2.09亿,23.11亿,False,3744.83万,1.98亿,23.94亿,3.80亿,False,3.49亿,3104.31万,7.53亿,4041.06万,66.60亿,,95.45亿,False,False,False,False,3.24亿,12.27亿,5634.38万,False,123.32亿,189.92亿,,16.41亿,237.37亿,2.00亿,7645.65万,8.32亿,254.13亿,515.20亿,27.17亿,542.37亿,732.28亿
2023-09-30,,516.63亿,744.32亿,227.68亿,526.10亿,,,81.24亿,False,70.62亿,6738.05万,69.95亿,8599.42万,3.60亿,False,False,33.76亿,22.04亿,81.24亿,224.22亿,,False,False,272.99亿,16.69亿,False,False,80.67亿,False,False,59.30亿,False,False,41.47亿,4.16亿,204.17万,30.19亿,9675.28万,520.10亿,744.32亿,,112.88万,False,27.41亿,3.65亿,23.76亿,False,8129.44万,1.14亿,69.11亿,4521.20万,False,118.49万,False,3.96亿,3531.40万,103.25亿,,93.73亿,False,False,False,False,2.79亿,14.45亿,5664.80万,False,124.43亿,227.68亿,,16.41亿,236.39亿,2.00亿,4.57亿,8.32亿,262.14亿,526.10亿,-9.47亿,516.63亿,744.32亿
2023-06-30,,549.32亿,769.45亿,220.13亿,511.91亿,,,106.46亿,False,85.72亿,1.28亿,84.44亿,1.10亿,4.75亿,False,1.05亿,31.26亿,20.26亿,106.46亿,273.25亿,,False,False,266.65亿,18.41亿,False,False,81.25亿,81.25亿,False,53.19亿,53.19亿,False,41.22亿,4.16亿,316.02万,27.38亿,1.09亿,496.20亿,769.45亿,,False,False,29.00亿,4.78亿,24.22亿,False,7742.19万,1.05亿,59.94亿,5.06亿,False,4.92亿,1405.91万,2.81亿,4064.65万,99.04亿,,99.15亿,False,False,False,False,3.01亿,15.21亿,5813.97万,False,121.09亿,220.13亿,,16.41亿,233.14亿,2.00亿,10.02亿,8.32亿,245.68亿,511.91亿,37.41亿,549.32亿,769.45亿
