股票代码,报告日期,分类类型,主营构成,主营收入,收入比例,主营成本,成本比例,主营利润,利润比例,毛利率
600519,2025-09-30,按产品分类,茅台酒,110513502600.0,0.860337,,,,,
600519,2025-09-30,按产品分类,系列酒,17884354800.0,0.139228,,,,,
600519,2025-09-30,按地区分类,国内,124504774500.0,0.969258,,,,,
600519,2025-09-30,按地区分类,国外,3893082900.0,0.030307,,,,,
600519,2025-06-30,按产品分类,茅台酒,75589948903.79,0.845626,4649298661.23,0.597789,70940650242.56,0.869244,0.938493
600519,2025-06-30,按产品分类,系列酒,13762529352.77,0.153962,3083996598.51,0.396528,10678532754.26,0.130845,0.775914
600519,2025-06-30,按产品分类,其他(补充),36876160.28,0.000413,44195824.19,0.005683,-7319663.91,-9e-05,-0.198493
600519,2025-06-30,按地区分类,国内,86490107535.14,0.967566,7544365749.45,0.970026,78945741785.69,0.967332,0.912772
600519,2025-06-30,按地区分类,国外,2899246881.7,0.032434,233125334.48,0.029974,2666121547.22,0.032668,0.919591
600519,2025-03-31,按产品分类,茅台酒,43557477400.0,0.860803,,,,,
600519,2025-03-31,按产品分类,系列酒,7022479800.0,0.138782,,,,,
600519,2025-03-31,按地区分类,国内,49461416900.0,0.97748,,,,,
600519,2025-03-31,按地区分类,国外,1118540300.0,0.022105,,,,,
600519,2024-12-31,,酒类,170611838052.02,0.998319,13629995812.89,0.988434,156981842239.13,0.999186,0.920111
600519,2024-12-31,,其他(补充),287314224.32,0.001681,159486555.09,0.011566,127827669.23,0.000814,0.444905
600519,2024-12-31,按产品分类,茅台酒,145928075955.31,0.853884,8662079388.78,0.628166,137265996566.53,0.873695,0.940641
600519,2024-12-31,按产品分类,其他系列酒,24683762096.71,0.144435,4967916424.11,0.360269,19715845672.6,0.125491,0.798737
600519,2024-12-31,按产品分类,其他(补充),287314224.32,0.001681,159486555.09,0.011566,127827669.23,0.000814,0.444905
600519,2024-12-31,按地区分类,国内,165423308808.24,0.967959,13226875459.6,0.9592,152196433348.64,0.968727,0.920042
600519,2024-12-31,按地区分类,国外,5188529243.78,0.03036,403120353.29,0.029234,4785408890.49,0.030459,0.922305
600519,2024-12-31,按地区分类,其他(补充),287314224.32,0.001681,159486555.09,0.011566,127827669.23,0.000814,0.444905
600519,2024-09-30,按产品分类,茅台酒,101126021100.0,0.837301,,,,,
600519,2024-09-30,按产品分类,系列酒,19392683600.0,0.160567,,,,,
600519,2024-09-30,按地区分类,国内,117036160700.0,0.969034,,,,,
600519,2024-09-30,按地区分类,国外,3482544000.0,0.028835,,,,,
600519,2024-06-30,按产品分类,茅台酒,68566907069.08,0.836886,4025337733.74,0.596269,64541569335.34,0.858493,0.941293
600519,2024-06-30,按产品分类,其他系列酒,13147027931.0,0.160465,2616526255.96,0.387583,10530501675.04,0.14007,0.80098
