报告期,报表核心指标,*现金及现金等价物净增加额,*经营活动产生的现金流量净额,*投资活动产生的现金流量净额,*筹资活动产生的现金流量净额,*期末现金及现金等价物余额,报表全部指标,一、经营活动产生的现金流量,销售商品、提供劳务收到的现金,收到的税费与返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,二、投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,三、筹资活动产生的现金流量,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,其中：子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金及现金等价物的影响,五、现金及现金等价物净增加额,加：期初现金及现金等价物余额,六、期末现金及现金等价物余额,补充资料：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,间接法-经营活动产生的现金流量净额,2、不涉及现金收支的重大投资和筹资活动：,融资租入固定资产,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,间接法-现金及现金等价物净增加额
2025-09-30,,9760.56万,11.37亿,-7.08亿,-4.27亿,27.74亿,,,98.22亿,1.32亿,3.69亿,103.23亿,58.29亿,19.06亿,5.24亿,9.27亿,91.86亿,11.37亿,,3668.77万,2777.85万,195.40万,2.95亿,4.45亿,8.06亿,6.24亿,1.23亿,628.24万,7.61亿,15.14亿,-7.08亿,,1700.00万,1700.00万,42.09亿,False,42.26亿,42.70亿,3.59亿,1634.25万,2354.28万,46.53亿,-4.27亿,9595.80万,9760.56万,26.76亿,27.74亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2025-06-30,,1.16亿,7.10亿,-5.74亿,-1.01亿,27.92亿,,,58.78亿,8082.47万,2.66亿,62.25亿,33.67亿,12.52亿,3.65亿,5.31亿,55.15亿,7.10亿,,3668.77万,1668.29万,201.27万,2.95亿,3.31亿,6.81亿,4.56亿,1.23亿,False,6.76亿,12.55亿,-5.74亿,,1200.00万,1200.00万,26.79亿,False,26.91亿,24.63亿,3.12亿,1634.25万,1641.06万,27.92亿,-1.01亿,8041.86万,1.16亿,26.76亿,27.92亿,,,5.48亿,1374.45万,2.34亿,1.25亿,678.30万,-95.37万,65.47万,-1767.53万,8091.31万,-3510.41万,-1916.26万,1132.86万,9071.75万,-6.67亿,3.00亿,False,7.10亿,,False,,27.92亿,26.76亿,1.16亿
2025-03-31,,-5000.33万,3.04亿,-1.46亿,-2.27亿,26.26亿,,,28.62亿,4134.30万,1.35亿,30.38亿,15.55亿,6.28亿,1.88亿,3.64亿,27.34亿,3.04亿,,3668.77万,1419.40万,23.79万,2.84亿,3.31亿,6.66亿,3.09亿,2070.00万,400.00万,4.79亿,8.12亿,-1.46亿,,700.00万,700.00万,8.05亿,False,8.12亿,9.77亿,6033.83万,False,170.24万,10.39亿,-2.27亿,1870.55万,-5000.33万,26.76亿,26.26亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2024-12-31,,2.18亿,15.38亿,-17.05亿,3.93亿,26.76亿,,,134.63亿,1.60亿,3.94亿,140.18亿,82.68亿,25.79亿,6.94亿,9.39亿,124.80亿,15.38亿,,150.00万,759.14万,2870.05万,2.49万,False,3781.69万,12.04亿,1719.86万,455.15万,5.17亿,17.43亿,-17.05亿,,2049.65万,2049.65万,41.37亿,2049.75万,41.78亿,32.83亿,3.85亿,673.59万,1.18亿,37.85亿,3.93亿,-766.26万,2.18亿,24.58亿,26.76亿,,,8.32亿,1.08亿,5.07亿,2.33亿,1055.45万,-1448.44万,586.84万,-1.23亿,2.44亿,-1219.38万,-3569.33万,-1778.96万,-2.43亿,-5.09亿,4.70亿,False,15.38亿,,False,,26.76亿,24.58亿,2.18亿
2024-09-30,,2.54亿,8.29亿,-10.10亿,4.37亿,27.12亿,,,95.54亿,1.14亿,4.83亿,101.52亿,57.32亿,17.42亿,5.71亿,12.78亿,93.23亿,8.29亿,,False,665.76万,2638.28万,False,False,3304.04万,8.39亿,1725.14万,53.20万,1.86亿,10.43亿,-10.10亿,,2000.00万,2000.00万,30.15亿,2020.00万,30.55亿,22.02亿,3.07亿,False,1.10亿,26.18亿,4.37亿,-255.03万,2.54亿,24.58亿,27.12亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2024-06-30,,5256.13万,3.54亿,-7.92亿,5.07亿,25.11亿,,,61.82亿,5291.85万,2.73亿,65.08亿,39.38亿,11.57亿,4.18亿,6.42亿,61.54亿,3.54亿,,False,503.50万,1553.21万,False,False,2056.71万,6.26亿,50.00万,53.20万,1.86亿,8.13亿,-7.92亿,,2000.00万,2000.00万,22.49亿,False,22.69亿,15.44亿,1.21亿,False,9661.49万,17.61亿,5.07亿,-1692.03万,5256.13万,24.58亿,25.11亿,,,4.09亿,7061.63万,2.36亿,1.10亿,494.87万,-1584.16万,429.83万,-1213.91万,1.28亿,-1277.03万,-2258.39万,-738.55万,-1.10亿,-5.64亿,1.06亿,False,3.54亿,,False,,25.11亿,24.58亿,5256.13万
2024-03-31,,-2.05亿,-3422.38万,-3.15亿,1.63亿,22.53亿,,,30.10亿,2524.93万,1.38亿,31.74亿,20.37亿,6.16亿,2.16亿,3.39亿,32.08亿,-3422.38万,,False,503.50万,1462.29万,False,False,1965.79万,3.34亿,53.20万,False,False,3.34亿,-3.15亿,,2000.00万,False,9.16亿,False,9.36亿,6.81亿,5772.24万,False,3414.96万,7.73亿,1.63亿,-1880.56万,-2.05亿,24.58亿,22.53亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2023-12-31,,4.48亿,16.34亿,-7.18亿,-5.40亿,24.58亿,,,131.70亿,1.74亿,6.12亿,139.56亿,82.15亿,23.79亿,6.00亿,11.28亿,123.22亿,16.34亿,,3.53亿,9715.13万,2.61亿,False,1079.00万,7.22亿,12.99亿,1.01亿,4048.51万,3.77万,14.40亿,-7.18亿,,1.71亿,1.71亿,40.60亿,False,42.31亿,41.87亿,4.71亿,2330.61万,1.13亿,47.71亿,-5.40亿,7287.79万,4.48亿,20.10亿,24.58亿,,,5.53亿,2.54亿,4.63亿,1.99亿,1198.57万,-2087.83万,361.91万,-7001.15万,2.22亿,2.00亿,-3982.03万,7472.84万,-1.66亿,-4.76亿,3.35亿,False,16.34亿,,False,,24.58亿,20.10亿,4.48亿
2023-09-30,,6.74亿,9.05亿,-2.00亿,-3778.45万,26.84亿,,,103.67亿,1.26亿,5.18亿,110.11亿,67.61亿,16.64亿,5.10亿,11.70亿,101.06亿,9.05亿,,3.53亿,8772.23万,2.53亿,88.00万,False,6.95亿,7.75亿,1.16亿,348.61万,3.77万,8.95亿,-2.00亿,,1.06亿,1.06亿,31.96亿,False,33.02亿,29.09亿,3.91亿,False,4002.46万,33.40亿,-3778.45万,767.89万,6.74亿,20.10亿,26.84亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2023-06-30,,6.80亿,6.29亿,1083.81万,425.87万,26.90亿,,,67.19亿,7478.19万,2.83亿,70.77亿,43.82亿,11.28亿,3.49亿,5.89亿,64.48亿,6.29亿,,3.53亿,8772.23万,2.51亿,88.00万,False,6.93亿,6.10亿,6884.24万,348.61万,False,6.82亿,1083.81万,,1.04亿,1.04亿,24.29亿,False,25.33亿,23.68亿,1.24亿,False,3667.43万,25.28亿,425.87万,3585.76万,6.80亿,20.10亿,26.90亿,,,6.28亿,680.56万,2.17亿,9678.38万,758.85万,-2871.72万,213.47万,-4467.31万,7149.26万,-4374.44万,513.32万,-761.89万,-1.07亿,-8.48亿,6.18亿,False,6.29亿,,False,,26.90亿,20.10亿,6.80亿
