date,time,code,open,high,low,close,volume,amount,adjustflag
2025-11-18,20251118093500000,sh.600580,41.3000,41.4800,40.9700,41.3000,4113000,169371552.0000,3
2025-11-18,20251118094000000,sh.600580,41.2900,41.3900,41.2200,41.3800,2082100,86013024.0000,3
2025-11-18,20251118094500000,sh.600580,41.3800,41.3800,41.0000,41.0000,2275700,93581344.0000,3
2025-11-18,20251118095000000,sh.600580,41.0100,41.2400,40.9100,41.2000,2937500,120489344.0000,3
2025-11-18,20251118095500000,sh.600580,41.1700,41.3700,41.1400,41.2700,1645100,67823904.0000,3
2025-11-18,20251118100000000,sh.600580,41.2700,41.7100,41.2100,41.4100,2318400,96189568.0000,3
2025-11-18,20251118100500000,sh.600580,41.4200,41.5900,41.3800,41.5800,1255000,52055736.0000,3
2025-11-18,20251118101000000,sh.600580,41.5900,41.9300,41.5900,41.6500,3791100,158432136.0000,3
2025-11-18,20251118101500000,sh.600580,41.6700,41.7400,41.5600,41.7400,1598600,66567165.0000,3
2025-11-18,20251118102000000,sh.600580,41.7500,41.8300,41.7000,41.8000,1122200,46867839.0000,3
2025-11-18,20251118102500000,sh.600580,41.8000,41.9900,41.7500,41.9600,2117700,88766788.0000,3
2025-11-18,20251118103000000,sh.600580,42.0000,42.2100,41.9800,42.2100,4226400,177969856.0000,3
2025-11-18,20251118103500000,sh.600580,42.2100,42.2200,41.8900,41.8900,2117600,89078528.0000,3
2025-11-18,20251118104000000,sh.600580,41.8800,41.9400,41.8000,41.8000,1373800,57513982.0000,3
2025-11-18,20251118104500000,sh.600580,41.8000,41.9100,41.8000,41.9000,713800,29868802.0000,3
2025-11-18,20251118105000000,sh.600580,41.8900,41.9500,41.8600,41.9000,624600,26173696.0000,3
2025-11-18,20251118105500000,sh.600580,41.8900,41.9400,41.8200,41.8200,558400,23389440.0000,3
2025-11-18,20251118110000000,sh.600580,41.8200,41.8200,41.7200,41.7500,803600,33576320.0000,3
2025-11-18,20251118110500000,sh.600580,41.7500,41.7500,41.6800,41.6800,694000,28952446.0000,3
2025-11-18,20251118111000000,sh.600580,41.6900,41.7500,41.6400,41.7200,579300,24143482.0000,3
2025-11-18,20251118111500000,sh.600580,41.7200,41.7300,41.6300,41.6500,514600,21445772.0000,3
2025-11-18,20251118112000000,sh.600580,41.6500,41.7200,41.6300,41.7200,459000,19125624.0000,3
2025-11-18,20251118112500000,sh.600580,41.7100,41.7100,41.6100,41.6100,625100,26049916.0000,3
2025-11-18,20251118113000000,sh.600580,41.6100,41.6900,41.5600,41.6700,606700,25237764.0000,3
2025-11-18,20251118130500000,sh.600580,41.6900,41.6900,41.4100,41.4700,1234900,51242118.0000,3
2025-11-18,20251118131000000,sh.600580,41.4800,41.5700,41.4200,41.5100,499800,20738690.0000,3
2025-11-18,20251118131500000,sh.600580,41.5000,41.5400,41.4500,41.5400,379800,15758836.0000,3
2025-11-18,20251118132000000,sh.600580,41.5400,41.5800,41.4700,41.5800,657200,27275272.0000,3
2025-11-18,20251118132500000,sh.600580,41.5800,41.5800,41.4800,41.4900,486700,20212355.0000,3
2025-11-18,20251118133000000,sh.600580,41.4900,41.4900,41.4200,41.4600,531300,22022786.0000,3
2025-11-18,20251118133500000,sh.600580,41.4600,41.5100,41.4500,41.4900,405000,16798586.0000,3
2025-11-18,20251118134000000,sh.600580,41.4800,41.5900,41.4800,41.5800,427500,17747836.0000,3
2025-11-18,20251118134500000,sh.600580,41.5800,41.7000,41.5500,41.7000,650500,27085316.0000,3
2025-11-18,20251118135000000,sh.600580,41.7100,41.7500,41.6900,41.7100,811600,33858941.0000,3
2025-11-18,20251118135500000,sh.600580,41.7200,41.7200,41.6400,41.6900,363400,15145994.0000,3
2025-11-18,20251118140000000,sh.600580,41.6700,41.7000,41.5800,41.5800,379100,15785845.0000,3
2025-11-18,20251118140500000,sh.600580,41.5800,41.5800,41.4800,41.5000,667100,27691782.0000,3
2025-11-18,20251118141000000,sh.600580,41.5000,41.5200,41.3600,41.3600,1171000,48509820.0000,3
2025-11-18,20251118141500000,sh.600580,41.3600,41.4500,41.3500,41.4200,703500,29115139.0000,3
2025-11-18,20251118142000000,sh.600580,41.4200,41.4200,41.3000,41.3100,842300,34826368.0000,3
2025-11-18,20251118142500000,sh.600580,41.3300,41.4000,41.3000,41.4000,693500,28673536.0000,3
2025-11-18,20251118143000000,sh.600580,41.4000,41.4000,41.3000,41.3300,788200,32571776.0000,3
2025-11-18,20251118143500000,sh.600580,41.3300,41.4900,41.3000,41.4600,810400,33548546.0000,3
2025-11-18,20251118144000000,sh.600580,41.4600,41.5500,41.3700,41.3800,646600,26806915.0000,3
2025-11-18,20251118144500000,sh.600580,41.3700,41.5700,41.3700,41.5500,952000,39498227.0000,3
2025-11-18,20251118145000000,sh.600580,41.5400,41.5500,41.4800,41.5200,902100,37450758.0000,3
2025-11-18,20251118145500000,sh.600580,41.5300,41.5400,41.4800,41.5200,1253200,52016380.0000,3
2025-11-18,20251118150000000,sh.600580,41.5400,41.5500,41.4600,41.5100,1461400,60670724.0000,3
