日期,value
2024-08-12,9.01
2024-08-13,9.26
2024-08-14,9.23
2024-08-15,9.42
2024-08-16,9.47
2024-08-17,9.47
2024-08-18,9.47
2024-08-19,9.64
2024-08-20,9.67
2024-08-21,9.58
2024-08-22,10.44
2024-08-23,10.29
2024-08-24,10.29
2024-08-25,10.29
2024-08-26,10.24
2024-08-27,10.34
2024-08-28,10.38
2024-08-29,10.34
2024-08-30,10.68
2024-08-31,10.68
2024-09-01,10.68
2024-09-02,10.43
2024-09-03,10.5
2024-09-04,10.22
2024-09-05,10.15
2024-09-06,10.15
2024-09-07,10.15
2024-09-08,10.15
2024-09-09,10.19
2024-09-10,10.22
2024-09-11,10.38
2024-09-12,10.36
2024-09-13,10.52
2024-09-14,10.52
2024-09-15,10.52
2024-09-16,10.53
2024-09-17,10.69
2024-09-18,10.69
2024-09-19,10.84
2024-09-20,10.88
2024-09-21,10.88
2024-09-22,10.88
2024-09-23,11.25
2024-09-24,11.61
2024-09-25,11.25
2024-09-26,11.77
2024-09-27,12.02
2024-09-28,12.02
2024-09-29,12.02
2024-09-30,12.32
2024-10-01,12.32
2024-10-02,13.14
2024-10-03,13.17
2024-10-04,13.44
2024-10-05,13.44
2024-10-06,13.44
2024-10-07,14.16
2024-10-08,12.98
2024-10-09,12.76
2024-10-10,13.01
2024-10-11,13.01
2024-10-12,13.01
2024-10-13,13.01
2024-10-14,12.92
2024-10-15,12.59
2024-10-16,12.43
2024-10-17,12.65
2024-10-18,13.44
2024-10-19,13.44
2024-10-20,13.44
2024-10-21,13.28
2024-10-22,13.39
2024-10-23,13.99
2024-10-24,13.83
2024-10-25,14.21
2024-10-26,14.21
2024-10-27,14.21
2024-10-28,13.96
2024-10-29,14.16
2024-10-30,14.24
2024-10-31,14.62
2024-11-01,14.95
2024-11-02,14.95
2024-11-03,14.95
2024-11-04,14.95
2024-11-05,15.44
2024-11-06,15.12
2024-11-07,15.25
2024-11-08,15.5
2024-11-09,15.5
2024-11-10,15.5
2024-11-11,16.05
2024-11-12,15.58
2024-11-13,15.83
2024-11-14,15.25
2024-11-15,15.34
2024-11-16,15.34
2024-11-17,15.34
2024-11-18,15.77
2024-11-19,15.5
2024-11-20,15.34
2024-11-21,15.42
2024-11-22,15.64
2024-11-23,15.64
2024-11-24,15.64
2024-11-25,15.56
2024-11-26,14.9
2024-11-27,15.5
2024-11-28,15.25
2024-11-29,15.2
2024-11-30,15.2
2024-12-01,15.2
2024-12-02,15.64
2024-12-03,15.94
2024-12-04,15.94
2024-12-05,16.13
2024-12-06,16.38
2024-12-07,16.38
2024-12-08,16.38
2024-12-09,16.96
2024-12-10,16.96
2024-12-11,16.69
2024-12-12,17.32
2024-12-13,17.18
2024-12-14,17.18
2024-12-15,17.18
2024-12-16,16.63
2024-12-17,16.41
2024-12-18,16.96
2024-12-19,16.96
2024-12-20,17.43
2024-12-21,17.43
2024-12-22,17.43
2024-12-23,17.48
2024-12-24,18.03
2024-12-25,18.03
2024-12-26,18.03
2024-12-27,18.8
2024-12-28,18.8
2024-12-29,18.8
2024-12-30,18.97
2024-12-31,19.0
2025-01-01,19.0
2025-01-02,18.72
2025-01-03,19.96
2025-01-04,19.96
2025-01-05,19.96
2025-01-06,19.99
2025-01-07,18.81
2025-01-08,18.07
2025-01-09,18.59
2025-01-10,18.48
2025-01-11,18.48
2025-01-12,18.48
2025-01-13,18.07
2025-01-14,18.59
2025-01-15,18.51
2025-01-16,18.92
2025-01-17,19.25
2025-01-18,19.25
2025-01-19,19.25
2025-01-20,19.11
2025-01-21,19.78
2025-01-22,19.44
2025-01-23,19.0
2025-01-24,20.3
2025-01-25,20.3
2025-01-26,20.3
2025-01-27,20.44
2025-01-28,21.1
2025-01-29,21.1
2025-01-30,21.1
2025-01-31,21.1
2025-02-01,21.1
2025-02-02,21.1
2025-02-03,20.9
2025-02-04,21.79
2025-02-05,21.84
2025-02-06,22.34
2025-02-07,23.39
2025-02-08,23.39
2025-02-09,23.39
2025-02-10,24.1
2025-02-11,23.44
2025-02-12,24.3
2025-02-13,22.95
2025-02-14,24.63
2025-02-15,24.63
2025-02-16,24.63
2025-02-17,24.87
2025-02-18,26.66
2025-02-19,27.24
2025-02-20,27.08
2025-02-21,28.48
2025-02-22,28.48
2025-02-23,28.48
2025-02-24,28.43
2025-02-25,29.31
2025-02-26,31.02
2025-02-27,29.25
2025-02-28,28.57
2025-03-01,28.57
2025-03-02,28.57
2025-03-03,28.07
2025-03-04,27.85
2025-03-05,29.86
2025-03-06,30.25
2025-03-07,29.95
2025-03-08,29.95
2025-03-09,29.95
2025-03-10,29.12
2025-03-11,29.7
2025-03-12,28.68
2025-03-13,29.12
2025-03-14,29.67
2025-03-15,29.67
2025-03-16,29.67
2025-03-17,30.75
2025-03-18,31.77
2025-03-19,32.07
2025-03-20,31.13
2025-03-21,30.14
2025-03-22,30.14
2025-03-23,30.14
2025-03-24,31.41
2025-03-25,29.42
2025-03-26,29.73
2025-03-27,28.49
2025-03-28,28.13
2025-03-29,28.13
2025-03-30,28.13
2025-03-31,27.98
2025-04-01,26.44
2025-04-02,25.33
2025-04-03,26.1
2025-04-04,26.1
2025-04-05,26.1
2025-04-06,26.1
2025-04-07,20.73
2025-04-08,22.12
2025-04-09,23.83
2025-04-10,24.48
2025-04-11,25.16
2025-04-12,25.16
2025-04-13,25.16
2025-04-14,24.57
2025-04-15,24.51
2025-04-16,23.46
2025-04-17,23.86
2025-04-18,23.86
2025-04-19,23.86
2025-04-20,23.86
2025-04-21,23.86
2025-04-22,25.25
2025-04-23,26.98
2025-04-24,29.44
2025-04-25,29.13
2025-04-26,29.13
2025-04-27,29.13
2025-04-28,29.04
2025-04-29,29.01
2025-04-30,30.54
2025-05-01,30.54
2025-05-02,32.47
2025-05-03,32.47
2025-05-04,32.47
2025-05-05,32.47
2025-05-06,31.52
2025-05-07,30.63
2025-05-08,31.06
2025-05-09,31.4
2025-05-10,31.4
2025-05-11,31.4
2025-05-12,30.94
2025-05-13,29.75
2025-05-14,30.82
2025-05-15,30.67
2025-05-16,31.19
2025-05-17,31.19
2025-05-18,31.19
2025-05-19,32.01
2025-05-20,33.51
2025-05-21,33.29
2025-05-22,32.53
2025-05-23,32.41
2025-05-24,32.41
2025-05-25,32.41
2025-05-26,31.37
2025-05-27,31.52
2025-05-28,31.64
2025-05-29,31.61
2025-05-30,31.15
2025-05-31,31.15
2025-06-01,31.15
2025-06-02,31.55
2025-06-03,32.53
2025-06-04,32.68
2025-06-05,33.17
2025-06-06,32.47
2025-06-07,32.47
2025-06-08,32.47
2025-06-09,33.11
2025-06-10,32.69
2025-06-11,33.08
2025-06-12,31.92
2025-06-13,31.77
2025-06-14,31.77
2025-06-15,31.77
2025-06-16,33.11
2025-06-17,33.02
2025-06-18,32.9
2025-06-19,32.44
2025-06-20,33.05
2025-06-21,33.05
2025-06-22,33.05
2025-06-23,33.54
2025-06-24,34.8
2025-06-25,34.64
2025-06-26,34.8
2025-06-27,36.05
2025-06-28,36.05
2025-06-29,36.05
2025-06-30,36.66
2025-07-01,36.66
2025-07-02,36.78
2025-07-03,35.53
2025-07-04,35.16
2025-07-05,35.16
2025-07-06,35.16
2025-07-07,35.05
2025-07-08,35.87
2025-07-09,35.11
2025-07-10,34.8
2025-07-11,35.08
2025-07-12,35.08
2025-07-13,35.08
2025-07-14,35.05
2025-07-15,35.26
2025-07-16,35.05
2025-07-17,34.34
2025-07-18,34.86
2025-07-19,34.86
2025-07-20,34.86
2025-07-21,35.32
2025-07-22,35.44
2025-07-23,35.72
2025-07-24,35.75
2025-07-25,35.11
2025-07-26,35.11
2025-07-27,35.11
2025-07-28,34.74
2025-07-29,33.82
2025-07-30,33.49
2025-07-31,32.51
2025-08-01,32.66
2025-08-02,32.66
2025-08-03,32.66
2025-08-04,33.36
2025-08-05,33.21
2025-08-06,33.04
2025-08-07,31.8
2025-08-08,31.43
2025-08-09,31.43
