序号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额
1,1833,平安好医生,13.21,0.75,6.02,12.5,13.41,12.5,12.46,18189444,237303880.0
2,493,国美零售,0.02,0.001,5.26,0.019,0.02,0.019,0.019,48310916,938214.0
3,1347,华虹半导体,44.5,2.12,5.0,42.54,45.36,41.72,42.38,47158295,2053864832.0
4,981,中芯国际,50.9,2.2,4.52,48.86,51.55,48.2,48.7,84794741,4240715104.0
5,1816,中广核电力,3.15,0.11,3.62,3.04,3.18,3.04,3.04,68832294,215796583.0
6,3900,绿城中国,10.44,0.36,3.57,10.09,10.57,10.09,10.08,8435500,87638729.0
7,1797,东方甄选,31.56,1.04,3.41,31.4,32.32,30.6,30.52,28874149,907767600.0
8,2196,复星医药,19.92,0.58,3.0,20.8,21.16,19.53,19.34,24147818,490441904.0
9,656,复星国际,5.5,0.16,3.0,5.36,5.55,5.34,5.34,8007699,43385174.0
10,2333,长城汽车,14.49,0.39,2.77,14.1,14.94,14.05,14.1,33162145,485801008.0
11,285,比亚迪电子,39.52,0.84,2.17,38.68,41.52,38.22,38.68,49329010,1984776624.0
12,6618,京东健康,53.6,1.1,2.1,52.5,53.9,52.3,52.5,4803558,255609375.0
13,763,中兴通讯,25.46,0.52,2.09,24.9,25.62,24.84,24.94,11330966,287212864.0
14,1288,农业银行,5.49,0.11,2.04,5.4,5.5,5.4,5.38,75094427,410194320.0
15,1928,金沙中国有限公司,20.26,0.39,1.96,19.9,20.44,19.73,19.87,7739898,156005893.0
16,2628,中国人寿,22.38,0.42,1.91,21.88,22.5,21.88,21.96,38396700,858043568.0
17,175,吉利汽车,19.22,0.35,1.85,19.01,19.51,18.86,18.87,57602779,1104118336.0
18,27,银河娱乐,40.28,0.72,1.82,39.32,40.52,39.1,39.56,11156047,444876992.0
19,2600,中国铝业,6.75,0.12,1.81,6.63,6.85,6.58,6.63,38974224,263186725.0
20,2318,中国平安,55.7,0.95,1.74,54.75,55.9,54.65,54.75,23090410,1280731280.0
21,1896,猫眼娱乐,7.56,0.12,1.61,7.45,7.67,7.43,7.44,5359800,40542622.0
22,6049,保利物业,35.48,0.56,1.6,34.9,35.58,34.88,34.92,654959,23036014.0
23,291,华润啤酒,26.86,0.42,1.59,26.58,27.34,26.48,26.44,7380476,199425271.0
24,992,联想集团,11.21,0.17,1.54,10.96,11.26,10.96,11.04,31459322,351041824.0
25,6690,海尔智家,25.3,0.34,1.36,25.0,25.66,24.82,24.96,10421685,264789876.0
26,998,中信银行,7.59,0.1,1.34,7.49,7.62,7.45,7.49,13283651,100672859.0
27,9633,农夫山泉,47.1,0.6,1.29,46.5,47.5,46.46,46.5,3206272,151302311.0
