当前排名,代码,股票名称,最新价,涨跌幅
1,1810,小米集团-W,51.35,1.08
2,700,腾讯控股,557.0,-0.71
3,981,中芯国际,50.8,4.31
4,9988,阿里巴巴-W,116.3,-1.86
5,9696,天齐锂业,47.4,-2.23
6,1024,快手-W,71.5,-9.38
7,1788,国泰君安国际,5.19,2.77
8,2228,晶泰控股,7.48,0.4
9,3690,美团-W,118.7,-0.42
10,1347,华虹半导体,44.6,5.24
11,1797,东方甄选,31.72,3.93
12,2196,复星医药,19.75,2.12
13,285,比亚迪电子,39.68,2.59
14,1772,赣锋锂业,33.92,-0.24
15,2015,理想汽车-W,93.9,-1.21
16,9992,泡泡玛特,264.2,-2.58
17,1357,美图公司,10.18,-7.96
18,9880,优必选,92.3,-1.49
19,553,南京熊猫电子股份,5.62,5.24
20,9868,小鹏汽车-W,81.3,-2.75
21,1211,比亚迪股份,111.1,-0.36
22,6979,珍酒李渡,7.83,6.68
23,1117,现代牧业,1.48,17.46
24,20,商汤-W,1.65,1.23
25,1801,信达生物,88.15,-2.0
26,2577,英诺赛科,68.9,2.23
27,2359,药明康德,99.5,-1.97
28,9660,地平线机器人-W,7.23,-2.3
29,9926,康方生物,157.0,-2.36
30,2269,药明生物,29.3,-1.41
31,6088,FIT HON TENG,3.8,5.26
32,2550,宜搜科技,5.08,4.31
33,3896,金山云,7.09,-2.88
34,268,金蝶国际,16.09,-7.9
35,1093,石药集团,10.16,-1.93
36,175,吉利汽车,19.23,1.91
37,1877,君实生物,29.2,-3.5
38,2172,微创脑科学,15.71,2.95
39,2013,微盟集团,2.3,-4.17
40,9626,哔哩哔哩-W,175.3,-4.1
41,1860,汇量科技,11.49,2.04
42,3750,宁德时代,413.0,-0.55
43,1833,平安好医生,13.29,6.66
44,763,中兴通讯,25.5,2.25
45,1114,华晨中国,3.6,7.14
46,6869,长飞光纤光缆,34.62,1.52
47,2318,中国平安,55.75,1.83
48,1530,三生制药,30.52,0.13
49,6060,众安在线,17.31,0.0
50,2586,多点数智,10.65,7.36
51,2333,长城汽车,14.52,2.98
52,9666,金科服务,6.71,3.23
53,6683,巨星传奇,11.92,-1.81
54,1951,锦欣生殖,3.0,0.67
55,1918,融创中国,1.5,0.67
56,6160,百济神州,172.1,-1.49
57,6955,博安生物,17.58,-5.13
58,6181,老铺黄金,751.5,-0.92
59,2533,黑芝麻智能,17.84,0.56
60,853,微创医疗,12.91,-0.84
61,883,中国海洋石油,18.77,1.13
62,1709,德林控股,3.16,1.61
63,568,山东墨龙,4.39,-2.23
64,9878,汇通达网络,16.53,-1.49
65,1276,恒瑞医药,75.2,-3.09
66,1088,中国神华,37.64,2.73
67,1072,东方电气,18.46,-0.65
68,1177,中国生物制药,7.47,0.54
69,1548,金斯瑞生物科技,16.54,-4.06
70,2727,上海电气,3.67,0.0
71,489,东风集团股份,,
72,9858,优然牧业,4.36,8.19
73,9618,京东集团-SW,122.3,0.0
74,1880,中国中免,59.7,-1.57
75,2522,一脉阳光,15.96,-0.31
76,2465,龙蟠科技,8.63,1.17
77,1336,新华保险,48.16,2.25
78,3908,中金公司,20.32,1.75
79,3678,弘业期货,4.72,-0.84
80,1816,中广核电力,3.15,3.62
81,6655,华新水泥,13.71,-1.51
82,241,阿里健康,4.85,-2.02
83,2628,中国人寿,22.42,2.09
84,9995,荣昌生物,66.1,-0.68
85,2469,粉笔,3.12,-4.88
86,6618,京东健康,53.8,2.48
87,3738,阜博集团,5.45,-0.73
88,9688,再鼎医药,26.6,-1.99
89,1919,中远海控,14.68,0.34
90,6693,赤峰黄金,25.4,1.6
91,2202,万科企业,5.03,0.6
92,2097,蜜雪集团,442.8,-2.68
93,881,中升控股,14.25,3.86
94,6127,昭衍新药,22.64,-1.82
95,6682,第四范式,54.0,-3.74
96,6030,中信证券,28.28,0.28
97,1341,昊天国际建投,0.205,0.0
98,1931,华检医疗,10.26,2.6
99,2498,速腾聚创,32.86,-1.08
100,2587,健康之路,7.64,-1.16
