序号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额
1,1833,平安好医生,13.2,0.74,5.94,12.5,13.41,12.5,12.46,18144744,236713667.0
2,493,国美零售,0.02,0.001,5.26,0.019,0.02,0.019,0.019,48310916,938214.0
3,2196,复星医药,20.24,0.9,4.65,20.8,21.16,19.53,19.34,23094818,469325104.0
4,1347,华虹半导体,44.32,1.94,4.58,42.54,45.36,41.72,42.38,46940295,2044162352.0
5,981,中芯国际,50.75,2.05,4.21,48.86,51.55,48.2,48.7,84176741,4209292224.0
6,1816,中广核电力,3.15,0.11,3.62,3.04,3.18,3.04,3.04,68280294,214058383.0
7,3900,绿城中国,10.44,0.36,3.57,10.09,10.57,10.09,10.08,8429500,87576089.0
8,2333,长城汽车,14.5,0.4,2.84,14.1,14.94,14.05,14.1,33068145,484438288.0
9,1797,东方甄选,31.34,0.82,2.69,31.4,32.32,30.6,30.52,28540649,897257632.0
10,285,比亚迪电子,39.54,0.86,2.22,38.68,41.52,38.22,38.68,49295010,1983432992.0
11,6618,京东健康,53.6,1.1,2.1,52.5,53.9,52.3,52.5,4792408,255011590.0
12,763,中兴通讯,25.46,0.52,2.09,24.9,25.62,24.84,24.94,11311966,286728912.0
13,1288,农业银行,5.49,0.11,2.04,5.4,5.5,5.4,5.38,74581427,407380272.0
14,2628,中国人寿,22.4,0.44,2.0,21.88,22.5,21.88,21.96,38321700,856363888.0
15,1928,金沙中国有限公司,20.26,0.39,1.96,19.9,20.44,19.73,19.87,7537898,151912521.0
16,2600,中国铝业,6.76,0.13,1.96,6.63,6.85,6.58,6.63,38928224,262876225.0
17,1896,猫眼娱乐,7.58,0.14,1.88,7.45,7.67,7.43,7.44,5359200,40538086.0
18,175,吉利汽车,19.22,0.35,1.85,19.01,19.51,18.86,18.87,57560959,1103314704.0
19,27,银河娱乐,40.28,0.72,1.82,39.32,40.52,39.1,39.56,11050637,440629216.0
20,2318,中国平安,55.7,0.95,1.74,54.75,55.9,54.65,54.75,23030410,1277387872.0
21,6049,保利物业,35.52,0.6,1.72,34.9,35.58,34.88,34.92,650559,22879842.0
22,291,华润啤酒,26.88,0.44,1.66,26.58,27.34,26.48,26.44,7376976,199331221.0
23,998,中信银行,7.6,0.11,1.47,7.49,7.62,7.45,7.49,13235651,100308079.0
24,992,联想集团,11.2,0.16,1.45,10.96,11.26,10.96,11.04,31087322,346874416.0
25,753,中国国航,5.38,0.07,1.32,5.31,5.43,5.31,5.31,7518927,40495888.0
26,656,复星国际,5.41,0.07,1.31,5.36,5.44,5.34,5.34,4763199,25645514.0
27,9633,农夫山泉,47.1,0.6,1.29,46.5,47.5,46.46,46.5,3203872,151189247.0
28,6690,海尔智家,25.28,0.32,1.28,25.0,25.66,24.82,24.96,10413885,264592663.0
29,168,青岛啤酒股份,50.7,0.6,1.2,50.0,51.2,50.0,50.1,2582355,131108264.0
30,883,中国海洋石油,18.77,0.21,1.13,18.56,18.84,18.56,18.56,31358484,587017680.0
31,1658,邮储银行,5.67,0.06,1.07,5.63,5.73,5.63,5.61,15798861,89861141.0
32,2020,安踏体育,89.8,0.75,0.84,88.6,90.2,88.6,89.05,2761319,247871409.0
33,868,信义玻璃,8.57,0.07,0.82,8.57,8.64,8.47,8.5,7319960,62756092.0
34,1810,小米集团-W,51.2,0.4,0.79,50.55,51.65,50.1,50.8,93477975,4746101504.0
35,9999,网易-S,203.6,1.4,0.69,200.6,204.4,199.1,202.2,2518806,509302592.0
36,3998,波司登,4.49,0.03,0.67,4.46,4.52,4.44,4.46,11148961,49914151.0
37,780,同程旅行,19.72,0.13,0.66,19.59,19.75,19.48,19.59,3317950,65061703.0
38,3323,中国建材,4.75,0.03,0.64,4.72,4.76,4.68,4.72,7030190,33276496.0
39,20,商汤-W,1.64,0.01,0.61,1.63,1.68,1.6,1.63,333445488,546989872.0
40,1516,融创服务,1.79,0.01,0.56,1.78,1.8,1.77,1.78,3754022,6693464.0
41,941,中国移动,87.95,0.45,0.51,87.75,88.15,87.4,87.5,9789133,859110544.0
42,9961,携程集团-S,473.4,2.4,0.51,468.0,473.6,467.2,471.0,1206755,569367904.0
43,1398,工商银行,6.11,0.03,0.49,6.08,6.14,6.08,6.08,64395795,393788176.0
44,914,海螺水泥,24.92,0.12,0.48,24.8,25.04,24.7,24.8,9779713,243007092.0
45,1876,百威亚太,8.46,0.04,0.48,8.4,8.51,8.39,8.42,6240600,52878785.0
46,6186,中国飞鹤,4.61,0.02,0.44,4.58,4.65,4.57,4.59,18094000,83518446.0
47,2202,万科企业,5.02,0.02,0.4,5.02,5.06,5.0,5.0,10318537,51947830.0
48,1458,周黑鸭,2.74,0.01,0.37,2.76,2.76,2.73,2.73,605000,1660820.0
49,1919,中远海控,14.68,0.05,0.34,14.63,14.76,14.6,14.63,7895787,116017397.0
50,1299,友邦保险,73.85,0.25,0.34,73.35,73.95,73.3,73.6,5854620,431134400.0
51,1385,上海复旦,30.72,0.1,0.33,30.78,31.5,30.2,30.62,3721000,114863360.0
52,1179,华住集团-S,25.48,0.06,0.24,25.34,25.68,25.22,25.42,1098100,28057799.0
53,2319,蒙牛乳业,16.33,0.03,0.18,16.3,16.53,16.21,16.3,6655614,109216265.0
54,939,建设银行,7.94,0.01,0.13,7.94,7.98,7.9,7.93,74834109,594153888.0
55,762,中国联通,10.12,0.01,0.1,10.13,10.2,10.03,10.11,18434652,186062810.0
56,1929,周大福,13.71,0.01,0.07,13.69,13.85,13.61,13.7,1941098,26666216.0
57,2018,瑞声科技,44.12,0.02,0.05,44.2,44.88,43.7,44.1,2785313,123426892.0
58,9618,京东集团-SW,122.3,0.0,0.0,122.4,123.2,122.0,122.3,4961693,608065440.0
59,3988,中国银行,4.54,0.0,0.0,4.55,4.58,4.54,4.54,59714886,272338912.0
60,3328,交通银行,7.05,0.0,0.0,7.08,7.13,7.04,7.05,5934265,42018932.0
61,2007,碧桂园,0.47,0.0,0.0,0.47,0.47,0.46,0.47,21634674,10033627.0
62,1918,融创中国,1.49,0.0,0.0,1.49,1.51,1.48,1.49,75852999,113461446.0
63,991,大唐发电,2.04,0.0,0.0,2.04,2.06,2.03,2.04,9903236,20246525.0
64,520,呷哺呷哺,0.81,0.0,0.0,0.81,0.81,0.8,0.81,612000,492985.0
65,3968,招商银行,49.76,-0.02,-0.04,49.7,50.25,49.58,49.78,6548641,327049216.0
66,5,汇丰控股,99.85,-0.1,-0.1,99.85,100.1,99.6,99.95,4950093,494248144.0
67,2899,紫金矿业,22.82,-0.04,-0.17,22.78,23.06,22.42,22.86,14965441,341217264.0
