日期时间,代码,中文名称,英文名称,交易类型,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,买一,卖一
20250812135515.0,1,长和,CKH HOLDINGS,,51.05,-0.3,-0.58423,51.35,51.0,51.55,50.85,3137266,160653741,51.05,51.1
20250812135511.0,2,中电控股,CLP HOLDINGS,,66.95,-0.3,-0.4461,67.25,67.1,67.3,66.85,2442733,163681648,66.9,66.95
20250812135521.0,3,香港中华煤气,HK & CHINA GAS,,7.15,0.0,0.0,7.15,7.14,7.18,7.12,8023399,57449878,7.15,7.16
20250812134500.0,4,九龙仓集团,WHARF HOLDINGS,,21.7,-0.1,-0.45872,21.8,21.6,21.86,21.6,249759,5441056,21.68,21.7
20250812135515.0,5,汇丰控股,HSBC HOLDINGS,,99.85,-0.1,-0.10005,99.95,99.85,100.1,99.6,4950093,494248136,99.8,99.85
20250812135511.0,6,电能实业,POWER ASSETS,,52.65,-0.55,-1.03384,53.2,53.0,53.3,52.65,757474,39997838,52.65,52.75
20250812085500.0,7,智富资源投资,WISDOM WEALTH,,0.032,0.0,0.0,0.032,0.0,0.0,0.0,0,0,0.0,0.0
20250812135524.0,8,电讯盈科,PCCW,,5.49,-0.04,-0.72333,5.53,5.51,5.53,5.49,4777148,26338359,5.49,5.51
20250812085500.0,9,金奥国际,KEYNE LTD,,0.013,0.0,0.0,0.013,0.0,0.0,0.0,0,0,0.0,0.0
20250812135501.0,10,恒隆集团,HANG LUNG GROUP,,14.3,-0.04,-0.27894,14.34,14.34,14.45,14.27,428761,6163183,14.29,14.31
20250812135451.0,11,恒生银行,HANG SENG BANK,,115.2,0.5,0.43592,114.7,114.7,115.5,114.1,1058363,121652824,115.1,115.2
20250812135503.0,12,恒基地产,HENDERSON LAND,,28.2,-0.28,-0.98315,28.48,28.6,28.6,28.1,2109622,59527322,28.18,28.22
20250812135456.0,13,和黄医药,HUTCHMED,,24.02,-0.14,-0.57947,24.16,24.24,24.3,23.68,9595000,229786650,24.0,24.02
20250812135521.0,14,希慎兴业,HYSAN DEV,,15.65,-0.12,-0.76094,15.77,15.62,15.75,15.62,734073,11518108,15.65,15.66
20250812135452.0,16,新鸿基地产,SHK PPT,,93.9,-0.4,-0.42418,94.3,94.0,94.7,93.85,917902,86430809,93.85,93.9
20250812135522.0,17,新世界发展,NEW WORLD DEV,,6.63,-0.3,-4.329,6.93,6.97,6.97,6.62,16183654,108631336,6.63,6.64
20250812133957.0,18,东方企控集团,ORIENTAL E H,,0.355,-0.015,-4.05405,0.37,0.355,0.365,0.355,42000,14930,0.355,0.365
20250812135138.0,19,太古股份公司Ａ,SWIRE PACIFIC A,,67.55,0.05,0.07407,67.5,67.5,67.9,67.4,586439,39680079,67.55,67.6
20250812135520.0,20,商汤－Ｗ,SENSETIME-W,,1.64,0.01,0.6135,1.63,1.63,1.68,1.6,333445486,546989871,1.64,1.65
20250812131236.0,21,大中华控股,GREAT CHI HLDGS,,0.133,0.004,3.10078,0.129,0.133,0.133,0.133,10000,1330,0.127,0.132
20250812130602.0,22,茂盛控股,MEXAN,,0.16,-0.004,-2.43902,0.164,0.174,0.174,0.158,3240000,541120,0.159,0.164
20250812135214.0,23,东亚银行,BANK OF E ASIA,,12.83,0.02,0.15613,12.81,12.81,12.88,12.78,271328,3481410,12.81,12.83
20250812134616.0,25,CHEVALIER INT'L,CHEVALIER INT'L,,3.96,0.0,0.0,3.96,3.96,3.96,3.96,6000,23760,3.97,4.11
20250812134627.0,26,中华汽车,CHINA MOTOR BUS,,60.0,0.2,0.33445,59.8,59.95,60.1,59.95,9400,564070,59.65,60.1
20250812135522.0,27,银河娱乐,GALAXY ENT,,40.28,0.72,1.82002,39.56,39.32,40.52,39.1,11041637,440266567,40.26,40.3
20250812134548.0,28,天安,TIAN AN,,4.74,0.03,0.63694,4.71,4.7,4.74,4.7,102000,480990,4.72,4.75
20250812135511.0,29,达力集团,DYNAMIC HOLD,,12.99,0.04,0.30888,12.95,13.02,13.02,12.87,80000,1034340,12.9,13.0
20250812135339.0,30,云白国际,YNBY INTL,,0.265,-0.025,-8.62069,0.29,0.29,0.29,0.265,6838000,1873150,0.26,0.265
20250812135258.0,31,航天控股,CHINA AEROSPACE,,0.5,-0.01,-1.96078,0.51,0.51,0.52,0.5,2572800,1302824,0.5,0.51
20250812135517.0,32,港通控股,CROSS-HAR(HOLD),,8.22,0.01,0.1218,8.21,8.19,8.22,8.19,7355,60232,8.22,8.35
20250812112249.0,33,INTL GENIUS,INTL GENIUS,,0.62,-0.01,-1.5873,0.63,0.63,0.64,0.62,192000,120060,0.62,0.63
20250812131721.0,34,九龙建业,KOWLOON DEV,,3.36,-0.05,-1.46628,3.41,3.39,3.39,3.36,105000,354440,3.36,3.37
20250812135407.0,35,远东发展,FE CONSORT INTL,,0.87,0.07,8.75,0.8,0.8,0.87,0.8,1984137,1663029,0.85,0.87
20250812134659.0,36,远东控股国际,FE HLDGS INTL,,0.285,0.02,7.54717,0.265,0.28,0.29,0.28,138000,39180,0.275,0.315
20250812130724.0,37,远东酒店实业,FE HOTELS,,0.47,-0.005,-1.05263,0.475,0.465,0.47,0.46,390000,180590,0.465,0.47
20250812135259.0,38,第一拖拉机股份,FIRST TRACTOR,,7.17,0.0,0.0,7.17,7.22,7.22,7.13,478000,3427080,7.17,7.18
20250812135248.0,39,中国北大荒,CH BEIDAHUANG,,0.095,0.0,0.0,0.095,0.098,0.099,0.092,5992000,576544,0.094,0.097
20250812112614.0,40,金山科技工业,GOLD PEAK,,0.66,0.0,0.0,0.66,0.71,0.71,0.66,195000,133670,0.66,0.68
20250812135144.0,41,鹰君,GREAT EAGLE H,,14.61,-0.15,-1.01626,14.76,14.56,14.65,14.5,141000,2059829,14.61,14.64
