日期,开盘,收盘,最高,最低,成交量,成交额
2018-07-09,16.6,16.8,17.0,16.0,462182640,7682445568.0
2018-07-10,17.0,19.0,19.34,17.0,534072224,9750590464.0
2018-07-11,18.5,19.0,19.8,18.3,374721136,7222885376.0
2018-07-12,19.4,19.26,19.7,19.02,132592630,2569988016.0
2018-07-13,19.6,21.45,21.8,19.52,364065072,7622371328.0
2018-07-16,19.94,21.05,21.3,19.4,211621432,4350350848.0
2018-07-17,21.45,20.9,21.7,20.55,97690237,2063298016.0
2018-07-18,21.4,21.55,22.2,21.4,142583771,3117816096.0
2018-07-19,21.7,20.1,21.9,19.82,153563433,3143126416.0
2018-07-20,20.1,19.88,20.45,19.5,111713800,2218408864.0
2018-07-23,19.88,19.02,19.98,19.0,82544900,1603506240.0
2018-07-24,19.1,18.24,19.7,18.2,113828488,2154645648.0
2018-07-25,18.56,18.58,18.88,18.18,72027810,1332254240.0
2018-07-26,18.8,18.3,18.84,18.12,40951672,750903600.0
2018-07-27,18.32,19.04,19.12,18.3,68204685,1289480912.0
2018-07-30,18.86,18.68,18.92,18.32,43124305,798930192.0
2018-07-31,18.42,17.6,18.48,17.42,100190678,1776264208.0
2018-08-01,17.94,17.86,18.26,17.56,42088808,752930000.0
2018-08-02,18.0,17.26,18.14,16.96,80125110,1382415328.0
2018-08-03,17.32,17.0,17.68,16.9,47386901,810512048.0
2018-08-06,17.2,17.22,17.68,17.1,39896098,693689872.0
2018-08-07,17.3,17.42,17.62,17.22,29000537,505567040.0
2018-08-08,17.5,17.14,17.62,17.02,37947677,658190672.0
2018-08-09,17.4,18.08,18.6,17.26,109541974,1974087968.0
2018-08-10,18.3,18.16,18.6,18.0,54535948,996108512.0
2018-08-13,17.98,17.44,18.06,17.24,49053111,859866768.0
2018-08-14,17.6,17.16,17.6,17.0,51105928,876129360.0
2018-08-15,17.28,16.3,17.34,16.22,79753065,1309370160.0
2018-08-16,16.16,16.24,16.6,15.52,60546391,971276080.0
2018-08-17,16.6,16.36,16.74,16.26,26655983,439373456.0
2018-08-20,16.6,16.46,16.68,16.28,34082872,561217584.0
2018-08-21,16.8,17.4,17.44,16.56,75830829,1300129952.0
2018-08-22,17.78,17.68,17.78,17.08,47002451,825787840.0
2018-08-23,18.22,17.44,18.96,17.44,115613435,2105050480.0
2018-08-24,17.2,17.04,17.34,16.92,38150978,651833888.0
2018-08-27,17.34,17.32,17.48,17.08,29085179,504843216.0
2018-08-28,17.6,17.12,17.62,16.94,26264447,450979792.0
2018-08-29,17.12,17.14,17.28,17.02,15457732,264667123.0
2018-08-30,17.28,17.14,17.28,17.04,16052634,274818112.0
2018-08-31,16.88,16.8,16.98,16.62,28107696,470445696.0
2018-09-03,16.8,16.5,16.86,16.38,20242557,334959312.0
2018-09-04,16.62,16.74,16.94,16.5,15882122,266426105.0
2018-09-05,16.7,16.56,16.74,16.52,16304906,270426480.0
2018-09-06,16.56,16.46,16.82,16.42,26331333,437000128.0
2018-09-07,16.5,16.5,16.78,16.36,15029354,248465531.0
2018-09-10,16.5,16.04,16.56,15.84,33387796,536985808.0
2018-09-11,16.1,16.12,16.2,16.0,16082229,258858255.0
2018-09-12,16.18,15.66,16.26,15.58,29186620,464912352.0
2018-09-13,16.0,16.4,16.4,16.0,29462632,476702576.0
2018-09-14,16.66,16.68,16.84,16.56,28920836,483161472.0
2018-09-17,16.5,16.42,16.56,16.1,10710658,175289448.0
2018-09-18,16.42,16.28,16.5,16.1,21242979,345414640.0
2018-09-19,16.4,16.56,16.6,16.3,18679934,307478208.0
2018-09-20,16.54,16.48,16.72,16.3,13270198,218824364.0
2018-09-21,16.6,16.76,16.76,16.46,22287398,371181248.0
2018-09-24,16.6,16.5,16.64,16.26,11639050,191088337.0
2018-09-26,16.4,16.36,16.5,16.28,11449568,187465870.0
2018-09-27,16.38,15.96,16.38,15.96,26452436,425591440.0
2018-09-28,16.02,15.5,16.16,15.2,57743921,896940960.0
2018-10-02,15.64,15.0,15.64,14.8,32841988,495187936.0
2018-10-03,15.0,14.88,15.0,14.58,27564091,406889440.0
2018-10-04,14.84,14.5,14.88,14.26,38659662,557957904.0
2018-10-05,14.1,14.28,14.38,14.0,28210105,399467392.0
2018-10-08,14.2,13.58,14.28,13.54,46429246,636128720.0
2018-10-09,13.74,13.58,13.96,13.58,26985626,371642560.0
