财政年度,纯利/亏损,每股盈利,每股派息,证券商,评级,目标价,更新日期
2025,41260.0,162.0,,汇丰,买入,80.4,2025-06-30
2025,34647.0,139.0,,星展,买入,80.0,2025-05-29
2025,42174.0,173.0,,国泰君安,增持,77.7,2025-06-28
2025,42321.0,159.2,,中银国际,买入,75.25,2025-06-27
2025,33791.0,135.0,,中信证券,买入,72.0,2025-06-04
2025,37062.0,144.4,,大和,买入,72.0,2025-08-06
2025,42881.0,165.0,,中国国际金融,跑赢行业,70.0,2025-08-07
2025,41039.0,165.3,,大华继显,买入,69.9,2025-06-27
2025,41255.0,149.0,,富瑞,买入,69.85,2025-08-06
2025,41700.0,160.0,,麦格理,优于大市,69.32,2025-06-27
2025,41869.3,162.0,,高盛,买入,69.0,2025-06-27
2025,37349.0,143.6,,中信里昂,高度确信优于大市,69.0,2025-06-27
2025,38752.0,149.0,,美银,买入,69.0,2025-08-06
2025,43944.0,169.1,,花旗,买入,69.0,2025-08-06
2025,41835.0,164.0,,第一上海证券,买入,67.9,2025-05-29
2025,40447.0,156.0,,华泰金融控股,买入,67.8,2025-08-07
2025,30939.0,124.0,,建银国际,优于大市,67.0,2025-08-07
2025,44437.0,177.0,,华兴证券,买入,67.0,2025-08-07
2025,43233.0,180.0,,交银国际,买入,67.0,2025-06-27
2025,42886.0,177.0,,招银国际证券,买入,66.0,2025-08-07
2025,40328.0,155.0,,海通,优于大市,64.4,2025-06-27
2025,39885.0,153.0,,瑞银,中性,62.0,2025-07-08
2025,36200.0,152.0,,摩根士丹利,增持,62.0,2025-07-15
2025,44476.0,171.0,,野村,中性,61.0,2025-08-06
2025,37920.0,126.0,,摩根大通,中性,60.0,2025-05-09
2025,39764.0,159.0,,辉立证券,增持,60.0,2025-06-17
2025,42622.0,173.0,,盛博香港,优于大市,60.0,2025-05-29
2026,50237.0,197.0,,汇丰,--,,2025-06-30
2026,44737.0,180.0,,星展,--,,2025-05-29
2026,49625.0,229.0,,国泰君安,--,,2025-06-28
2026,57465.0,216.2,,中银国际,--,,2025-06-27
2026,49204.0,196.0,,中信证券,--,,2025-06-04
2026,49252.0,191.6,,大和,--,,2025-08-06
2026,60787.0,234.0,,中国国际金融,--,,2025-08-07
2026,51920.0,209.1,,大华继显,--,,2025-06-27
2026,52819.0,185.0,,富瑞,--,,2025-08-06
2026,61100.0,230.0,,麦格理,--,,2025-06-27
2026,58945.0,226.6,,花旗,--,,2025-08-06
2026,59910.5,229.0,,高盛,--,,2025-06-27
2026,52356.0,201.0,,美银,--,,2025-08-06
2026,49057.0,188.6,,中信里昂,--,,2025-06-27
2026,54071.0,212.0,,第一上海证券,--,,2025-05-29
2026,50468.0,194.0,,华泰金融控股,--,,2025-08-07
2026,53867.0,217.0,,交银国际,--,,2025-06-27
2026,34062.0,136.0,,建银国际,--,,2025-08-07
2026,59422.0,235.0,,华兴证券,--,,2025-08-07
2026,54107.0,233.0,,招银国际证券,--,,2025-08-07
2026,58882.0,226.0,,海通,--,,2025-06-27
2026,48300.0,210.0,,摩根士丹利,--,,2025-07-15
2026,57581.0,221.0,,瑞银,--,,2025-07-08
2026,55738.0,214.0,,野村,--,,2025-08-06
2026,49571.0,198.0,,辉立证券,--,,2025-06-17
2026,51380.0,208.0,,盛博香港,--,,2025-05-29
2026,43390.0,154.0,,摩根大通,--,,2025-05-09
2027,61691.0,242.0,,汇丰,--,,2025-06-30
2027,55166.0,222.0,,星展,--,,2025-05-29
2027,58778.0,285.0,,国泰君安,--,,2025-06-28
2027,74156.0,279.0,,中银国际,--,,2025-06-27
2027,63805.0,247.9,,大和,--,,2025-08-06
2027,64055.0,255.0,,中信证券,--,,2025-06-04
2027,59198.0,238.5,,大华继显,--,,2025-06-27
2027,72325.0,258.0,,富瑞,--,,2025-08-06
2027,72800.0,280.0,,麦格理,--,,2025-06-27
2027,75182.4,286.0,,高盛,--,,2025-06-27
2027,76284.0,293.3,,花旗,--,,2025-08-06
2027,66428.0,255.0,,美银,--,,2025-08-06
2027,63891.0,245.6,,中信里昂,--,,2025-06-27
2027,66501.0,261.0,,第一上海证券,--,,2025-05-29
2027,62287.0,240.0,,华泰金融控股,--,,2025-08-07
2027,60287.0,238.0,,华兴证券,--,,2025-08-07
2027,43080.0,172.0,,建银国际,--,,2025-08-07
2027,65250.0,261.0,,交银国际,--,,2025-06-27
2027,67238.0,287.0,,招银国际证券,--,,2025-08-07
2027,69708.0,270.0,,海通,--,,2025-06-27
2027,59500.0,256.0,,摩根士丹利,--,,2025-07-15
2027,63928.0,246.0,,瑞银,--,,2025-07-08
2027,60391.0,232.0,,野村,--,,2025-08-06
2027,51685.0,186.0,,摩根大通,--,,2025-05-09
2027,60531.0,245.0,,盛博香港,--,,2025-05-29
2027,59297.0,237.0,,辉立证券,--,,2025-06-17
