日期,value
2024-08-12,21.31
2024-08-13,21.87
2024-08-14,21.82
2024-08-15,22.25
2024-08-16,22.38
2024-08-17,22.38
2024-08-18,22.38
2024-08-19,22.77
2024-08-20,22.85
2024-08-21,22.64
2024-08-22,24.68
2024-08-23,24.32
2024-08-24,24.32
2024-08-25,24.32
2024-08-26,24.19
2024-08-27,24.43
2024-08-28,24.53
2024-08-29,24.43
2024-08-30,25.23
2024-08-31,25.23
2024-09-01,25.23
2024-09-02,24.66
2024-09-03,24.82
2024-09-04,24.14
2024-09-05,23.99
2024-09-06,23.99
2024-09-07,23.99
2024-09-08,23.99
2024-09-09,24.09
2024-09-10,24.14
2024-09-11,24.53
2024-09-12,24.48
2024-09-13,24.87
2024-09-14,24.87
2024-09-15,24.87
2024-09-16,24.89
2024-09-17,25.26
2024-09-18,25.26
2024-09-19,25.62
2024-09-20,25.72
2024-09-21,25.72
2024-09-22,25.72
2024-09-23,26.59
2024-09-24,27.43
2024-09-25,26.59
2024-09-26,27.82
2024-09-27,28.4
2024-09-28,28.4
2024-09-29,28.4
2024-09-30,29.11
2024-10-01,29.11
2024-10-02,31.05
2024-10-03,31.12
2024-10-04,31.76
2024-10-05,31.76
2024-10-06,31.76
2024-10-07,33.46
2024-10-08,30.67
2024-10-09,30.15
2024-10-10,30.74
2024-10-11,30.74
2024-10-12,30.74
2024-10-13,30.74
2024-10-14,30.54
2024-10-15,29.77
2024-10-16,29.38
2024-10-17,29.9
2024-10-18,31.77
2024-10-19,31.77
2024-10-20,31.77
2024-10-21,31.38
2024-10-22,31.64
2024-10-23,33.07
2024-10-24,32.68
2024-10-25,33.58
2024-10-26,33.58
2024-10-27,33.58
2024-10-28,33.0
2024-10-29,33.46
2024-10-30,33.65
2024-10-31,34.56
2024-11-01,35.33
2024-11-02,35.33
2024-11-03,35.33
2024-11-04,35.33
2024-11-05,36.5
2024-11-06,35.73
2024-11-07,36.05
2024-11-08,36.63
2024-11-09,36.63
2024-11-10,36.63
2024-11-11,37.93
2024-11-12,36.83
2024-11-13,37.41
2024-11-14,36.05
2024-11-15,36.25
2024-11-16,36.25
2024-11-17,36.25
2024-11-18,37.28
2024-11-19,36.63
2024-11-20,36.25
2024-11-21,36.44
2024-11-22,36.96
2024-11-23,36.96
2024-11-24,36.96
2024-11-25,36.76
2024-11-26,35.21
2024-11-27,36.63
2024-11-28,36.05
2024-11-29,35.92
2024-11-30,35.92
2024-12-01,35.92
2024-12-02,36.96
2024-12-03,37.67
2024-12-04,37.67
2024-12-05,38.13
2024-12-06,38.71
2024-12-07,38.71
2024-12-08,38.71
2024-12-09,40.09
2024-12-10,40.09
2024-12-11,39.44
2024-12-12,40.93
2024-12-13,40.6
2024-12-14,40.6
2024-12-15,40.6
2024-12-16,39.31
2024-12-17,38.79
2024-12-18,40.08
2024-12-19,40.08
2024-12-20,41.19
2024-12-21,41.19
2024-12-22,41.19
2024-12-23,41.32
2024-12-24,42.62
2024-12-25,42.62
2024-12-26,42.62
2024-12-27,44.44
2024-12-28,44.44
2024-12-29,44.44
2024-12-30,44.83
2024-12-31,44.9
2025-01-01,44.9
2025-01-02,44.25
2025-01-03,47.18
2025-01-04,47.18
2025-01-05,47.18
2025-01-06,47.24
2025-01-07,44.45
2025-01-08,42.7
2025-01-09,43.94
2025-01-10,43.68
2025-01-11,43.68
2025-01-12,43.68
2025-01-13,42.7
2025-01-14,43.94
2025-01-15,43.74
2025-01-16,44.72
2025-01-17,45.5
2025-01-18,45.5
2025-01-19,45.5
2025-01-20,45.17
2025-01-21,46.74
2025-01-22,45.96
2025-01-23,44.91
2025-01-24,47.97
2025-01-25,47.97
2025-01-26,47.97
2025-01-27,48.3
2025-01-28,49.86
2025-01-29,49.86
2025-01-30,49.86
2025-01-31,49.86
2025-02-01,49.86
2025-02-02,49.86
2025-02-03,49.4
2025-02-04,51.49
2025-02-05,51.62
2025-02-06,52.8
2025-02-07,55.27
2025-02-08,55.27
2025-02-09,55.27
2025-02-10,56.96
2025-02-11,55.4
2025-02-12,57.42
2025-02-13,54.23
2025-02-14,58.2
2025-02-15,58.2
2025-02-16,58.2
2025-02-17,58.79
2025-02-18,63.02
2025-02-19,64.39
2025-02-20,64.0
2025-02-21,67.32
2025-02-22,67.32
2025-02-23,67.32
2025-02-24,67.19
2025-02-25,69.27
2025-02-26,73.31
2025-02-27,69.14
2025-02-28,67.51
2025-03-01,67.51
2025-03-02,67.51
2025-03-03,66.34
2025-03-04,65.82
2025-03-05,70.57
2025-03-06,71.49
2025-03-07,70.78
2025-03-08,70.78
2025-03-09,70.78
2025-03-10,68.82
2025-03-11,70.19
2025-03-12,67.78
2025-03-13,68.82
2025-03-14,70.13
2025-03-15,70.13
2025-03-16,70.13
2025-03-17,72.66
2025-03-18,56.67
2025-03-19,57.21
2025-03-20,55.54
2025-03-21,53.77
2025-03-22,53.77
2025-03-23,53.77
2025-03-24,56.03
2025-03-25,52.49
2025-03-26,53.03
2025-03-27,50.82
2025-03-28,50.18
2025-03-29,50.18
2025-03-30,50.18
2025-03-31,49.91
2025-04-01,47.17
2025-04-02,45.19
2025-04-03,46.56
2025-04-04,46.56
2025-04-05,46.56
2025-04-06,46.56
2025-04-07,36.98
2025-04-08,39.46
2025-04-09,42.51
2025-04-10,43.67
2025-04-11,44.89
2025-04-12,44.89
2025-04-13,44.89
2025-04-14,43.82
2025-04-15,43.72
2025-04-16,41.85
2025-04-17,42.56
2025-04-18,42.56
2025-04-19,42.56
