日期,value
2024-08-12,4108.42
2024-08-13,4218.25
2024-08-14,4208.26
2024-08-15,4291.47
2024-08-16,4316.39
2024-08-17,4316.39
2024-08-18,4316.39
2024-08-19,4391.15
2024-08-20,4406.1
2024-08-21,4366.23
2024-08-22,4759.99
2024-08-23,4690.21
2024-08-24,4690.21
2024-08-25,4690.21
2024-08-26,4665.29
2024-08-27,4710.53
2024-08-28,4730.49
2024-08-29,4710.53
2024-08-30,4865.22
2024-08-31,4865.22
2024-09-01,4865.22
2024-09-02,4755.44
2024-09-03,4785.38
2024-09-04,4655.64
2024-09-05,4625.83
2024-09-06,4625.83
2024-09-07,4625.83
2024-09-08,4625.83
2024-09-09,4645.79
2024-09-10,4655.77
2024-09-11,4730.62
2024-09-12,4720.64
2024-09-13,4795.49
2024-09-14,4795.49
2024-09-15,4795.49
2024-09-16,4800.48
2024-09-17,4870.34
2024-09-18,4870.34
2024-09-19,4940.21
2024-09-20,4960.17
2024-09-21,4960.17
2024-09-22,4960.17
2024-09-23,5127.34
2024-09-24,5289.51
2024-09-25,5127.34
2024-09-26,5364.37
2024-09-27,5476.64
2024-09-28,5476.64
2024-09-29,5476.64
2024-09-30,5613.87
2024-10-01,5613.87
2024-10-02,5988.13
2024-10-03,6000.6
2024-10-04,6125.36
2024-10-05,6125.36
2024-10-06,6125.36
2024-10-07,6451.34
2024-10-08,5914.77
2024-10-09,5814.94
2024-10-10,5927.25
2024-10-11,5927.25
2024-10-12,5927.25
2024-10-13,5927.25
2024-10-14,5889.81
2024-10-15,5740.07
2024-10-16,5665.2
2024-10-17,5765.03
2024-10-18,6126.9
2024-10-19,6126.9
2024-10-20,6126.9
2024-10-21,6052.03
2024-10-22,6101.94
2024-10-23,6376.47
2024-10-24,6301.6
2024-10-25,6476.3
2024-10-26,6476.3
2024-10-27,6476.3
2024-10-28,6363.99
2024-10-29,6451.34
2024-10-30,6488.77
2024-10-31,6663.47
2024-11-01,6813.21
2024-11-02,6813.21
2024-11-03,6813.21
2024-11-04,6813.21
2024-11-05,7037.83
2024-11-06,6889.38
2024-11-07,6951.78
2024-11-08,7064.11
2024-11-09,7064.11
2024-11-10,7064.11
2024-11-11,7313.73
2024-11-12,7101.85
2024-11-13,7214.18
2024-11-14,6952.07
2024-11-15,6989.52
2024-11-16,6989.52
2024-11-17,6989.52
2024-11-18,7189.22
2024-11-19,7064.4
2024-11-20,6989.52
2024-11-21,7026.96
2024-11-22,7126.81
2024-11-23,7126.81
2024-11-24,7126.81
2024-11-25,7089.37
2024-11-26,6789.82
2024-11-27,7064.4
2024-11-28,6952.07
2024-11-29,6927.11
2024-11-30,6927.11
2024-12-01,6927.11
2024-12-02,7126.81
2024-12-03,7264.11
2024-12-04,7264.11
2024-12-05,7352.93
2024-12-06,7465.29
2024-12-07,7465.29
2024-12-08,7465.29
2024-12-09,7730.17
2024-12-10,7730.17
2024-12-11,7605.29
2024-12-12,7892.52
2024-12-13,7830.08
2024-12-14,7830.08
2024-12-15,7830.08
2024-12-16,7580.32
2024-12-17,7480.41
2024-12-18,7729.43
2024-12-19,7729.43
2024-12-20,7942.74
2024-12-21,7942.74
2024-12-22,7942.74
2024-12-23,7967.83
2024-12-24,8218.79
2024-12-25,8218.79
2024-12-26,8218.79
2024-12-27,8570.13
2024-12-28,8570.13
2024-12-29,8570.13
2024-12-30,8645.41
2024-12-31,8657.96
2025-01-01,8657.96
2025-01-02,8532.48
2025-01-03,9097.13
2025-01-04,9097.13
2025-01-05,9097.13
2025-01-06,9109.68
2025-01-07,8571.36
2025-01-08,8234.07
2025-01-09,8472.55
2025-01-10,8422.42
2025-01-11,8422.42
2025-01-12,8422.42
2025-01-13,8234.17
2025-01-14,8472.66
2025-01-15,8435.0
2025-01-16,8623.28
2025-01-17,8773.91
2025-01-18,8773.91
2025-01-19,8773.91
2025-01-20,8711.15
2025-01-21,9012.4
2025-01-22,8861.77
2025-01-23,8660.94
2025-01-24,9250.89
2025-01-25,9250.89
2025-01-26,9250.89
2025-01-27,9313.65
2025-01-28,9614.9
2025-01-29,9614.9
2025-01-30,9614.9
2025-01-31,9614.9
2025-02-01,9614.9
2025-02-02,9614.9
2025-02-03,9527.04
2025-02-04,9928.7
2025-02-05,9953.81
2025-02-06,10181.35
2025-02-07,10658.4
2025-02-08,10658.4
2025-02-09,10658.4
2025-02-10,10984.81
2025-02-11,10683.51
2025-02-12,11072.68
2025-02-13,10457.54
2025-02-14,11223.33
2025-02-15,11223.33
2025-02-16,11223.33
2025-02-17,11336.32
2025-02-18,12152.33
2025-02-19,12415.97
2025-02-20,12340.65
