序号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额
1,493,国美零售,0.02,0.001,5.26,0.019,0.02,0.019,0.019,48247914,936956.0
2,1833,平安好医生,13.09,0.63,5.06,12.5,13.41,12.5,12.46,17182365,224041253.0
3,1347,华虹半导体,44.26,1.88,4.44,42.54,45.36,41.72,42.38,45559295,1982786448.0
4,3900,绿城中国,10.5,0.42,4.17,10.09,10.57,10.09,10.08,7982500,82892504.0
5,1816,中广核电力,3.16,0.12,3.95,3.04,3.18,3.04,3.04,65962294,206760723.0
6,981,中芯国际,50.55,1.85,3.8,48.86,51.55,48.2,48.7,80859739,4041093680.0
7,2333,长城汽车,14.55,0.45,3.19,14.1,14.94,14.05,14.1,32172344,471434912.0
8,763,中兴通讯,25.5,0.56,2.25,24.9,25.6,24.84,24.94,10183366,257874748.0
9,1797,东方甄选,31.2,0.68,2.23,31.4,32.32,30.6,30.52,28140649,884789968.0
10,2628,中国人寿,22.42,0.46,2.09,21.88,22.5,21.88,21.96,37628395,840825664.0
11,285,比亚迪电子,39.48,0.8,2.07,38.68,41.52,38.22,38.68,48745501,1961702944.0
12,1288,农业银行,5.49,0.11,2.04,5.4,5.5,5.4,5.38,72850427,397884080.0
13,1896,猫眼娱乐,7.59,0.15,2.02,7.45,7.67,7.43,7.44,5183800,39210236.0
14,6618,京东健康,53.55,1.05,2.0,52.5,53.9,52.3,52.5,4641408,246920047.0
15,1928,金沙中国有限公司,20.26,0.39,1.96,19.9,20.44,19.73,19.87,7361098,148328605.0
16,175,吉利汽车,19.22,0.35,1.85,19.01,19.51,18.86,18.87,55648255,1066531792.0
17,2318,中国平安,55.75,1.0,1.83,54.75,55.9,54.65,54.75,22166610,1229241200.0
18,27,银河娱乐,40.26,0.7,1.77,39.32,40.52,39.1,39.56,10142017,404084480.0
19,2600,中国铝业,6.74,0.11,1.66,6.63,6.85,6.58,6.63,37708224,254636885.0
20,291,华润啤酒,26.86,0.42,1.59,26.58,27.34,26.48,26.44,7351976,198659436.0
21,6049,保利物业,35.44,0.52,1.49,34.9,35.58,34.88,34.92,616159,21658870.0
22,998,中信银行,7.6,0.11,1.47,7.49,7.62,7.45,7.49,12613651,95582814.0
23,9633,农夫山泉,47.16,0.66,1.42,46.5,47.5,46.46,46.5,3099872,146284907.0
24,2196,复星医药,19.61,0.27,1.4,20.8,21.16,19.59,19.34,21596400,439507792.0
